Kaaba; کَعبه
- Konjugation des Verbes; صَرف ِ فِعل
konjugiert; مَزدوج، صَرف شُده
Konjunktiv; وَجع اُلتَزامى
Konjunktur; گِرايِش ِ اِقتِصادى، وَضع ِ ـ
konkav; مُقَعَر
- bikonkav; مُقَعَر اُلطَرَفِین
Konkordanz; کَشف اُلایات، آیات یاب
konkret; به نَحو ِ عَمَلى، مَلموس، مُشَخَص، عِینى، غِیر ِ مُجَرَد، واقِعى، روشَن
Konkurrent; حَریف، رَقیب
Konkurrenz; رِقابَت، (چِشم و) هَمچِشمی
- die Firma befindet s. in Konkurrenz mit ..; کارخانه دَر تَسابُق است با، ـ اِرتِقاب ـ آنها با هَم تَسابُق مى کُنَند
konkurrieren; هَم چِشمى داشتن، رِقابَت کَردَن
Konkurs; وَرشِکَستِگى، اِفلاس، تَفلیس
- Konkurs machen; وَرشِکَست شُدَن
Konkursmasse; اَموال ِ شِرکَت ِ وَرشِکَستِگى
Konkursverwalter; مُتَوَلى ِ وَرشِکَستِگى
können; تَوانستَن، بَلَد بودَن، تَوانائى داشتن
- dieser Mangel an ... könnte ...; این نَقصان ... مُمکِن بود که
- sie versuchen so gut sie können; آنها هَرچه از دَستِشان بَر مى آيَد تَلاش مى کُنَند
- das eine können sie noch nicht, das andere haben sie vergessen; راه رَفتَن ِ کَبک را یاد نَگِرِفته خودرا هَم از باد بُرده اند
- kann man auch ihre Namen nennen?; مى شَوَد نامِشان هَم بُرد؟
- es kann gut sein, dass ...; چه بَسا است که
- kannst du das?; قِلِقِش را بَلَدى؟، فوت و فَنى اَش را ـ؟
- Jem., der nichts kann, Looser; آب از گََلوی ِکِسی پایین نِمی رَوَد
Können (n); مُهارَت، لیاقَت، قابِليَت، اَهَليَت، تَوانائى
- Können verpflichtet; هَر که بامَش بیش بَرفَش بیشتَر
Konsens; مُبتَنى بَر) اِجماع ِ نَظَر
konsequent;
- er ist konsequent; او سَر سَخت است، ـ جِدى است
Konsequenz; نَتیجه، پِى آمَد، عَواقِب
- das hat gerichtliche Konsequenzen; این پِى گَرد ِ قانونى دارَد
- die Konsequenzen, die s. daraus ergeben; عَوارِض ِ ناشی از آن
- du trägst die Konsequenzen dafür!; ! هَر چه دیدی از چیشم ِ خودِت دیدی
konservativ; مُحافِظه کار
- konservative Zeitung; روزنامهٔ مُحافِظه کار
- stockkonservativ; محُافِظه کار ِ سَرسَخت
Konservatorium; هُنَرِستان ِ موسیقى
Konserve; کُنسِرو
- Olivenkonserven; تَغار ِ زِیتون، کُنسِرو ِ ـ
konservieren; کُنسِرو کَردَن
Konservierungsmitel; مَواد ِ شیمیائى بَراى ِ کُنسِرو کَردَن ِ مَواد ِ غَذائى
Konsistenz; جِسميَت، ثَبات، اِستِحکام
- Konsistenz als Wahrheitskriterium (philos.); اِثبات پَذیرى
konsolidieren; اِستِحکام بَخشیدَن
Konsonanten; حُروف ِ غِیر ِ مَصَوَته، ـ بیصِدا
Konsortium; اِتِحاد ِ مُوَقَت ِ پِیمانکاران
konstant; ثابِت، اِنعِطاف ناپَذیر
- konstantes Kapital; سَرمایهٔ ثابِت
Konstantin; قُسطَنطین
Konstanz; پایدارى، ثُبوت
- Stadt Konstanz; شَهر کُنستانس
konstatierend; مُصَدِق
konstatiert; مُصَدِق
Konstellation; تَرکیب
konstituieren; تأسیس کَردَن
- s. Konstituieren; تآسیس شُدَن
- konstituierende Versammlung; مَجلِس ِ مؤسِسان
Konstitution; قابِليَت، مِزاج
konstitutionell; مَشروطه، قانونی
- konstitutionelle Monarchie; سَلطَنَت ِ مَشروطه
konstruieren; بَنا کَردَن، تَرکیب ک.، ساختَن
- einen Satz konstruieren; جُمله را تَرکیب کَردَن
Konstrukteur; سازَنده
Konstruktion; ساختِمان، بَنا
konstruktiv; سازَنده، بَنا کُنَنده
Konsul; کُنسول
Konsulat; کُنسول گَرى
Konsulent; (rājzan) مُستَشار، رایزَن
Konsultation; مُشاوِره
Konsum; مَصرَف
Konsument; مَصرَف کُنَنده
Konsumgüterangebot; عَرضهٔ کالاهاى ِ مَصرَفى
konsumieren; مَصرَف کَردَن
Kontakt; تَماس، بَرخورد، اِتِصال
- mit jem. Kontakt haben;  .با کِسى حَشر و نَشر داشتَن، ـ تَماس د
kontaktfreudig; زود جوش
Kontaktperson; رابِط، آدَم ِ مُرَجَع
Kontaktwirkung; اَثَر ِ مُجاوِرَتى
Kontext; (pl.) قَرینه (قَرايِن
Kontinent; قاره
- europäischer Kontinent; قارهٔ اُروپا
Kontinentalplatte; فِلات ِ قاره
Kontinentalverschiebung; جا بِجاى ِ قاره، اِشتِقاق ِ قاره ها
Kontingent; سَهم، سَهیمه
- Einfuhrkontigent; سَهیمهٔ وارِدات
kontingentieren; سَهم بَندى کَردَن
Kontingentierung; سَهمیه بَندى
kontinuierlich; مُستَمِر، دائِم، لايَنقَطع، مُتَوالى
Kontinuität; تَوالى، دَوام، اِمتِداد، اِستِمرار، پِیوَستِگى
Konto;
- auf ein Konto einzahlen; پول به حِساب ریختَن
- Geld ist auf dem Konto eingegangen; پول به حِساب واریز شُده است
- Bankkonto; حِساب ِ بانکى
- das geht auf mein Konto; این به حِساب مَن می آيَد، این پای ِ مَن است
Kontoauszug; صورَت ِ حِساب ِ بانکى
Kontostand; موجودى ِ حِساب ِ بانکى
kontra; ضِد ِ، مُخالِف ِ
Kontrahent; حَریف، مُخالِف
Kontrakt; قرار داد
- Kontrakt schliessen; مُعاهِده بَستَن، قَرار داد ـ
kontraktil; مُنقَبِض شَوَنده
Kontraktion; اِنقِباض
konträr; مُتَضاد، بَر خَلاف
Kontrast; تَناقُض، اِختِلاف، سابه روشَن
Kontrawirkung; نَتیجهٔ عَکس
Kontribution; غَرامَت
- Kriegskontribution; غَرامَت ِ جَنگ
Kontrolle; کُنترُل، بازرِسی
- ausser Kontrolle geraten;  .لاقِید شُدَن، لِجام گُسیخته ش
- wir halten alle unter Kontrolle; هَمه را تَحت ِ نَظَر مى گیریم، ـ کُنترُل مى کُنیم
- das Feuer ist unter Kontrolle; آتَش مُهار شُد
- er hat die Kontrolle aus der Hand gegeben;  اَفسارَش به دَست ِ خودَش نَیستَند
- sie hat ihre Worte unter Kontrolle (aus Rücksicht auf jem.); او حَرفَش را يِکدَستى مى گیرَد
- Finanzkontrolle; بازرِسى ِ اُمور ِ مالى
- Rauschgiftkontrolle; نِظارَت بَر مَواد ِ مُخَدِر
- Warenkontrolle; بازرِسى کُنَندهٔ کالا
kontrollieren;  .کُنترُل کَردَن، بازرِسى ک
- seine Hände machen unkontrollierte Bewegungen; دَستهايَش به اِختیارِش نَبودَند
Kontroverse; مُناقِشه، نِزاع، مُشاجِره، تِضاد
Konus; مَخروط
Konvention; عادَت، رَسم
- das ist bei uns Konvention; این پیش ما عادات و رُسوم است
- Menschenrechtskonvention; کُنوانسیون ِ حُقوق ِ بَشَر، قَرار داد ِ ـ
Konventionalstrafe; غَرامَت ِ پِیمانشِکَنى
konventionell; مَعَمول
- konventionelle Rüstung; تَسلیحات ِ مُتَعارِفى، ـ مَعمولى
konvergent; هَمگِرا
Konvergenz; هَمگِرائى، تَقَرُب، تَقارُب، تَقارُن، نَزدیکى، تَشابُه
- Interessenkonvergenz; هَمگِرائى ِ مُصالِح، تَقارُن ِ مُصالِح
Konversation; مُخاطِبه
Konversion; باز گَشت
- Konversion (finanz.); تَبدیل، تَسعیر
konvertierbar; قابِل ِ تَبدیل
Konvertierbarkeit; قابِليَت ِ تَبدیل
- Konvertierbarkeit der Währung; تَسعیر پَذیر ِ اَرز
konvertieren; عَوَض کَردَن ِ دین خود
konvex; مُحَدَب
- konvex & konkav; مُحَدَب و مُقَعَر
- bikonvex; مُحَدَب اُلطَرَفِین
Konvoi; موکِب، سُتون
- offizieller Konvoi; موکِب ِ رَسمى
Konvulsion; اِرتِعاش، تَشَنُع
Konzentration; تَمَرکُز، تَجَمُع، تَراکُم، غَلظَت، تَغلیط
- meine volle Konzentration galt diesem Thema; حَواس ِ خودرا شِش دانگ ِ مَعطوف ِ این موضوع کَردَم
Konzentrationsausgleich; تَساوى ِ غَلظَت
Konzentrationslager; بازداشتگاه ِ مَرکَزى ِ اَسیران و زِندانیان
konzentrieren;
- s. konzentrieren auf; به چیزى تَمَرکُز دادَن، مُتَمَرکِز ِ چیزى بودَن
- seine Gedanken konzentrieren auf ..;  فِکر ِ خودرا به ... مَعطوف داشتَن
- sei ein bisschen konzentrierter; حَواسَت جَمع باش
konzentrisch; مُتَحِد اُلمَرکَز
Konzept; طَرح، بَرنامه
- das Konzept verlieren; دَست و پاى ِ خودرا گُم کَردَن
Konzeption; طَرح، بَرنامه
Konzern; مُجتَمَع ِ اِقتِصادى، اِتِحاد ِ شِرکَتها
Konzert; کُنسِرت
Konzession; اِمتیاز
- gegenseitige Konzessionen; اِمتیازات ِ مُتَقابِل
Kooperation; هَمکارى
Koordinate; طول و عَرض، مُختَص
Koordinatensystem; دَستگاه ِ مِحوَرهاى ِ مُختَصات
Koordination; هَماهَنگى
Koordinator; هَماهَنگ کُنَنده
koordinieren; تَطبیق کَردَن، تَنظیم ک.، هَماهَنگ ک
Kopf; سَر، کَله
- pro Kopf; سَر شِکَن، نَفَرى
- den Kopf verlieren; دَست پاچه شُدَن
- den Kopf senken; سَررا پائین اَنداختَن
- den Kopf hängen lassen; پَِکَر شُدَن، سَر خَم شُدَن
- lass den Kopf nicht hängen!; نَگُذار سَرَت را زیر آب کُنَند
- Kopf hoch!; پَکَر نَشو، شُجاع باش
- jem. vor den Kopf stossen; آزُردَن، رَنجانیدَن
- s. etwas aus dem Kopf schlagen; چیزى را از سَر بِدَر کَردَن
- ich war nicht auf den Kopf gefallen, pfiffig sein; کَلَکَش دَستَم بود
- alles auf den Kopf stellen (*: umdrehen); هَمه اَش را بِهَم ریختَن
- Kopf in den Sand stecken; سَر زیر ِ آب کَردَن
- die Schüler stellen die Klasse auf den Kopf; شاگِردان کلاس را رو سَرِشان مى گیرنَد
- du willst mir wieder über den Kopf wachsen (popul.); تو دوباره میخواهى از سَرو كول ِ مَن بالا بَِرى
- seinen eigenen Kopf durchsetzen; خَر ِ خودرا سَوار بودَن
- sie warf s. den Schleier über den Kopf; چادرَش را سَرَش کَرد
- es geht um Kopf & Kragen; کَلامون پَس مَعرِکه است
- was man nicht im Kopf hat, muss man in den Beinen haben; هَر که خَر باشَد بارَش مى کُنَد، آدَم ِ فَراموشکار راه اَش را دو مَرتَبه مى پِیمايَد
- Gelenkkopf; سیبَگ، غِرغِره
- Hinterkopf; پَس ِ گَردَن، پَس ِ کَله، پُشت ِ سَر
Kopfball; ضَربهٔ سَر
Kopfbedeckung; روسَری
- Kopfbedeckung (deren Ende um den Hals geschlungen ist); تَحت اُلحَنَک
köpfen; سَر بُریدَن
Kopfkissen; کوسِن، بالِش زیر ِ سَر
kopflos; بی کَله
- kopflos werden; عَلافه شُدَن
- sie wandern kopflos umher; این وَر آن وَر میرَوَند، سَر دَر گُم مى گَردَند
Kopfschmerz; سَر دَرد، دَرد ِ سَر
Kopfsprung; شیرجه
- Kopfsprung machen (ins Wasser); شیرجه رفتن
Kopfstand; سَر ِ کَله ایستادَن، بالانس
Kopfsteinpflaster; سَنگ فَرش
Kopftuch; رو سَرى، چارقَد، لَچَک
kopfüber; سَر پائین
- kopfüber aufhängen; سَر و تَه آویزان کَردَن
Kopie; اِستِناخ، رونِوِشت، کُپى
koppeln; جُفت کَردَن، وَصل ک
Koralle; مَرجان
Korb; زَنبیل، سَبَد، سَله
- jem. einen Korb geben; کِسی را به دُرُشتی جَواب دادَن
Korbflechter; سَبَد باف
Koriander; گِشنیز
Kork; چوب پَنبه
Korken; سَر ِ بُطرى، دَر ِ ـ
Korkenzieher; پیچ ِ سَر ِ بُطرى، دَر ِ بُطرى باز کُن
Korn;
- Korn, Getreide; غَله
- Korn, Same; دانه
- Korn (& Kimme); مَگَسَک ِ تُفَنگ، دیده وان
Kornblume; گل ِ گندُم
Körnchen; (pl.) ذَره (ذُرات)، دانه
Kornelkirsche; زُغال اَخته
körnig; دانه دانه
Körper; (pl.) جِسم (اَجسام)، بَدَن
- fester Körper; جِرم ِ ثابِت، جامِداد
- flüssiger Körper; جِرم ِ مایع
Körperhaltung; قامَت
körperlich; جِسمى، جِسمانى، بَدَنى
Körperschaft; اِجماع، هِیئَت ِ اِجتِماع
Körpersprache; عَلائم ِ بَدَنى، با بَدَن اِرائه دادَن که آیا از طَرَف ِ مُقابِل خوشحال است یا نه
Körperverletzung; آسیب ِ بَدَنى، جَراحَت ِ ـ
Korps; سِپَه
- Freiwilligenkorps; سِپاه ِ داوطَلَبان
korpulent; جُسام، چاق، گوشتالود
korrekt; صَدیق، سَر به خانه، صَحیح
Korrektheit; صِداقَت، صِحَت
Korrektur; اِصلاح، غَلَط گیرى
- das braucht noch eine kleine Korrektur; دَستکاری می خواهَد
- Endkorrektur; تَصحیح ِ نَهائى
Korrekturbogen; نِمونۀ چاپ
Korrelation; اِرتِباط ِ مُتَقابِل
- in Korrelation zueinander sein (*: Beziehung); به فَرا ِ خور
korrelativ; لازِم و مَلزوم
Korrespondent; مُخابِر، مُخَبَر، خَبَرنِگار
Korrespondenz; مُکاتِبه، نامه نِگارى
- mit jem. Korrespondenz pflegen; با کِسى دَر مُکاتِبه بودَن
Korrespondenzkurs; دورهٔ نامه نِگارى
Korrespondenztheorie; نَظَریهٔ مُطابِقَت
korrespondieren;
- mit jem. korrespondieren; با کِسى مُکاتِبه کَردَن
- mit etwas korrespondieren; تَطابُق داشتن با چیزى
Korridor; دالان
- Luftkorridor; دالان ِ هُوائى
Korrosion; خوردِگی
- Bodenkorrosion; زَمین خوردِگى
- Feuchtigkeitskorrosion; خورَندِگى ِ رُطوبَت، پوسیدِگى ـ
korrumpieren; به فِساد کِشاندَن ، آبِستَن کَردَن
korrupt; فاسِد، رِشوه خوار
Korruption (*: Bestechlichkeit); فِساد، مُفت خورى، رِشوه خوارى
- durch Korruption erpreßbar sein; آبِستَن ِ کِسی بودَن
Kortison; کورتون
Koryphäe;
- er ist eine Koryphäe; او سَرآمَد است
Kosinus; کُسینوس
Kosmetik; آرايِش گَرى
Kosmetikerin; مَشاطه، آرايِشگَر
kosmisch; کِیهانی
- kosmische Strahlung; اَشِعهٔ کِیهانى
Kosmonaut; فَضانَوَرد
Kosmopolit; جَهان میهَن، عالَم نِشین
Kosmos; کائِنات، کِیهان، فَضا
- Makrokosmos; مِهجَهان
- Mikrokosmos; کِهجَهان
Kost; خوراک
kostbar; مَرغوب، گِرانبَها
- kostbare Kleidung; جامهٔ زَربَفت
- kostbare Information; اِطِلاع ِ ذیقِیمَت
Kostbarkeit; (pl.) نَفیسه (نَفايِس
kosten; قِیمَت ِ آن این است، قِیمَت داشتن
- die .. Dollar kosten; که .. دُلار خَرج دَر بَر داشتن
- was kostet das?; قِیمَتَش چَنده؟
- Koste es, was es wolle; به هَر قِیمَتى که شُده
- das kostet schon einiges; این مَبلَغى خَرج دَر مى دارَد
- kosten, probieren; چِشیدَن، لَب زَدَن
Kosten (f); مَخارِج
- auf anderer Leute Kosten leben; نِیزه بازى کَردَن
- es s. gut gehenlassen auf Kosten anderer; بَراى ِ خوش باشى از دیگَران مایه گُذاشتَن
- auf meine Kosten; به حِساب ِ مَن
- kommt, wir teilen uns die Kosten; بیایید، دانگی کُنیم
- jem., der auf seine Kosten kommt; قَند توى ِ کِسى آب میشَوَد
- das Auto verursacht Kosten; ماشین بِخَرج مى اُفتاد
- Lebenshaltungskosten; هَزینهٔ زِندِگى، مَخارِج ِ زِندِگى
- Produktionskosten; هَزینهٔ تولید
kostendeckend;
- die Anlage arbeitet kostendeckend; طَرح به مَرحَلۀ بَهره بَر دارى رِسید
kostengünstig;
- ... ist kostengünstig; قِیمَتَش مُناسِب است
kostenintensiv; بِسیار پُر هَزینه
Kostenvoranschlag; تَخمین ِ مَخارِج، بَرآوُرد
kostspielig; بِسیار پُر هَزینه
Kostüm; کُت و دامَن
- Faschingskostüm; لِباس ِ کارنِوال
Kostverächter;
- kein Kostverächter; خوش غَذا
Kot; (goh) مَدفوع، گه
Kotelett; کُتلِت
Koteletten (Haarstil); خَط ریش
Kotflügel; گِل گیر
kotverschmiert; گُهى
Kotzen; قِی، اِستِفراغ
- ich finde ... zum Kotzen; از چیز بَرايَم قَی آوَر است
Krabbe; مِیگو
krabbeln; غِلغِلَک دادَن
- krabbeln (auf allen Vieren); چَهار دَست و پا راه رفتَن
Krach; غَلَیان و خُروش، سَر و صِدا
- mit jem. Krach haben; با کِسى دَعوا کَردَن
- Krach schlagen; طَرَق و طُروق کَردَن
- die Tür mit Krach zuschlagen; دَر را با سَر و صِدا بَستَن
krachmachen; جُفت و تیز کَردَن، جِز زَدَن
Krächzen; قارقار
kraft;
- kraft seiner Autorität; با ضَرب ِ اِقتِدارَش
Kraft (f); نیرو، قُدرَت، قُوه، تاب
- Kraft des Meeres; صَلابَت ِ دَریا
- Kraft aufbringen; تاب آوَردَن
- die Kraft zu .. finden; یاراى ِ .. یافتَن
- er hatte keine Kraft, zu stehen; ناى ایستادَن نَداشت
- ausser Kraft setzen; لَغو کَردَن
- in Kraft setzen; به مَرحله اِجرا دَر آوَردَن
- nach Kräften; حَتى اُلوُسع
- mit aller Kraft ... widerstehen; دَر مُقابِل ِ چیزى تا پاى ِ جان مُقاوِمَت کَردَن
- er kam zu neuen Kräften; سَر ِ حال آمَده بود
- vom Menschen unabhängige Kräfte; قُوهٔ مُجبَره
- Kräfte messen; دَست پَنچه نَرم کَردَن، کَلَنجار وَررَفتَن با
- die Kräfte übersteigend; فوق اُلطاقه
Kräftegleichgewicht; تَوازُن ِ قُوا، تَکافوی ِ
kräfteraubend; طاقَت فَرسا
- die Lebensbedingungen sind unglaublich kräfteraubend; شَرايِط ِ زِندِگى بینَهايَت طاقَت فَرسا است
Kräfteverhältnis; تَناسُب ِ قُوا
Kraftfeld; مِیدان ِ نیرو
kraftfördernd;
- kraftfördernde Mittel; مَواد ِ نیروزا
kräftig; پُر قُدرَت، قَوى
- kräftige äste; شاخه هاى ِ قُطور دِرَخت
- kräftiger Faden; نَخ ِ قُرص
- kräftige Nahrung; غَذاى ِ مُغَذى، ـ مُقَوى
- eine kräftige Ohrfeige; يِک سیلى ِ حِسابى
- kräftige Schimpfworte; فُحش ِ آبدارى
- sie schüttelten mich kräftig; مُحکَم تَکانَم میدادَند
- kräftiger Kerl; آدَم ِ سِتَبر، مَرد ِ تَنومَند، آدَم ِ قول چُماق
kräftigend; مُقَوی
- kräftigende Nahrung; غَذاى ِ مُقوى
Kraftlinien;
- magnetische Kraftlinien; خُطوط ِ نیروى ِ آهَن رُبائى
kraftlos;
- kraftlos sein; جان به لَب رِسید
- kraftlos werden; بى تاب شُدَن، بى طاقَت ش.، ضَعیف ش
- saft- und kraftlos; سَخیف
Kraftmesser (z.B. auf Jahrmärkten); نیروسَنج
Kraftpaket; آدَم ِ سَطوَتى
Kraftprobe; زورآزمائى
Kraftstoff; سوخت
- Kraftstoff tanken; سوخت گیرى کَردَن
kraftvoll;
- kraftvolles Tier; حِیوان ِ پُر سُطوتى
Kragen; يَقه
- am Kragen packen; يَخه گِرِفتَن، يَقه گ
- Stehkragen; يَقهٔ آخوندى
Kragenweite (umg.); لَندازهٔ گَل و گَردَن
Krähe; کَلاغ ِ زاغى
krähen; قوقولیقو کَردَن
- der Hahn kräht; خُروس بانگ مى زَنَد
Krake; اَخطَبوط
krakeelen; داد زَدَن
krakelig;
- krakelige Schrift; خَط ِ خَرچَنگ ِ قورباغه اى
Kralle; چَنگ، پَنچول
- die Katze fährt ihre Krallen gegen jem. aus; گُربه يِک پَنچول رو کِسى میکِشَد
krallen;
- s. in den Stoff krallen; پارچه را چَنگ زَدَن، به پارچه چَنگ زَدَن
krallig; پَنجه دار
Kram; خِرت و پِرت، بُنجُل
kramen; اَنگولَک زَدَن
Krämer; بَقال، دُکان دار
- der Krämer an der Ecke; بَقال سَر ِ گُذَر
Krampf; اِرتِعاش، تَشَنُج
- Muskelkrampf; گِرِفتِگى ِ ماهیچه
Krampfadern; واریس
krampfartig; مُتَشَنِج
Kran; جَر ِ اِثقال، ـ ثَقال
Kranich; دَرنا
krank; مَریض، بیمار
- krank werden; به مَرَض اُفتادَن، مَریض شُدَن
- er fühlt s. krank; او دورهٔ نَقاهَت را مى گُذَرانَد، اِحساس ِ کِسالَت را دارَد
kränken; کِسى را دِلسَرد کَردَن، ـ دِلگیر ک.، آزُردَن، با بى اِحتِرامى با کِسى رَفتار کَردَن
- leicht zu kränken; زودرَنج است، نازُک دِل است
Krankenbett; بالین
Krankenhaus; بیمارِستان
- ich lag noch nie im Krankenhaus; دَر بیمارِستان بَستَرى نَشُده بودَم
- dass du im Krankenhaus liegst ...; از بَستَرى شُدَنِت دَر بیمارِستان
Krankenkasse; بیمهٔ بیمارى
Krankenschein; وَرَقهٔ بیمهٔ بیمارى
Krankenschwester; پَرَستار
Krankenwagen; اُتوموبیل ِ آمبولانس
Kranker; بیمار
krankhaft;
- krankhaft, aus Angst; اِضطِراب ِ بیمارگونه
Krankheit; (pl.) ناخوشى، عارِضه، مَرَض (اَمراض)، بیماری
- jem. mit Krankheit schlagen; کِسى را به مَرَض مُبتَلا کَردَن
Krankheitserreger; عامِل ِ بیمارى
Krankheitsrückfall (oud); عود ِ مَرَض
kränklich;
- er ist kränklich; او مَرَض اَحوال است
Kranz; تاج
krass;
- krasser Unterschied; تَفاوُت ِ اَساسى، ـ گُنده
Krater; دَهانهٔ آتَشفِشانى
krätschen; پُشت ِ پا زَدَن
kratzen; خَراشیدَن، شَخانیدَن، خاراندن، پَنجول زَدَن، خاریدن
- an etwas kratzen; چیزى را پَنجول کِشیدَن
- Kratzen ( mit Krallen); خِنج، پَنجول
Kratzer; خَش، خَراش
- Kratzer bekommen; خَش اُفتادَن (بَر چیزی)، خَراش ـ
- ... wegen mir einen Kratzer abbekommen; بِخاطِر ِ مَن خَدشه دار شَوَد
- pass auf, dass das keinen Kratzer abbekommt!; مُواظِب باش تا خَش نَیافتَد
- die Beziehung zu ... keinen Kratzer bekommt; تا رابِطه با ... خَدشه دار نَسازَد
- ohne einen Kratzer auf ... zu hinterlassen; بى آنکه خَدشه اى به ... وارِد آوَردَن
kratzig;
- kratzige Stimme; آهَنگ خَراشیده، صِداى ِ ـ
krauchen; زَحف کَردَن
kraus;
- krause Haare; موهاى ِ مُجَعَد
kräuseln;
- seine Mähne kräuselt s.; یالَش موج میخورَد
- der Rauch kräuselt s.; دود پیچ می خورَد
Kraushaar; موهاى ِ مُجَعَد، ـ فِرفِرى
Krawall; آشوب، بِلوا
Krawallmacher; آشوبگَر
Krawatte; کراوات
- Krawatte anlegen; کراوات زَدَن
Krawattenknoten; فُکُل ِ کراوات، گِرۀ ـ
Krawattennadel; سَنجاق ِ کراوات
Kraxe; چانچو
Kreation; اِبداع
kreativ; خَلاق، آفَرینَنده
Kreatur; (pl.) آفَریده، مَخلوق (مَخلوقات
Krebs;
- Krebs (med.); سَرَطان
- Krebs (biolog.); خَرچَنگ
- Süsswasserkrebs; خَر چَنگ ِ آب ِ شیرین
krebsartig; سَرَطان وار
krebserzeugend; سَرَطان زا
Kredit; نَسیه، وام، اِعتِبار
- Kredit gewähren; وام دادَن
- Kredit aufnehmen; وام گِرِفتَن
Kreditaufnahme; وامگیرى
Kreditbank; بانک ِ اِستِقراضى
Kreditkarte; کارت ِ اِعتِبار
Kreide; گَچ
Kreidepulver; گِل ِگیوه
kréieren; چیزى را اِبداع کَردَن
Kreis; دايِره
- Kreis (polit.); بَخش، حوزه، ناحیه
- s. im Kreis bewegen; چَرخ زَدَن، حَرَکَت ِ دورانى
- s. im Kreis drehen; تَنوره کِشیدَن
- sie bilden einen Kreis; آنها دور ِ هَم حَلقه می زَنَند
- im Kreis stehen; دوره ایستادَن
- ein gemütlicher Kreis; گِردهَمائى ِ خودِمانى
- literarischer Kreis; (pl.) مَحفَل ِ اَدَبى (مَحافِل ِ
- in den Kreisen der Opposition; دَر مَحافِل ِ اَقَليَت
kreischen; جیغ زَدَن
Kreisel; فِرفِره، چَرخانَک
- der Kreisel dreht s.; فِرفِره دور ِ خود فِر میزَنَد، ـ مى چَرخَد
- Brummkreisel; فِرفِرۀ صوتى
- beim Kreisel, Rondell; سَر ِ فَلَکه
kreisen; دايِره زَدَن، چَرخیدَن
- das Kreisen der Gedanken; جَوَلان ِ فِکر
kreisförmig; حَلقَوى، دايِره دار
- kreisförmig um einen Punkt herum drehen; چَرخاندَن ِ حول ِ يِک نُقطه، ـ بِدور ِ ـ
Kreislauf; گَردِش
- Kreislauf von Essen und ...; دایرۀ خور و
- Blutkreislauf; گَردِش ِ خون
Kreislaufstörung; اِختِلال دَر گَردِش ِ خون
kreisrund;
- kreisrunder Kopf; سَر ِ گِرد و مُدَوِر
kreißen; زائیدَن
- es kreißte der Berg und gebar eine Maud; كوه كَندَن و موش بَر آوَردَن، کوه ِ اِلبُرز پَس از دَرد ِ فَراوان موش زائید
Kreißsaal; اُتاق ِ زايِمان
Kresse; شاهى
kreuz;
- er läuft kreuz & quer; او اینوَر و آنوَر میرَوَد، بى هَدَف راه میرَوَد
- Schnittwunden, die kreuz & quer verlaufen; زَخمهاى ِ چَپ اَندَر راست
Kreuz (n); صَلیب
- deshalb lag er mit uns über Kreuz; این بود که با ما کَج اُفتاده بود
- Fensterkreuz; خاچ ِ پَنجَره
Kreuzbein; اُستُخوان ِ خاچى
kreuzen;
- kreuzen (biolog.); آمیزِش دادَن، پِیوَند زَدَن
- jemandes Weg kreuzen; کِسى را بَرخورد کَردَن
- jeder, der ihren Weg kreuzt, ...; هَر کِسى که از راه بِرِسَد، آنها را
kreuzend; مُتَقاطِع
kreuzigen; مَصلوب کَردَن، رو صَلیب زَدَن
Kreuzigung; تَصلیب
Kreuzung; تَقاطُع، چَهارراه، سه راه
- Kreuzung (biol.); جُفتگیرى، دورَگه پَروَرى، آمیزِش، پِیوَند
Kreuzworträtsel; جَدوَل ِ کَلَمات ِ مُتَقاطِع
Kreuzzug; جَنگ ِ صَلیبى
kribbelig; ناراحَت، عَصَبانى
kriechen; زَحف کَردَن، خَزیدَن
- zwischen den Leuten herumkriechen; از لاى ِ مَردُم سُریدَن
kriecherisch; سینه مال، چاپلوسانه
- kriecherischer Mensch; آدَم ِ لوس
Kriechstrom; بَرق ِ پَراکَنده، ـ مُنشَعِب شُده
Kriechtier; (pl.) خَزَنده (خَزَندِگان
Krieg; جَنگ
- im Krieg mit jem. sein; تَحارُب، عَلِیه کِسى جَنگیدَن
- gegen jem. in den Krieg ziehen; به ... حَمله بُردَن
- Kalter Krieg; جَنگ ِ سَرد
kriegen;
- von da kriegen wir kein Geld (*: bekommen); از اینجا چیزى عايِد ِ ما نِمیشَوَد
- dich werde ich noch kriegen; حِسابَت پیش ِ مَن است
Krieger; رَزمَنده، مُقاتِل، مُحارِب
kriegerisch; جَنگجو، رَزم جو، مُحارِب
Kriegsbeute; غَنیمَت ِ جَنگ
Kriegsdienstverweigerung; اِمتِناع از خِدمَت ِ سَربازى
Kriegserklärung; عِلان ِ جَنگ
Kriegsfall; مُناسِبَت ِ جَنگ
Kriegsfolgen; عَواقِب ِ جَنگ
kriegsführend;
- kriegsführende Partei; طَرَف ِ مُتَحارِب
Kriegsfuss;
- mit jem. auf Kriegsfuss stehen; با کِسى دَر اُفتادَن
Kriegsgericht; دیوان ِ حَرب
Kriegsgeschrei; فَریاد ِ مِیدان ِ جَنگ، غَریو ِ نَبَرد
Kriegskontribution; غَرامَت ِ جَنگ
kriegslüstern; سِلَح شورى
kriegsmüde; جَنگ اَفسُرده
Kriegspsychose; تَب ِ جَنگ
