Lab; خَمیر مایهٔ پَنیر
- livrierter Diener; خادِم ِ رَنگ و وارَنگ
Lizenz; اِمتیاز، جَواز
Lizenzgebühr; حَق اُلزَحمه
Lob; تَحسین
- Lob zollen; .اَحسَنتی گُفتَن، حَمد گ.، تَحسین گ
Lobby; تَحمیل گَری، لوبی
loben; کِسی را تَعریف کَردَن، ـ تَحسین ک، بَه بَه گُفتَن
- s. selbst loben; مَنَم زَدَن، مَن مَنی کَردَن
- loben (im Übermaß); بَه بَه و چَه چَه کَردَن
- jem. lobend erwähnen; تَعَریف ِ کِسی را کَردَن
lobenswert; تَحسین اَنگیز، قابِل ِ تَمجید
- ist nicht lobenswert; تَعریفی نَداشتَن
Lobeshymnen;
- Lobeshymnen in Bezug auf .... halten; نُطق ِ غَرائی دَر چیزی کَردَن، خَطابهٔ فَصیحی دَر مَدح ِ کِسی خواندَن
Lobpreis; تَسبیح، حَمد، ثَناء، سُبحان، سِتايِش، نیايِش
lobpreisen; حَمد و ثَناء گُفتَن
Lobredner (auch iron.); ثَنا گو
Loch; گودال، سوراخ
- elendes Loch; سولدانی
- Löcher in die Luft schlagen; به هَوا مُشت زَدَن، دَستها را دَر هَوا پیچ و خَم زَدَن
Locher; سوراخ کُن
löchrig; سوراخ دار
Lockartikel; کالاهايی که باقِيمَت ِپائين (باضرر) بِفُروش می رِسَد، کالايی که به مَنظور ِ جَلب ِ تِوَجُه ِ مُشتَری زير ِ قِيمَت تَمام شُدبِفُروش می رِسَد
Locke;
- Haarlocke; فِر
locken;
- jem. ins Garn locken; کِسی را توی هَچَل اَنداختَن
Lockenwickler; بیگودی
locker;
- locker, ausgelassen; سَبُکروح، سَبُکسَرانه
- der Boden wurde locker; زَمین پوک شُد، ـ نامُتَراکِم شُد
- locker dasitzen; لَم دادَن
- bleibt ganz locker; خیالِتون تَخته تَخت باشه
- der Zahn ist locker; دَندان لَق است
- der Stecker sitzt locker; پِِریز شُل است
- lockere Kleidung; لِباس ِ گَل و گُشاد
- lockeres (moralisch) Bild; تَصویر ِ جِلف
- er hat ein lockeres Mundwerk; دَهَنَش لَق است 
Lockerung;
- Lockerung der ...; - ِ شُل کَردَن ِ...، کاستَن
- Lockerung der restriktiven Politik; شُل کَردَن ِ سیاسَت ِ تَضییقی
- Lockerung der Muskeln durchführen (beim Sport); اُستُخوان نَرم کَردَن
Lockvogel; جاسوس ِ تَحریک کُنَنده
Lodenstoff; پَشم ِ نَمَدی، لِباس ِ ماهوت
lodern; بَر اَفروختَن، زَبانه کِشیدَن
- es lodert beim geringsten Hauch auf; به اَندک ِ نَسیمی بَر می اَفروزَد
Lodrian; پِسَرَک ِ جُلُنبُر
Löffel; قاشُق
- Teelöffel; قاشُق ِ چای خوری
logarithmisch; لُگَریتمی، لُگَاریتمی
Logarithmus; لُگَریتم
Loge; لُژ
Logik; مَنطِق، عَقل
- Logik der Forschung; مَنطِق ِ اِکتِشاف ِ عِلمی
logisch; مَعقول، با عَقل، مَنطِقی
- etwas logisch finden; چیزی را مَنطِقی یافتَن
- das ist logisch; بَدیهی است، مَنطِقی است
- mit logischer Kraft; به نیروی ِ عَقل
Logo; نِشانه، آرم
Lohn; دَستاوَرد، دَستمُزد، اُجرَت، حُقوق
- Lohn der Mühe; دَسترَنج
- der Lohn der Tat; حَق ِ کار را کَف ِ دَستَش گُذاشته است
- Lohn der Ungerechtigkeit; ثَواب کَردَن کَباب شُدَن
- das war mein Lohn für alle Mühe (iron.); ثَواب کَردَم کَباب شُدَم
- bei jemandem in Brot & Lohn stehen; نان ِ کِسی را خوردَن، سَر ِ سُفرهٔ کِسی نان و نَمَک خوردَن
- Der Arbeiter ist seines Lohnes wert; اَرزِش ِ يِک کارگَر بِاَندازهٔ اُجرَتَش است، کارگَر مُستَحَق ِ مُزد ِ خود است
- jem. den Lohn vorenthalten; نان ِ کِسی را آجُر کَردَن
- der gut wirtschaftet, bekommt auch seinen Lohn; آدَم ِ خوش معامِله شَریک ِ مال ِ دیگَرانه
- Finderlohn; مُشتلُق
- Reallohn; مُزد ِ واقِعی
Lohnarbeiter; اَجیر
Lohnempfänger; حُقوق بِگیر
lohnen (s. -); اَرزِش داشتَن، اَرزیدَن، مُفید بودَن، صَرف کَردَن
- die Arbeit lohnt s.; این کار صَرف می کُنَد، ـ اَرزِش دارَد
- das lohnt s. nicht; آفتابه را خَرج ِ لَحیم کَردَن، این چیز نِمی اَرزَد، آفتابه خَرج ِ لَحیمه
- lohnt s. nicht, zu erwähnen; تَعَریفی نَداشتَن
Lohnsteuer; مالیات ِ حُقوق
Lohnsteuerkarte; کارت ِ مالیاتی
lokal; مَحَلی، موضِعی
Lokal (n); رِستوران
Lokalanästhesie; بیحِسی ِ موضِعی
Lokalisation; تَعیین ِ مَحَل
Lolly; نُقل، خُروس ِ قَندی
- einen Lolly lutschen; خُروس ِ قَندی مَکیدَن
Looping;
- Looping fliegen (wāru); وارو کَردَن
Looser; آب از گََلوی ِکِسی پایین نِمی رَوَد، بی بُخار
Lorbeer; دِرَخت ِ غار
Lorbeerblatt; بَرگ ِ بو
los;
- um zu wissen, was los ist ...; که سَر و گوشی آب بِدَهَد
- dass er weiss, was los ist; که بِدانَد چی به چیه
- was ist mit dir los?; با تو چه شُده؟، تو چِته؟
- was ist in der Stadt los?; دَر شَهر چه خَبَره؟
- solange im Laden nichts los ist, muß er ...;   تا تَه ِ تَرازو به زَمین بِخورَد او بايَد
- lass mich los!; وِلَم کُن
- los gehts!; راه بيُفت!، بِرَویم
Los (n); قُرِعه
- das Los werfen; قُرِعِه اَفکَندَن
- das Los ziehen; قُرِعِه کِشیدَن
- durch das Los entscheiden; از راه ِ قُرِعِه کِشی تَعیین کَردَن
- das Los fällt auf mich; قُرِعِه به نام ِ مَن می اُفتَد، ـ بَر میايَد، ـ اِصابَت می کُنَد
löschen;
- eine Schiffsladung löschen;  .کِشتی را بار اَندازی کَردَن، ـ خالی ک
- die Tinte löschen; جوهَر خُشک کَردَن
- das Licht löschen; چِراغ را خاموش کَردَن
- den Durst löschen; عَطَش ِ خودرا فُرو نِشاندَن
- auslöschen; مَحو کَردَن، از بِین بُردَن
Löschen (n);
- Löschen (einer Ladung); بار اَندازی
- Löschen (von Feuer); اِطفا، فُرو نِشاندَن ِ آتَش
lose; شُل، لَق
- er hat ein loses Mundwerk; دَهَنَش لَق است
Lösegeld; فِدیه
- Lösegeld bezahlen; فِدیه دادَن
lösen;
- Problem lösen; مُشکِل را حَل و فَصل کَردَن
- das löst das Problem nicht; قوز بالای ِ قوز کَردَن، مُشکِل را حَل نِمی کُنَد
- das Problem löst s. auf; مَسأله مُنتَفی می شَوَد
- fettlösend; مُحَلِل ِ چَربیها
losgehen;
- auf jem. losgehen; تو دِل ِ کِسی رَفتَن، باروت پاشیدَن
- ich ging auf ihn los; رَفتَم توی ِ دِلِش
- mit den Fäusten aufeinander losgehen; با کِسی دَست پَنجه نَرم کَردَن، دَست پَنجه شُده
losheulen; گِریه را سَر دادَن
loslassen; کِسی را رَها کَردَن، ـ وِل کَردَن، از کِسی دَست کِشیدَن
- loslassen (s. -); خود را وا دادَن
loslegen;
- mit etwas loslegen; چیزی را به راه اَنداختَن
löslich; قابِل ِ اِنحِلال
Löslichkeit; قابِليَت ِ اِنحِلال
loslösen; .مُفَرِق کَردَن، جُدا ک
- s. loslösen; وَر آمَدَن
- nicht loszulösen von; لايَنفَک
- losgelöst von ...; مُنفَک شُده از
- Loslösung eines Gebietes; تَجزیهٔ مَنطَقه ای
losreißen;
- s. losreißen von etwas; از چیزی دِل کَندَن
lossagen; خود را رَها کَردَن
- falls er s. nicht lossagt von ...; دَر صورَت ِ چِشم نَپوشیدَن از
losschicken; راهسِپَر کَردَن، فِرِستادَن
losstürzen; شِتافتَن
- auf jem. losstürzen; به سوی ِ کِسی حَمله کَردَن، بَر سَر ِ کِسی ریختَن
Lösung; نَتیجه، راه ِ حَل
- das ist die Lösung; رازَش هَمین است، لِمِش ـ، حَلِش ـ
- sie mussten eine Lösung dafür finden; به حال ِ آن کَمَر می بَستَند
- es ist besser, über eine Lösung nachzudenken; بِهتَر است فِکر ِ چاره باشیم
- echte Lösung (chem.); مَحلول ِ حَقیقی
- gesättigte Lösung (chem.); مَحلول ِ اِشباعی
Lösungsmittel; مَواد ِ حَلال
loswerden; فارِغ شُدَن، از دَست دادَن، باز کَردَن
- Ware loswerden; کالا را آب کَردَن
- jem. loswerden wollen; دَست به سَر ِ کِسی کَردَن، از دَست ِ کِسی راحَت شُدَن
- damit wir ihn loswerden; که اورا از سَر ِ خودِمان باز کُنیم
- das beste ist, wenn wir ihn loswerden; چاره این است که سَرَش را از سَرِمون واکُنیم
Lot; شاقول
- mit dem Lot ausrichten; با شاقول تَراز کَردَن
Lötdraht; سیم ِ لَحیم کاری
löten; لَحیم کَردَن
Lötung; لَحیم
Lotse; هادی ِ کِشتی
Lotterleben; سَر گَردانی
- hör dein Lotterleben auf (dajjusi); کُلاه دَیوثی از سَرِت بَر دار
Lotto; قُرعِه کِشی، بِش
Lotus; کُنار
Löwe; شیر
- in die Arena des Löwen gehen; به صَحنهٔ نَبَرد ِ شیران رَفتَن
Löwenmaul; گُل ِ مِیمون
Löwenzahn; قاصِدی، کاسنی ِ صَحرائی
loyal; وَفادار، اِرادَت کیش، با وفا
- Loyalität gegenüber ...; وَفاداری به، صِداقَت به
Luchs; سیاه گوش
Lücke; سوراخ، شِکاف، رَخنه
lückenhaft; سوراخ دار، ناقِص
- lückenhafte Erzählung; حِکايَت ِ ناقِص
Luft; باد، هَوا
- aus der Luft gegriffen; بی پَر و پا
- Luft schnappen, spazierengehen; هَوا خوردَن، باد خوردَن
- nach Luft schnappend; هِن هِن کُنان
- ich setzte mich, um tief Luft zu holen; نِشَستَم تا نَفَسی چاق کُنَم
- er hat s. in Luft aufgelöst; غِیبَش زَد،آب شُد و به زَمین فُرو رَفت، دود شُد و به آسمان رَفت
- in die Luft gehen; مُنفَجِر شُدَن
- jem. an die frische Luft setzen, entlassen; پالان ِ کِسی را آفتاب گُذاشتَن
- Dicke Luft; هَوا پَس است
- als sie sahen, dass dicke Luft ist, ...; آنها که هَوا را پَس دیدَند
- versteck dich, bis die Luft rein ist; آبها از آسیاب اُفتادَن، ... بَعد از اینکه همهٔ آبها ... آنوَقت دیدَم ...، قايِم شو تا آبها از آسیاب بیفُتَد
- Zimmerluft; دَمای ِ اُتاق
Luftballon; باد ِ کُنَک
Luftbrücke; پُل ِ هَوائی
lüften; هَوا دادَن
- lüften, aufdecken; چیزی را بُروز دادَن، پَرده از روی ِ چیزی بَر داشتَن
- jem., der den Vorhang lüftet; سَتار
- auslüften; باد دادَن
Luftfilter; تَصفیهٔ هَوا
luftgekühlt; هَوا کُنَک
lufthaltig; هَوادار
Lufthoheitsgebiet; مَنطَقهٔ حاکِميَت ِ هَوائی
Luftkorridor; دالان ِ هَوائی
Luftlinie; مَسافَت ِ خَطی
Luftröhre; نای ِ گَلو، خُشک نای، حَلق
Luftschacht; هواکِش، بادگیر، بادکِش
Luftschutz; حِفاظَت ِ هَوائی
Luftspiegelung; سَر آب، آبنَما
Luftsprung;
- er machte einen Luftsprung; او جَست زَد توی ِ هَوا، دِلََش بَرای ِ ... پَر می زََد، به هَوا پَرید
Luftströmungen; (sing.)  (مُجاری ِ هَوا (مَجرا
Lüftung; تَهویه
Luftveränderung; تَغییر ِ هَوا
- zwecks Luftveränderung ...; تا آب به آب شَوَد
Luftwaffe; نیروی ِ هَوائی
Lüge; کِذب، دُروغ
- sein Tun straft diesem Anspruch Lügen; اَعمالَش این اِدِعا را تَکذیب می کُنَد
- Notlüge; دُروغ ِ مَصلَحَت آمیز
lugen; سَرَک کِشیدَن
- kein Mensch lugt hervor; هیچ سَری سَرَک نمی کِشَد
lügen; دُروغ گُفتَن
- lügen, um seine religiöse Überzeugung nicht zu verraten; تَقیه کَردَن
- lügen wie gedruckt; چاپ زَدَن، هَمهٔ حَرفَش کَشک است
Lügenmärchen; اَباطیل
Lügner; چاخان، دُروغگو، کاذِب، کَذاب
Luke; روزَنه
- Schiffsluke; روزَنهٔ کِشتی
Lümmel; پُررو
Lump; دَغاباز، دَغا
Lumpen; کُهنه
Lumpensammler; کُهنه بَر چین، آدَم ِ خِنزِر پِنزِر
Lumperei; دَغَلی
Lunge (beidseitige Lungenflügel); (شُش، ريِه، (ريَتِین
Lungenentzündung; سام بَر، سینه پَهلو، تَوَرُم ِ ريَوی
lungern;
- herumlungern; پلِکیدَن، پَرسه زَدَن، وِلگَردی کَردَن
Lupe; ذَره بین، عَدَسی ِ بُزُرگ نَما، میکروسکُپ
- unter die Lupe nehmen, prüfen; اِمتِحان گِرِفتَن
Lust;
- Lust, Freudigkeit; مِیل، تَمايُل
- Lust, Lüsternheit; شَهوَت
- ich hatte Lust, ...; هَوَس کَردَم
- ihren Lüsten unterwerfen; لَگَد کوب ِ هَوَس های ِ خود ساختَن
- ich habe keine Lust; حالَش را نَدارَم، اُفتاده بودَم، دِلَش را نَدارَم
- jem. die Lust nehmen; کِسی را بی مِیل ساختَن، ـ دِلسَرد کَردَن
- keine Lust haben, zu reden; نای ِ حَرف زَدَن را نَداشتَن، بَرای ِ حَرف زَدَن پايَش راه نِمی گیرَد
- die Lust auf ... packt ihn; هَوَس ِ ... گَریبانَش را می گیرَد
- die Lust aufs Reisen überkommt ihn; هَوای ِ سَفَر به سَر ِ او می زَنَد، هَوَس ِ سَفَر می کُنَد
- er hat Lust auf ein Bier; هَوَس ِ يِک آبِجو کَرد
lüstern; شَهوانی، شَهوَتی
- lüstern (Blick); بَد چِشم
lustig; نَشیط، شوخ، شوخ و شَنگ، بَشاش
- er machte eine lustige Bemerkung; او حَرف ِ با مَزه ای زَد
- ein lustiger Mensch; آدَم ِ خَنده رو
- s. über jem. lustig machen; کِسی را به تَمَسخُر گِرِفتَن، کِسی را دَست اَنداختَن، به ریش ِ کِسی خَندیدَن، کِسی را مَسخَره کَردَن
- sie machten s. über sein Reden lustig; حَرفَش به نَظَر ِ آنها مَسخَره آمَد
- lebenslustig sein; اَهل ِ حال بودَن
lustlos;
- er ist lustlos; او بی دَماغ است
- lustlos sagte er, ...; بی هَوا گفت
lutschen; مَکیدَن
- wir lutschen Eis; بَستَنی می مَکیم
luxuriös; مُجَلَل، تَجَمُلی
Luxus; لوکس، تَجَمُل
- Geschäft mit Luxusartikel; مَغازهٔ لوکس فُروشی
Luzerne; یونجه
Lymphdrüse; غُدهٔ لَنفی
Lymphknoten; گِرهٔ سِپید ِ رَگ، ـ لَنفاوی
lynchen; اِعدام کَردَن بِدون ِ مِحاکِمه
Lynchjustiz; دادرِسی ِ مُثلِه کُنی، بِدون ِ مُحاکِمه کُشتَن
Lyrik; تَغَزُل
lyrisch; غَزَلی
