da; آنجا
Drahtzaun; حِصار ِ سیمى
Drahtzieher; تَحریک کُنَنده، مُحَرِک
Drainage; زِه کِشى
Drainagegraben; فاضِلاب رو، زِه کِش
drall;  چاق
- eine dralle Person (*:dick); شَخص ِ تَنومَند
Drall; چَرخِش، تاب، پیچِش
- Rechtsdrall; پیچِش ِ سَمت ِ راست
Drama; درام
dramatisch; فَجیع، بُحرانی
- in dramatischer Weise; به نَحو ِ فاجِع
dramatisieren; به چیزى اَهَمیَت مُفرِط دادَن
dran;
- er ist dran; نوبَت ِ اوست
- er macht s. dran; او دَر صَدَد ِ کار بَر مى آیَد
- da ist was dran; تا نبایَد چیزَکى، مَردُم نَگویَند چیزها
- da ist was dran (z.B. ein Fehler); عِیب داشتَن
Drang (*:Neigung); گِرایِش، تَمایُل
Drängelei; اِزدِحام، تَنه زَنى
drängeln; تَنه زَدَن، هُل دادَن
- vor der Kasse drängeln; جلوى باجهٔ صَندوق اِزدِحام کَردَن
- bitte nicht drängeln; فِشار نَدهید، تَنه نَزنید
- ich drängle mich nicht zu dieser Aufgabe; مَن به این کار مُبادِرَت نِمى کُنَم
drängen; بَر کِسى فِشار آوَردَن
- jem. drängen, zu tun;  .کِسى را اِصرار کَردَن، به کِسى وادار ک
- in die Versammlung drängen; به مَجلِس هُجوم آوَردَن، ـ کَردَن
- die Zeit drängt; وَقت کَم است، وَقت ضَیِق است
- es drängte ihn nach draussen; هَواى بیرون به کَله اش زَده بود
- in die Defensive drängen; بِحالَت ِ تَدافُع کِشاندَن
Drängen; اِصرار
- auf das Drängen hin von ...;  ... ِ به اِصرار
drangsalieren; کِسى را اَذیَت کَردَن
dranhängen;
- ein bisschen Zeit dranhängen; وَقتى بیشتَرى صَرف کَردَن
drastisch;
- drastische Ausdrucksweise; طَرز ِ گُفتار خَشِن، - زُمُخت
- drastische Massnahmen; اِقدامات ِ مُؤَثِر
drauf;
- er ist drauf und dran, zu gehen; او دَر صَدَد ِ رَفتَن است، او دارَد مى رَوَد، او بَر آن شُد که بِرَوَد
- drauf los-Mentalität; جَسورانه
- drauf los reden; وِلگو بودَن
- er redet immer drauf los; هِى گُفت که گُفت
- Gut drauf sein; سَر ِ حال بودَن
- er ist gut drauf; کَله اش گُرم شُده است
draufgängerisch; شُجاع
- draufgängerisch handeln; تَهَوُر بِخَرج دادَن، با جُرأت عَمَل کَردَن
draufhaben;
- der hat was drauf; شَمشیرِش به اَبر می رِسَد
drauflegen;
- noch einen drauflegen (beim Essen: Die Suppe verdünnen, damit es reicht); آب ِ دیزی را زیاد کَردَن، بِمِزاح: چیزی بِطَعام اَفزودَن
draussen; بیرون، خارِج
- draussen vor der Tür; بیرون ِ دَر
- nach draussen stürmen; بیرون زَدَن
drechseln; خَراطى کَردَن
Drechslerei; خَراطى
Dreck; کِثافَت، چِرک
- der letzte Dreck; فَضله
- er hat Dreck am Stecken; تُنبانَش گُهى است
- er wirft mit Dreck auf jem.; کِسى را لَجَنمال مى کُنَد، آبروى کِسى را به گُه مى کِشَد
- wer mit Dreck wirft, wird selber schmutzig; تُف ِ سَربالا به ریش ِ صاحِبِش بَر مى گَردَد
dreckig; کَثیف، نَجِس
Dreh;
- er hat den Dreh raus; او فوت و فَن ِ این کاررا بَلَد است، او لِمِش را مى دانَد، او قِلِقش را ـ
Drehbank; ماشین ِ تَراش
drehbar; چَرخان، گَِردان، قابِل ِ چَرخِش
Drehbrücke; پُل ِ گَردان، ـ مُتَحَرِک
Drehbuch; فیلمنامه
Drehbuchautor; نَمایش نامه نِویس، فیلمنامه نِویس
drehen; چَرخیدَن
- s. drehen; گََردیدَن، دور زَدَن، چَرخ خوردَن، قِل خ.، چَرخیدَن
- etwas drehen; گَردانیدَن، غَلطانیدَن
- jemandem einen Strick drehen; بَراى ِ کِسى پا پیچ ساختَن
- ich drehte den Schlüssel herum; کِلید را چَرخاندَم
- er dreht es einmal um (z.B.: Fleisch in der Pfanne); یِک چَرخِش می دَهَد
- der Kreisel dreht s.; فِرفِره دور ِ خود فِر مى زَنَد
- den Verschluß drehen; دَر ِ قوطی را پیچ دادَن
- es dreht s. um ...; مَطلَب سَر ِ این است
- alles dreht s. um mich; هَمه چیز دُور تا دُور ِ مَن می چَرخَد
- s. um sich selbst drehen; خود ِ مِحوَر بودَن، دور ِ خود چَرخیدَن، چَرخ خوردَن
- er dreht seine Runden; او جولان مى دَهَد
- s. im Bett drehen; توی ِ تَخت غَلتی زَدَن
- er dreht seinen Kopf nach hinten; سَرِش را به عَقَب یَله مى دَهَد
- sein Kopf dreht s.; سَرَش گیچ می رَوَد
- gedreht; مَفتول
Dreher; تَراش کار، خَراط
Drehgeschwindigkeit; سُرعَت ِ چَرخِش
Drehmoment; گَشتاوَر، مُمان
Drehorgel; اُرگ ِ دَندانه ای
Drehpunkt; مَدار، نُقطهٔ دَوَران، ـ گَردان
Drehregler; رِگولاتُر ِ اِلقائى
Drehstuhl; صَندَلى ِ گَردان
Drehungsfähigkeit; قابِلیَت ِ چَرخِش
Drehzahl; تِعداد ِ دور
drei; سِه
- er kann nicht bis drei zählen; او هَررا از بَر تَشخیص نِمى دَهَد
dreiblättrig; سه بَرگه
Dreieck; مُثَلَث، سه گوشه
Dreieinigkeit; تَثلیَث، ثالوث، سه یگانِگی
dreifach; سه گانه
Dreikäsehoch; بَچهٔ عَلَقه مَضَغه
dreimalig; سِه بار
- nach dreimaligem Klopfen; بَعد از سه بار دَر زَدن
Dreimeilenzone; مَنطَقهٔ سه میلى
Dreisatzrechnung; اَربَعهٔ مُتَناسِبه، قاعِدهٔ تَناسُب
Dreisprung; پَرِش ِ سه گام
dreissig; سى
- dreissigjähriger Krieg; جَنگ ِ سى ساله
dreissigst; سى اُمین
dreist; گُستاخ، جَسورانه، غُراب، سَمِج، وَقیح
- dreiste Frau; زَنى بى پَروا، ـ جَسور، ـ وَقیحانه
- die Zensur ist dreist; سانسور وَقیح است
Dreistigkeit;
- mit Dreistigkeit; از روى تَهَوُر ِ گُستاخى، با سَماجَت، با جَسارَت، با وِقاحَت
dreizehn; سیزده
Dresche; کُتَک
- Dresche kriegen; کُتَک خوردَن
dreschen;
- Korn dreschen; خَرمَن کوبیدَن
- leeres Stroh dreschen; مُهمَل گفتن، یاوه گ.، مُهمَلَت بافتَن
Dreschflegel; پادَنگ، گَندُم کوب
dressieren;  .تَربیَت کَردَن، دَست آموز ک
dressiert; دَست آموز
Dressur;
- Pferdedressur; سوغان
Dressurpferd; اَسب سوغان
Dressurreiten; اَسب بازى
Drill (Militär); مَشق ِ نِظامى
Drillbohrer; درِل
drillen;
- Soldaten drillen; سَربازان را مَشق دادَن
Drilling; سه قَلو
dringen;
- auf Hilfe dringen; به کُمک ِ کِسى اِصرار کَردَن
- die Stimme dringt bis ...; صِدا میرِسَد به
dringend;
- dringend ersuchen; مُصِراً دَرخواست کَردَن
- ich bitte Sie dringend;  مُصِرانه از شُما ـ
- dringend erforderlich; نیاز ِ مُبرَم، واجِب ِ ... بودَن
- in dringenden Fällen; دَر صورَت ِ ضَرورَت
Dringlichkeit; فوریَت، ضَرورَت
- macht die Dringlichkeit von ... noch stärker; فوریَت و لُزوم ِ.. را بَسى بیشتَر مى کُنَد
Dringlichkeitsantrag; دَرخواست بِقِید ِ فوریَت، تَقاضا نامهٔ فورى
dritt;
- eine dritte Person; شَخص ِ ثالِث
drittens; ثالِثاً، سِوُم ِ آنکه
Drittländer; کِشوَرهاى ِ ثالِث
droben; بالا
- hoch droben; آن بالاى ِ بالا
Droge; مُخَدِر، مَواد ِـ
Drogensüchtiger; آدَم ِ عَمَلى، مُعتاد به مَواد ِ مُخَدِر
drohen;  بَراى ِ کِسى خَط و نِشان کِشیدَن، کِسى را تَهدید کَردَن، بَر کِسى شاخ و شانه کِشیدَن
- die Sache droht kaputtzugehen; این چیز خَطَر ِ خَرابى دارَد
drohend; هائِل، تَهدید آمیز
- drohende Gefahr; خَطَر ِ نَزدیک
dröhnen; غُریدَن
- mir dröhnt der Kopf; سَرَم گیچ مى خورَد
- der Zug dröhnt über die Gleise; قَطار بَر فَراز ِ خُطوط مى غُرَد
Drohung; تَهدید، تَخویف
drollig;
- drollige Geschichte; حِکایَت ِ مُضحِک، ـ خَنده دار، ـ با مَزه
Dromedar; شُتُر ِ یِک کوهان
Drossel; باستَرَک
drosseln; خَفه کَردَن، کاستَن
- die Produktion drosseln; تولیدرا فُرو نِشاندَن
Drosselung; کاهِش، تَقلیل، تَصغیر
Drosselventil; دَریچهٔ تَنظیم، سوپاپ ِ خَفه کُنَنده، ساسات
Druck;
- Druck (bei Büchern, u.a.); طَبع، چاپ
- Druck (psychol.); هَوار، فِشار
- innerer, seelischer Druck; بَختَک، فِشار ِ داخِلى
- der Typ wollte mich unter Druck setzen; یارو میخواست مَرا سَر وکیسه بِکُنَد
- jem. unter Druck setzen; کِسى را به سُتوه آوَردَن
- auf jem. Druck ausüben (infin.);  (به کِسى مى چَربَند (چَربیدَن
- es wird kein Druck ausgeübt; تَضییق بِعَمَل نمى آیَد
- Ohne Druck läuft nichts; موش به خانه اش نِمى رَفت جارو به دُمَش مى بَست
- unter dem Druck der öffentlichen Meinung; تَحت ِ فِشار ِ اَفکار ِ عُمومى
- etwas zum Druck bringen; چیزى را به چاپ رساندَن
- Bilddruck (kein Original); یِک تَصویر ِ باسِمه
Drückeberger; طَفره زَن
- er neigte zum Drückebergertum; دَر صَدَد ِشانه خالى کَردَن از زیر کار بود
drucken;  .چاپ کَردَن، طَبع ک.
drücken; فِشُردَن، فِشار دادَن
- s. drücken vor ...; از ... طَفره زَدَن، ـ سَر باز زَدَن، از زیر ِ.. دَر رفتن، زِه زَدَن
- jemandem die Hand drücken; دَست ِ کِسى را فِشُردن
- jem. an die Wand drücken; کِسى را مُچاله کَردَن
- den Preis drücken; قِیمَت را پائىن آوَردَن
- der Schuh drückt; کَفش تَنگ است، ـ فِشار مى آوَرَد
- um ihn mit harter Arbeit zu drücken; تا اورا با کار ِ دُشوار ذَلیل سازَد
- s. vor der Arbeit drücken; شانه خالى کَردَن از زیر کار، ـ از کار گُریختَن
- zerdrücken; لِه کَردَن
- zusammendrücken; مُنقَبِض کَردَن
- drückende Belastung; شاق
- drückende Armut; فَقر ِ مُکِب، فِشار ِ فَقر
- die Last wird drückend; شانه ها دَر زیر فِشار تا مى شَوَد
- drückende Luft; هَواى ِ حار، ـ خَفه کُنَنده
Drucker; چاپگَر، چاپچى، طَباع
Drücker;
- auf den letzten Drücker das Geld auftreiben; با هِزار جان کَندَن پول را تأمین کَردَن
Druckerhöhung; اِزدیاد ِ فِشار
Druckerpresse; مَنگَنهٔ چاپ
Druckfeder; فَنَر ِ فِشارى
Druckfestigkeit; اِستِحکام ِ فِشارى
Druckknopf; دُکمهٔ فِشارى
Druckluft; هَواى ِ مُتَراکِم، ـ فِشُرده
Druckluftbremse; تُرمُز ِ بادى
Druckwelle; موج ِ ضَربه اى
Druckwerk; اِنطِباعات
drumherum;
- reden, ohne viel drumherum; بِدون ِ شاخ و بَرگ حَرف زَدَن
drunter;
- es geht alles drunter & drüber; هَمه اش دَر هَم بَر هَم است، ـ بَر بُشول است
Drüse; (pl.) غُده (غُدَد)، دُشبُل
Drüsengewebe; بافت ِ تَرَشُحى
Dschingis Khan; چَنگیز خان ِ مُغول
Dschungel; جَنگَل
- hier herrscht das Gesetz des Dschungels; هَمه چیز به نوعى ِ قُلدُرى بَستِگى دارَد
du; تو
- mit jemandem auf du und du stehen; .هَمدَم ِ کِسى بودَن، با کِسى صَمیمى ب
Dualismus; ثَنَویَت، دوگانِگى
dualistisch; دوگانه، ثَنَوى
Dualwirtschaft; اِقتِصاد ِ دوگانه
Dübel; چوب ِ میخى، رُل پلاگ
dubio;
- in dubio pro reo; دَر صورَت ِ تَردید به نَفع ِ مُتَهِم رأى داده میشَوَد
dubios; مُبهَم، مَشکوک، عَجیب
ducken (s. -);  .خَم شُدَن، خوار ش
Duckmäuser; آدَم ِ آب زیر ِ کاه، آدَم ِ مُحیل، ـ بُزدِل
Dudelsack; نِى ِ بادى
Duell; مُبارِزه تَن بِتَن، دوئِل
duellieren (s. -); دَست به دوئِل زَدَن
Duft; عَطر، بوى ِ خوش
duften; خوشبو بودَن، بوى خوب دادَن
- es duftet nach; بوى ِ ... مى آیَد
duftend; مُعَطَر، خوش بو
duftig;
- duftiger Stoff; پارچهٔ نازُک
dulden;
- jem. dulden; به کِسى اجازهٔ اِقامَت را دادَن
- jem. erdulden; کِسى را تَحَمُل کَردَن
Duldung; تَحَمُل، اِغماض، پَشمپوشى
- mit Hilfe der Duldung durch ...; به پاس ِ اِستِفاده از اِغماض ِ کِسى
dumm; اَبلَه، اَحمَق
- bin ich dumm dagestanden; مَن صِفر شُدَم
- s. dumm stellen;  .خود را سَر به کوچهٔ عَلى چَپ زَدَن، خود را نَفَهمى ز
- s. dumm anstellen; دَست و پا چُلُفته، بى عُرضه بودَن
- ich habe mich dumm geredet; هِى حَرف زَدَم که خِرِفت شُدَم
- jem. (oder etwas) dumm machen; خِنگ کَردَن
- wir stehen nur dumm herum; ما خِرِفت شُدیم
- dummes Geschwätz; مُزَخرَف میگویَد، حَرف ِ مُفت
- dummes Zeug reden; پِرت و پَلا گُفتَن، زَنَخ زَدَن
- dumm geboren, nichts dazugelernt; خَرى زاد و خَرى زیست و خَرى مُرد
- Die dümmsten Bauern haben die grössten Kartoffeln; دُنیا به کام ِ اَبلَهان است
Dummheit; اَبلَهى، خُلى، خَریَت، حِماقَت
- was für eine Dummheit habe ich begangen; چه حِماقَتى کَردَم
- angeborene Dummheit; بِلاهَت ِ جِبِلى
Dummkopf; کودَن، آدَم ِ کَله پوکى، آدَم ِ خُل وَضع، کَله پوک، نِفله
dumpf;
- dumpfer Ton; صِداى ِ خَفه
- ein dumpfes Murmeln; هَمهَمهٔ خَفه
Dummy; عَروسَک برای ِ آزمایِش فَنی
Düne; تَپهٔ ریگ
Dung (*:Mist); پِهِن، گُه
- Schafdung; پِشکِل ِ گوسفَند
Düngemittel; کود
düngen; کود دادَن
Dünger;
- Kunstdünger; کود ِ شیمیائى
- Naturdünger; کود ِ طَبیعى
Düngung; کودپاشى
dunkel; تاریک، تار و تیره
- dunkle Geschäfte; مُعامِلهٔ کَچ
- dunkle Materie (astron.); جِرم ِ تاریک
- dunkler Tee; چاى ِ پُر رَنگ
- dunkelblond; بور تیره رَنگ
- er ist dunkelhaarig; موهایش تیره رَنگ است
- er ist dunkelhäutig; رَنگَش تیره است
- es ist stockdunkel; چِشم چِشم را نِمیبینَد، سَخت تاریک است
- er kommt im Dunkel; دَر سیاهى ِ شَب مى آیَد
Dünkel; اَنانیَت، باد و دَم، اِستِکبار، تَکَبُر
- aus reinem Dünkel; از باد ِ نِخوَت
Dunkelheit; تاریکى
Dunkelkammer; تاریک خانه
Dunkelmänner; اَشخاص ِ سیاه کار
dünken;
- welcher dünkt dich, ... zu sein; به عَقیدهٔ تو کُدام یِک از ... بِحِساب میایَد
- er dünkt s. was besonderes zu sein; او خیال می کُنَد از دَماغ فیل اُفتاده
- wie es Euch dünkt; دَر مُوافِق ِ آنچه دَر نَظَر ِ شُما پَسَند و صَواب آیَد
dünn; لاغَر
- dünne Brühe; کَم مایه، آبگوشت ِ آبَکى
- dünner Baumstamm; تَنهٔ نازُک
- er hat einen dünnen Bart; ریش ِ کوسه دارد
- dünnes Haar; موهاى ِ تُنُک، - لَخت
- dünne Luft; هَواى ِ رَقیق
- s. dünne machen; جیم شُدَن
- der Bursche ist hauchdünn; این یارو بِل و باریک است
Dünndarm; رودهٔ باریک، مِعاء ِ دِقاق
dünnwandig (i.S.: empfindlich); دِل نازُک
Dunst;
- aufsteigender Dunst; دود ِ مُتَصاعِد
- schädlicher Dunst; بُخار ِ رَدیه
- voller Dunst; دَم داشتَن
- im Dunst liegen; هنوز پوشیده از مِه بودَن
- Blauer Dunst; خیال ِ باطِل، خیال بافى
- s. in blauen Dunst auflösen; از دیدهٔ کِسى ناپَدید شُدَن
- keinen Dunst haben; از چیزى بى اِطِلاع بودَن
dünsten; دَم کَردَن
Dunstglocke; هَوا خِیلى دَم دارَد
dunstig; دَم دار، مِه دار، بُخار آلود
- dunstig geworden; مِهى شُده، مِه گِرِفته
Dunstkreis;
- Dunstkreis, Umgebung; مُحیط
Dünung; لَپَر ِ دَریا، موج ِ ـ
Duplikat; نُسخهٔ دُوُم، اَلمُثَنىٰ
Dur; ماژور
durch;
- durch & durch; سَرتاسَر
- durch die Scheiben schauend, ...; از پُشت ِ شیشه ها نِگَریسته
- durch Jesus gerettet; به وَساطَت ِ عیسىٰ نِجات یافتَن، از راه ِ ـ
- durch den Wald gehen; از جَنگَل رَد شُدَن، ـ گُذَشتَن
- er tritt durch die Glastür ins Innere; از دَر ِ شیشه به دَرون پا مى نَهایَد
- er schiebt s. durch die Menge; خودرا از میان ِ جَمعیَت هُل مى دَهَد
- Tod durch das Schwert; به ضَرب ِ شَمشیر مُرد
- er starb durch die Hand von ...; او بِدَست ِ فِلان کُشته شُد
- jem. durch den Fluss führen; کِسى را از رود خانه عُبور دادَن
- durch die Menschen durch, zu ...;  خودرا از لابِلاى ِ مَردُم میرِسانَند به
durchackern;
- das Buch durchackern; کِتاب را حَلاجى کَردَن، ـ از سَر تاسَر خواندَن،  ـ از سَر تا تَه ـ
durcharbeiten;
- Tag und Nacht durcharbeiten; شَب و روز مَشغول بودَن
- das Thema durcharbeiten; موضوع را مُرور کَردَن
durchaus; قَطعاً، صِرفاً، حَتماً
durchbeissen(s. -); دَندان روى ِ جِگَر گُذاشتَن
Durchblick;
- Durchblick habend; نافِذ
- er erlangte Durchblick in seiner Arbeit; دَر کارِش تَبَحُر حاصِل کَرد
durchblicken;
- durchblicken lassen, dass ...; با اِشاره متوجهٔ چیزى کَردَن
- sie können hier durchblicken; از میان ِ ... مى تَوانید نِگاه کُنید، از لاى ِ ـ
- da kann keiner durchblicken; هیچکس از این موضوع مَسبوق نِمى شَوَد
- da blicke ich nicht durch; از این کار سَر دَر نِمى آوَرَم، سَرَم نِمى شَوَد
- sie blickte nicht durch, worum es ging; او نِمیدانِست کُجا به کُجاست
- blickst du da durch?; چیزى دَستگیرَت مى شَوَد؟
Durchblutung;
- seine Durchblutung ist gut; جَریان ِ خون ِ بَدَنِش خوب است
durchbohren;
- etwas (z.B. Mauer) durchbohren; دَر چیزى رَخنه دادَن، چیزى را سوراخ کَردَن
durchbohrend (z.B.: durch Metall); ثاقِب
- durchbohrender Blick; چِشمان ِ نافِذ
durchbrechen;
- die Schokolade durchbrechen;  .شُکولادرا دونیم کَردَن، ـ دو پاره ک
- die Absperrung durchbrechen; خُطوط ِ مُمانَعَت را شِکافتَن
durchbrennen; جیم شُدَن، دَر رفتن
- ... die Sicherungen durchbrennen; فیوزها مى سوزَند
durchbringen;
- seine Familie durchbringen; بَراى ِ عَیال ِ خود مَعاش پِیدا کَردَن
- das Gesetz durchbringen; قانون را گُذَراندَن
- das Vermögen durchbringen; اَموال ِ خودرا به باد دادَن
Durchbruch;
- er hat den Durchbruch geschafft; پیروز شُد، غَلَبه پِیدا کَرد
durchdacht; حِسابى، مَعقول
- gut durchdacht sein; حَکیمانه مُحاسِبه شُدَن
durchdenken; غوطه وَر شُدَن، تَعمُق کَردَن
durchdrehen; سَرگَردان شُدَن
- als er ... sah, drehte er durch; چِشمِش که به ... اُفتاد آن روى ِ سَگش بالا آمَد
- er ist durchgedreht; فیوزش پَریده است، سیمهایش قاطى شُده است
durchdringen;
- ein Thema durchdringen; تَه و توى ِ موضوع را تَحقیق کَردَن
- seine Angaben dringen nicht zu mir durch; حَرفِش به مَن نِمى رِسَد
- dringen vom äusseren zum Wesentlichen durch; از ظَواهِر میگُذَرَند و به باطِن مى رِسَند
durchdringend;
- jem. durchdringend anstarren; هِى به کِسى نِگاه کَردَن
- durchdringende Kälte; سَرماى ِ زَنَنده
- durchdringender Schmerz; دَرد ِ نافِذ
Durchdringung;
- wechselseitige Durchdringung; داخِل شُدِگى ِ یِکدیگَر
Durchdringungsvermögen; قابِلیَت ِ نُفوذ
durcheinander; قاتى پاتى، دَرهَم بَرهَم، تار و مار، چِرت و پِرت
- er ist ein bisschen durcheinander (popul.) (*:verstört); او یه کَمى گیجه، پَکَرش است، پَریشان حال است، دِل او شور مى زَنَد
Durcheinander; هَرج و مَرج
- in diesem Durcheinander; دَر این دِه و دار، ـ هَرج و مَرج، ـ گیر و دار، ـ حِیص و بِیص، ـ خَر تو خَرى، ـ کى به کى، ـ دوغ و دوشاب
durcheinanderbringen; مُنقَلِب ساختَن، قاتى پاتى کَردَن، مُختَل ک.، زیر و رو ک.، بَراَنداختَن، بُشولانیدن، به هَم ریختَن
- alles durcheinanderbringen; چیزى را قَر و قاطى دیدَن، ـ از تَرتیب اَنداختَن، ، ـ بِهَم ریختَن
- etwas durcheinanderbringen bei ...; کاسه کوزهٔ کِسی را به هَم زَدَن
- jemandes Lage durcheinanderbringen; اوضاع ِ کِسی را بی ریخت کَردَن
- wie kommt es, dass dich ... so durcheinander bringt? (popul.); چِته ... چِقَدر هولی؟
durcheinandergeraten;  .بَر بُشول شُدَن، زیر و رو ش
durcheinanderkommen;
- durcheinanderkommen (die Angelegenheit); بُشولیدَن، مَغشوش شُدَن
- durcheinanderkommen (der Text); پَس و پیش شُدَن
durcheinanderwerfen;
- alles durcheinanderwerfen; شِش دُنگ اَنداختَن
durcheinanderwirbeln; مُعَلَق زَدَن، زیر و رو کَردَن
durchfahren;
- da durchfährt mich eine Idee; جَخ از نَظَرم فِکرى گُذَشت
- ein durchfahrender Zug; قَطار بِدون ِ تَوَقُف
Durchfahrt; گُذَرگاه، عُبور
- freie Durchfahrt; عُبور ِ آزاد
Durchfall; اِسهال، اِطلاق ِ شِکَم
durchfallen;
- bei der Prüfung durchfallen; دَر اِمتِحان مَردود شُدَن، ـ رَد شُدَن، ـ پَذیرُفته نَشُدَن
- jem. durchfallen lassen; کِسى را رَد کَردَن
- durchgefallen; رِفوزه، رَد شُده
- die, die in der Prüfung durchgefallen sind; رَدشُدِگان ِ اِمتِحانات
durchfetten;
- Süssigkeit, die durchfettet; شیرینى که چَربى مى اَندازَد، ـ چَربى پَس مى دَهَد
Durchflussanzeiger; اَندیکاتور ِ سِیلاب ِ جَریان
durchforschen; تَحقیق کَردَن
durchfragen (s. -); مَردُم پُرسان پُرسان تا ... رَفتَن
durchführbar; مُیَسِر، اَنجام پَذیر، عَمَلى، قابِل ِ اِجرا
- durchführbares Programm; بَرنامهٔ عَمَلیاتى
durchführen; اِجراء کَردَن، عَمَلى ک.، تَشکیل دادَن، به اَنجام رِسانیدَن، اَنجام دادَن
- eine Veranstaltung durchführen; بَرنامه را برگُذار کَردَن، ـ گُذَراندَن
- mit x ein Gespräch durchführen; با کِسى گُفتِگوئى اَنجام دادَن
- wegen ... konnte ein Besuch nicht durchgeführt werden; به عِلَت ِ ... دیدار مُیَسِر نَشُد
- das Programm wurde durchgeführt; بَرنامه اَنجام شُد
Durchführung;
- zur Durchführung gelangen; صورَت گِرِفتَن
- hängt ab von der erfolgreichen Durchführung ...; مَنوط به طِى ِ مُوَفقیَت آمیز ِ ... است
- ... welches Ergebnis die Durchführung des Projektes erbringt; از عَمَلکَرد پرُژه چه نَتیجه ائى بِگیرَد
durchfurcht;
- durchfurchtes Gesicht; رُخسارهٔ پُر شیار 
Durchgang; عُبور، گُذَر
Durchgangsstelle; مُعَبَر، گُذَرگاه
Durchgangsventil; سوپاپ ِ میانى
Durchgangsverkehr; ترافیک ِ عُبورى
durchgehen;
- Lektion durchgehen; دَرس را خواندَن، ـ مُرور کَردَن
- sein Mundwerk geht mit ihm durch; جِلوى ِ زَبانَش را نِمى گیرَد
- jem. alles durchgehen lassen; خِیلی لیلی به لالای ِ کسی گُذاشتَن
- das Pferd geht durch; اَسب جِلووِل مى شَوَد، ـ رَم مى شَوَد
- durchgehende Geschäftszeit; اوقات ِ اِدارهٔ یِکسَره
- durchgehender Zug; قَطار ِ بى مَکث
durchgeistigt;
- durchgeistigtes Gesicht; سیماى ِ روحانى
durchgesehen; مُصَدِق
durchgreifen;
- durchgreifende Massnahmen; اِقدامات ِ نافِذ و مُؤَثِر
durchhalten;
- was einen durchhalten lässt; اِستِمار مى بَخشَد
- die Sache bis zum Ende durchhalten; جَریان را سَر بَسته نِگه داشتََن
Durchhalteparolen; شُعار ِ اِستِقامَت
durchkauen (eine Sache);  .حَلاجى کَردَن، نُشخوار ک
durchknallen;
- durchgeknallt; چِل، چِل و وِل
- der Typ ist so durchgeknallt; یارو این قَدر چِل است
durchkommen; رَد شُدَن، گُذَشتَن
- bei der Prüfung durchkommen; از اِمتِحان گُذَشتن، ـ گُذَرانیدن، دَر اِمتِحان قَبول شُدَن
durchkreuzen (Pläne) ; نَقشه را زیر و رو کَردَن، ـ مُختَل ک.، ـ باطِل ک.، ـ بَر هَم زَدَن
durchladen (ein Gewehr) ; گَلَنگَدَن را کِشیدَن
durchlassen (jem. -); به کِسى راه دادَن
- lassen Sie mich durch; بِگُذارید رَد شَوَم
durchlässig;
- lichtdurchlässig; شَفاف
Durchlässigkeit; قابِلیَت ِ عُبور
Durchlauf; عُبور
durchlaufen;
- verschiedene Stufen durchlaufen; مَراحِل ِ مُختَلِفى را طِى کَردَن، ـ  پِیمودَن
- Kaffee durchlaufen lassen; قَهوه را از فیلتِر گُذَراندَن
- der Kaffee ist durchgelaufen; قَهوه رَد شُده است، - حاضِر است
Durchlauferhitzer; آبگَرم کُن
durchleben (*:erleben); تَجرُبه کَردَن
durchlesen;
- das Buch in einem Durchgang durchlesen; کِتاب را دَر یِک نِشَست خواندَن
Durchleuchtung; مُعاینِه با اَشعِهِ
durchlöchern; سوراخ کَردَن
durchlüften; هَوا دادَن
durchmachen;
- die Nacht durchmachen; شَب زِنده داشتَن، شَب را روز کَردَن
- er hat viel durchmachen müssen; او سَختیهاى ِ زیادى را کِشیده است، ـ گُذَراند، ـ تَحَمُل کَرد
Durchmesser; قُطر
- Kreisdurchmesser; قُطر ِ دائِره
durchnässen;
- er ist bis auf die Haut durchnässt; مویَش آب کِشیده شُده، مِثل ِ موش آب کِشیده
durchqueren; عُبور کَردَن، پِیمودَن
- halb Europa zu Fuss durchqueren; نِصف ِ اُروپا را پاشنه دَر کَردَن
Durchreise;
- auf der Durchreise durch; عُبور از ..، گُذَر از
- auf der Durchreise habe ich besucht; مَن عُبوراً از فِلان دیدَن کَردَم، سَر ِ راه ـ 
- er ist auf der Durchreise; او دَر گُذَر است
Durchreisender; مُسافِر، گُذَر
durchreissen; پاره کَردَن
Durchsage; خَبَر
durchsagen; به اِطِلاع رسانیدَن
durchschauen;
- ich durchschaue etwas; مَن سَر از چیزى دَر مى آوَرَم، مَن سَرم از چیزى دَر مى آیَد، مى فَهمَم
- er ist durchschaut;  کاسه اش از بام افتاد، طَبلَش دَرید
durchscheinend; زُلال، شَفاف
- die Farbe scheint durch; رَنگ از پُشتِش پِیدا مى شَوَد
Durchschlag (*:Sieb); آب کِش
durchschlagen;
- s. schwer durchschlagen; با سَختى به جائى رِسیدَن، سَختى کِشیدَن، بازو زَدَن
- durchschlagend (Geschoss); ثاقِب
- durchschlagender Beweis; دَلیل ِ قاطِع
durchschlängeln (s. -); به چَپ و راست مارپیچ زَدَن
durchschlüpfen;
- durch das Netz durchschlüpfen; از توى ِ شَبَکه سُریدَن
durchschmoren;
- den Draht durchschmoren; سیم را سوزاندَن
Durchschnitt;
- monatlicher Durchschnitt; مُتَوَسِط ِ ماهیانه
- guter Durchschnitt; مُعَدِل ِ عالى
- im Durchschnitt ...;. بِطور ِ مُتَوَسِط
