e (Vokal über Konsonant); عَلامَت ِ کَسرَه
entrechtet; از حَق مَحروم شُده، مَحروم از حَق
- entrechtete Menschen; مَحرومین
Entrechtung; مَحرومیَت، سَلب ِ حق
Entree; دِهلیز ِ سَرسَرا
entreissen; به یَغما بُردَن، به غارَت ب.، قاپ زَدَن، قاپیدَن، با زور گِرِفتَن
- s. jem. entreissen; از دَست ِ کِسى جان ِ خودرا خَلاص کَردَن
- entrissen; سَلیب شُده
entrichten; پَرداختَن
entrinnen; (präs.) فَرار کَردَن، بِچاک زَدَن، از دَست ِ کِسى رَستَن (مى رَهانَد)، ـ جان به سَلامَت بُردَن، جان به دَر بُردَن
- es gibt für dich kein Entrinnen; راه ِ گُریز نیست، چاره اى نیست
Entronnensein (philos.); بُرون رَفت
Entropie; اُفت
- bedingte Entropie; اُفت ِ مَشروط
entrücken; رُبودَن
- sie werden in den Himmel entrückt; آنها به آسمان رُبوده مى شَوَند
- sie hatte ein entrücktes Lächeln; رو لَبهایَش لَبخَند ِ دوری بود
Entrückung; رُبودِگى
Entrümpelung; تَخلیه
entrüsten (s. -); مُتَغَیِر شُدَن، از جا دَر رَفتَن، به خَشم آمَدَن
Entrüstung; ناراحَتى، خَشم، تَغَیُر
- Sturm der Entrüstung;  طوفان ِ خَشم، ـ غِیظ
Entsafter; عُصاره گیر
entsagen; صَرفِنَظَر کَردَن، تَرک ک.، پَرهیز ک.، از چیزى گُذَشتَن
- ein Mensch, der allem entsagt; ریاضَت کِش، زاهِد، آدَمى از خود گُذَشته
Entsagung;
- ein Leben voller Entsagung führen; ریاضَت کِشیدَن، ریاضَت کِشى کَردَن
Entsalzung; نَمَک گیرى
entschädigen; به مُکافات رِساندَن، خَسارَت ِ کِسى را جُبران کَردَن
- jem. für seine Arbeit entschädigen; زَحَمات ِ کِسى را تَلافى کَردَن
Entschädigung; غَرامَت، جُبران ِ خَسارَت
Entschädigungssumme; وَجه غَرامَت
entschalen; پوست کَندَن
entschärfen;
- die Bombe entschärfen; جاشنى ِ بُمب را بیرون کِشیدَن
- Konflikt entschärfen; تَنِش ِ دَرگیرى را رَفع کَردَن
- Streit entschärfen;  .نِزاع را از شِدَت اََنداختَن، ـ از حَرارَت اَ
Entschärfung;
- Entschärfung der Bombe; چاشنى کِشى
Entscheid; خَبَر، جَواب
entscheiden; تَصمیم گِرِفتَن
- s. entscheiden für; رأى به ... دادَن
- s. gegen etwas entscheiden; به ضِد ِ چیزى جازِم شُدَن، عَلیه ِ چیزى رأى دادَن
- über jemandes Kopf hinweg entscheiden; سَر ِ بی صاحِب می تَراشَد
entscheidend;
- entscheidende Rolle; نَقش ِ قاطِع
- entscheidende Reparatur; تَعمیر ِ راه اَندازى
- in eine entscheidende Phase eintreten; وارِد ِ مَرحَلهٔ قَطعى شُدَن
- die entscheidenden Faktoren; عَناصُر ِ تأثیر گُذار
Entscheidung;
- Entscheidung treffen; تَصمیمى اِتِخاذ کَردَن، تَصمیم گِرِفتَن
- ich überlasse die Entscheidung dir; این کاررا به صَلاحدید ِ تو واگُذار مى کُنَم
- Einstimmigkeitsentscheidung; اِتِخاذ ِ تَصمیم بِاتِفاق ِ آراء
Entscheidungsbefugnis; اِختیار ِ تَصمیم
Entscheidungsfreiheit; آزادى دَر اِتِخاذ ِ تَصمیم
entschieden;
- entschiedene Haltung; موضع ِ قَطعى، ـ جازِم، ـ مُصَمَم
- es hat s. entschieden; قاطِع شُد، خاتِمه یافت
Entschiedenheit;
- Entschiedenheit verlangen; قاطِع خواستَن، با قاطِعیَت، به صَراحَت، صَریحاً
Entschlackung; سُرباره بَردارى، قال گُذارى
entschlafen; فوت کَردَن، مَرحوم شُدَن، دَر گُذَشتن
- der entschlafene Nachbar, Herr ..; هَمسایهٔ شادرَوان آقاى
entschliessen (s. -); تَصمیم گِرِفتَن، مُصَمَم شُدَن
- er kann s. nicht entschliessen; او پا سُست می کُنَد
Entschliessung; قَطِعنامه
entschlossen; مُصَمَم، قاطِع، جازِم
- ich habe mich fest entschlossen; مَن عَزم  ِ راسِخى دارَم، تَصمیم را یِکسَره کَردَم، عَزمَم جَزم شُد
- ich bin fest entschlossen, ..; مُصَمَم شُدَم که، عَزم را جَزم کَردَم که
- ich habe mich fest entschlossen, zu reisen; مَن عَزم ِ سَفَر کَردَم
- wild entschlossen schaute er ...; او نِگاهى از روى ِ عَزم ِ پِیکارجو مى کَرد
- wozu hast du dich entschlossen?; رأى ِ تو بَر چه قَرار مى گیرَد؟
- entschlossener Mensch; آدَم ِ کاربُرى
Entschlossenheit; قاطِعیَت، عَزم، تَصمیم، عَزم  ِجَزم
- Entschlossenheit zeigen; موضِع ِ مُحکَمى اِتِخاذ کَردَن
Entschluss;
- einen Entschluss fassen; اَخذ ِ تَصمیم کَردَن
- festen Entschluss fassen, zu ..; چیزى را جَزم کَردَن
entschlüsseln; کَشف کَردَن ِ رَمز
Entschlusskraft; نیروى ِ عَزم، ـ تَصمیم گیرى
- Entschlusskraft besitzen; عَزم ِ راسِخ داشتَن
Entschlusslosigkeit; تَرَدُد، تَذَبذُب
entschuldigen;
- s. wegen ... entschuldigen; .از چیزى پوزِش خواستَن، مَعذِرَت خ.، ـ مَعذِرَت خواهى کَردَن، عُذرخواهى ک
- er lässt s. entschuldigen; او عُذر خواسته است
- entschuldige meinen Fehler; اِشتِباه ِ مَرا مَعذور بِدار
- entschuldigen Sie bitte; مَن از شُما مَعذِرَت می خواهَم، ـ عُذر می خواهَم، بِبَخشید
- den Fehler von jem. entschuldigen; از سَر ِ تَقصیر ِ کِسى گُذَشتن
- Sie mögen schon entschuldigen, aber ...; بَلانِسبَت ِ شُما وَلی
entschuldigt; مَعَذور
- entschuldigtes Fehlen; غِیبَت ِ مُجاز
Entschuldigung;
- um Entschuldigung bitten; مَعذِرَت خواستَن، عُذر خواهى کَردَن، تَمَناى ِ بَخشِش داشتَن، طَلَب ِ عَفو کَردَن
- mit der Bitte um Entschuldigung; با عَرض ِ مَعذِرَت
- Entschuldigungen & Ausflüchte; عُذر و بَهانه
Entschuldigungsschreiben; پوزِشنامه
Entschwefelung; گوگِرد زِدائى
entschwunden; جا تَر است و بَچه نیست
entsetzen (s. -); .وَحشَت کَردَن، یَکه خوردَن، هول خ
- diese Nachricht hat mich entsetzt; از این خَبَر خُشکَم زَد، ـ دِلَم ریخت
- ich bin entsetzt; زَهره اَم رَفت
- ich bin von deinem Tun entsetzt; مَن از کارِت وا خوردَم، زَهره اَم را بُردى
Entsetzen (n); وَحشَت، دِهشَت، هَراسه، هول
- Entsetzen packte uns;  چِشمهای ِ ما گِرد شُد
entsetzlich; سَهمناک، دِهشَتبار، وَحشَتناک
- entsetzlicher Schrei; فَریاد ِ هَراس آوَر
- das sieht entsetzlich aus; رُعب آوَر مى نَمایَد
- der Schmerz tat ihm entsetzlich weh; دَردى دَر جانَش خانه کرَد
- nach .. habe ich entsetzliche Sehnsucht; بَراى ِ چیزى به گونهٔ هَراسناک دِلتَنگَم
entsichern (Gewehr); ضامِن ِ تُفَنگ را آزاد کَردَن
- entsichert (Gewehr); بى ضامِن، ضامِن نَیاَنداخته، ضامِن کِشیده
entsinnen; به یاد آمَدَن
- ich kann mich nicht entsinnen; بِیادَم نِمى آَید، هیچ یادَم نیست
- wenn ich mich recht entsinne; تا آنجائى که حافِظه اَم یارى می کُنَد
- s. einer Sache entsinnen; چیزى را به یاد آوَردَن
Entsorgung; رَفع ِ زُباله
entspannen (s. -); اِستِراحَت کَردَن، تَفریح ک
- die Muskeln entspannen; ماهیچه هارا شُل کَردَن
- ich entspannte, weil ...; خیالَم تَخت شُد که
- entspannt; مُستَریح
- entspannt auf dem Bett liegen; دَر حالَت ِ تَمَدُد بَر روى ِ تَخت دِراز کِشیدَن
- bleib ganz entspannt; خیالِتون تَختهٔ تَخت باشه
Entspanntheit;
- innere Entspanntheit; صَفا، حالَت ِ اِنبِساط
Entspannung; رَفع ِ تَشَنُج، تَنِش زِدائى، رَفع ِ کِشِش
- Politik der Entspannung; سیاسَت ِ تَنِش زِدائى
- Ost-West-Entspannung; تَنِش زِدائى ِ شَرق و غَرب 
entsprechen; تَطبیق کَردَن، مُقابِل ِ چیزى بودَن، مُطابِق ِ ـ، مُتَناسِب ِ ـ
- der Bitte von jem. entsprechen; به خواهِش ِ کِسى اِجابَت کَردَن، خواهش ِ کِسى را بِجا آوَردَن
- diese Dinge entsprechen meiner Lage; این چیزها با وَضعیَت ِ مَن وَفق میدَهَند
- das entspricht der Wahrheit; مُوافِق ِ حَقیقَت است، با حَقیقَت تَطبیق می کُنَد
- das entspricht unseren Erwartungen; این چیز سازگار ِ اِنتِظارات ِ ماست
- das entspricht nicht meiner Absicht; مَنظورَم را اَنجام نِمى دَهَد، ـ تأمین نِمى کُنَد
- die Arbeit entspricht meinen Fähigkeiten; کار دَرخور ِ تَوانائى ِ مَن است
- 1 Dollar entspricht ... Euro; یِک دُلار مُعادِل ِ...  یورو است
- deinem Wunsch wurde entsprochen; خواستهٔ تو به اَنجام رِِسید
entsprechend; ... ِ بَر حَسب ِ، از قَرار ِ، مُعادِل
- bei entsprechender Situation; به فَراخور ِ اَحوال
- ein entsprechender Geldbetrag; وَجه مُقابِل، وَجه اُلمَثَل
- entsprechend unten angegebenem Muster; از قَرار ِ زیر
- entsprechend eigener Forderungen; بابَت ِ طَلَب ِ خود
- eine entsprechende Belohnung erhalten; پاداش ِ مُناسِبى گِرِفتَن
- das entsprechende Wort für .. ist ..; مُعادِل ِ کَلَمه .. این است، کَلَمهٔ مُساوى ِ ـ
- die entsprechende Gemeinde; کِلیساى ِ مَربوطه
- entsprechend ihrer Fähigkeiten; به اَندازهٔ تَوانائى ِ خود، دَر مُقابِل ِ تَوانائى آنها
Entsprechung; اِنطِباق، مُعادِله، تَناسُب
entstammen;
- sie entstammen dem Geschlecht der ..;  آنها از سَلاله .. هَستَند، ـ نَسل ِ ـ
entstauben; گَرد و خاک ِ چیزى را تَکاندَن
entstehen;  .بِوُجود آمَدَن، تولید شُدَن، مُتَکَوِن ش
- gute Beziehungen entstehen; رَوابِط ِ خوب بَر قَرارَند
- es entsteht kein Schaden; خَسارَت وارِد نِمیایَد، ـ به بار نِمى آوَرَد
- daraus entstehen uns Unkosten; بَراى ِ ما مَخارِج ایجاد می شَوَند، این چیز خَرج ِ ما مى اُفتَد
- wegen der Schmerzen, die ihm entstanden sind durch; او از دَرد ِ ناشى از
- was aus .. entstanden ist; چیزى که از .. ناشى شُد
- etwas, was entstanden ist aus ..., wurde die Ursache für ...; چیزى ناشى از .. باعِث شُد که چیزى دیگَرى
- entstehend aus; ناتِج از،  مُتَحَصِل از
- die entstehenden Kosten für das Essen werden in Höhe von .. sein; هَزینه .. با اِحتِساب ِ خورد و خوراک .. مى باشَد
Entstehung; تَکوین، پِیدایِش
- seit Entstehung der Welt; از بَدو ِ خِلقَت ِ عالَم
- Entstehung der Arten (Darwin); پِیدایِش ِ گونه ها بِکُمَک ِ اِنتِخاب ِ طَبیعى
entstellen; از شِکل ِ اَصلى اََنداختَن، تَغییر ِ صورَت دادَن، مُشتَبَه ساختَن، تَحریف کَردَن
- beim falschen Lesen (oder Schreiben) entstellen; .مُصَحَف کَردَن، تَحریف ک
- Entstellung des Textes (diakritische Punkte falsch setzen);  تَصحیف: خُدا - جُدا
entstören;
- das Radio ist nicht entstört; رادیو از اِختِلال صاف نَشُده، از پارازیت خَلاص نیست
Entstörer; پارازیت گیر
enttäuschen; اُمیدرا بَر نَیاوَردَن، مأیوس کَردَن، نااُمید ک.، از کِسى اُمیدَش را گِرِفتَن، کِسى را تَلخ کام ساختَن، ـ بَرفاب دادَن
- ich muss Sie leider enttäuschen; مُتأسِفانه بایَد شُما را مأیوس کُنَم
- von jem. enttäuscht werden;  .از کِسى دِلخور شُدَن، ـ اَفسُرده ش
- er hat mich zutiefst enttäuscht; مَرا بِکُلى بور کَرد
- ich wurde schwer enttäuscht; مات و مَبهوت شُدَم، سَرَم بِسَنگ ِ لَحَد خورد، به تَلخى سَر خوردَم
- enttäuscht schaute er; با چِشمهاى ِ واخورده به ... نِگاه کَرد
- warum bist du enttäuscht?; بَراى ِ چه سَر خوردى؟
- ich sah mich in der Erwartung enttäuscht; از اِنتِظاراتَم سَر خوردَم
- enttäuschte Menschen; اِنسانهاى ِ سَر خورده
- enttäuschte Beziehung (zwischen Mann & Frau); رابطِهٔ تیره
Enttäuschung; دِلخورى، سَرخوردِگى، وا خوردِگى، یأس، نااُمیدى
entthront;
- entthronter König; شاه ِ مَخلوع
Entthronung; خَلع از مَقام ِ سَلطَنَت
entvölkern;
- der Krieg entvölkert das Land; جَنگ کِشوَررا کَم نُفوس می کُنَد، ـ کَم جَمیعَت می کُنَد، ـ خالى از جَمعیَت می کُنَد
entwachsen;
- er ist den Kinderschuhen entwachsen; او از سِن ِ بَچِگى دَر آمَده، بالِغ شُده
entwaffnen; کِسى را خَلع ِ سَلاح کَردَن، از کِسى اَسلَحه را گِرِفتَن
- jem. mit Argumenten entwaffnen; کِسى را به دَلایِل ِ چَند از صَلاحیَت اََنداختَن
Entwarnung; اِعلان ِ خاتِمهٔ خَطَر
entwässern; خُشکانیدَن، خالى از آب کَردَن
- den See entwässern; دَریاچه را زیرآب کَردَن
- den Boden entwässern; زَمین را زِهکِشى کَردَن، آب ِ زَمین را گِرِفتَن
entweder;
- entweder - oder; یا .. یا
entweichen;
- der Dampf entweicht; بُخار دَر میرَوَد، ـ خارِج می شَوَد
entweihen;
- den Sonntag entweihen; .روز ِ یِکشَنبه را بیحُرمَت کَردَن، ـ بى اِحتِرامى ک
Entweihung; تَنجیس، بى حُرمَتى
entwenden; به سِرقَت بُردَن، سِرقَت کَردَن، دُزدیدَن
- das Geld von jem. entwenden; پول را از کِسى کِش رَفتَن، ـ به سِرقَت بُردَن
- das Geld ist entwendet worden; پول به سِرقَت رَفت
Entwendung; دُزدى، سِرقَت
entwerfen;
- einen Plan entwerfen; نَقشه را طَرح کَردَن
- ein Programm entwerfen; بَرنامه ریختَن، بَرنامه ریزى کَردَن
entwerten;
- die Karte entwerten; بِلیط را باطِل ساختَن، ـ مُهر زَدَن،  ـ از اِعتِبار اََنداختَن
- alte Ideale entwerten; آمال ِ پیشینیان را بى اَرزش جِلوه دادَن، ـ حَقیر شُمُردَن
- entwertete Münzen; مَسکوکات ِ مَعیوب
Entwerter (z.B. bei Fahrkarten); باطِل کُنَنده
Entwertung; اِبطال، تَحقیر
entwickeln;
- Lebensstil entwickeln; طَرز ِ زِندِگى را پَروَراندَن
- s. früh entwickeln (z.B. ein Mensch); آدَم ِ زودرَس
- Photo entwickeln; عَکس را ظاهِر کَردَن
- gut entwickelt; رُشد کَرده
- die Wirtschaft entwickelt s. gut; وَضیعَت ِ اِقتِصادى خوب پیش میرَوَد، ـ تَرَقى می کُنَد
Entwickler (bei Photo); دَواى ِ ظُهورِ عَکس بَر دارى
Entwicklung; تَکامُل
- Entwicklung der Persönlichkeit; تَکامُل ِ شَخصیَت
- industrielle Entwicklung; توسعهٔ صَنعَتى، پیشرَفت ِ ـ، رُشد ِ ـ، تَحوُلات ِ ـ ، تَرَقى ِ ـ
- Höherentwicklung; تَکامُل ِ عالیتَر
- Literaturentwicklung; تَطَوُر ِ اَدَبیات
Entwicklungsfond; صَندوق ِ توسِعه
Entwicklungshilfe; کُمَک بَراى ِ توسِعه
Entwicklungsland; کِشوَر دَر حال ِ توسِعه
Entwicklungsprozess; سِیر ِ تَکامُل
Entwicklungssprung; جَهِش ِ تَکامُل
Entwicklungszustand; حال ِ رُشد، حالَت ِ تَحَوُل، وَضع ِ پیشرَفت
entwinden;
- s. einer Gefahr entwinden; خودرا از خَطَر نِجات دادَن، ـ دَر رَفتَن
- jem. etwas entwinden; چیزى را از دَست ِ کِسى گِرِفتَن، ـ قاپیدَن، ـ دَر آوَردَن
entwirren (Haare, Knoten, Situation); تَفکیک کَردَن، گُشادَن، باز کَردَن
entwöhnen; از شیر بُریدَن
- entwöhntes Kind; طِفل ِ مَفطوم، بَچهٔ شیر بُریده، بَچه از شیر گِرِفته
Entwöhnung (Säugling); فِطام، شیربُریدِگى
entwürdigen (jem. -); کِسی را بی صورَت کَردَن
Entwürdigung; بى اَرجى ِ آبرو، بى اِحتِرامى، بى حُرمَتى، هَتک، خِفَت
Entwurf;
- das ist der erste Entwurf; چِرک نِویس، پیش نِویس، طَراحى، طَرح
- Gesetzentwurf; لایحه
- Regierungsentwurf; طَرح ِ دولَت
entwurzeln;
- entwurzelte Bäume; دِرَختهاى ِ ریشه کَن شُده
- entwurzelte Menschen; آدَمهاى ِ بى بَند و بار، ـ وِلِنگار، ـ آسمان جُل، ـ آواره، ـ مُستَأصِل
Entwurzelung; ریشه کَنى، آوارِگى، اِستیصال، بى ریشِگى، بى خانِمانى
entziehen;
- s. entziehen, s. distanzieren; از چیزی فاصِله گِرِفتَن
- etwas dem Boden entziehen; چیزى را از زَمین گِرِفتَن
- jem. das Recht entziehen;  .از کِسى حَق را سَلب کَردَن، ـ دَریغ ک
- die Feuchtigkeit entziehen; رُطوبَت را جَذب کَردَن
- s. einer Verantwortung entziehen; شانه از زیر ِ بار ِ وَظیفه خالى کَردَن
- s. seiner Verpflichtung entziehen; از تَعهُدات ِ خود طَفره رَفتَن، ـ سر باز زَدَن، خودرا از تَعهُدات دَریغ دانِستَن
- jem. das Wort entziehen; به کِسى اِجازهٔ  اِدامهٔ سُخَن نَدادَن
Entziehungskur; مُعالِجه مُعتادین به مَواد ِ مُخَدِر
Entzifferung; کَشف ِ مَعنى، تَجزیه و تَحلیل ِ خُطوط
entzückt; ذوق زَده، مَحظوظ، مَجذوب
Entzücken; حَظ، نِشاط، ذوق زَدِگى، وَجد
- an etwas Entzücken finden; از چیزى حَظ بُردَن، ـ لِذَت ب.، به هَیَجان آمَدَن
Entzug;
- Entzug der bürgerlichen Rechte; سَلب ِ حَق ِ مالِکیَت
- Alkohol,- Rauschgiftentzug; مُدَواى ِ مُعتادین بِمَواد ِ اَلکُلى (- مُخَدِر)، مَنع ِ اِستِعمال ِ مَواد ِ اَلکُلى (- مُخَدِر) از راه ِ طِبى، تَحریم ِ اَلکُل
- Passentzug; اَخذ ِ گُذَر نامه
- Freiheitsentzug; مَحروم کَردَن از آزادى، مَحرومیَت از ـ
- Entzug der Erziehungsrechte (bei Scheidung); مَحروم سازى ِ کِسى از فَرزَند
entzündbar (Stoffe); قابِل ِ اِحتِراق، ـ اِشتِعال، مُحتَرک، مُشتَعِل
entzünden;
- s. entzünden (Feuer); آتَش گِرِفتَن، اَلو گ.، شُعله وَر شُدَن، مُشتَعِل ش.، زَبانه کِشیدَن
- s. entzünden (Wortwechsel); دَر گِرِفتَن، دَرگیر شُدَن، اَفروختَن
- s. entzünden (Wunde); مُلتَهِب شُدَن
- Feuer der Liebe entzünden; آتَش ِ عِشق ِ کِسى را دامَن زَدن، به آتَش ِ عشق دامَن زَدَن
entzündet (med.); مُلتَهِب
Entzündung; سوزِش، اِلتِهاب، سام
Entzündungspunkt; نُقطهٔ اِشتِعال
Enzyklopädie; قاموس، دایِره اُلمُعارِف
Enzyklopädist; قاموس نِویس
Enzym; دیاستاز، اَنزیم
ephemerisch; موجودات ِ یِک روزه، ـ آنى، ـ زودگُذَر، ـ خَلق اُلساعِه، ـ روزخیز، ـ کَم دَوام
Epidemie; مَرَض ِ هَمه گیر، ـ مُستولى، ، واگیرى
Epidermis; روپوست، بَشَره
Epiphanie; ظُهور ِ خدا، تَجاى ِ ـ
Epik; حَماسه سَرائى، رَجَز خوانى
Epikur; اَبیقور
Epilation; بَند اَنداختَن
Epilepsie; صَرع، غِش و حَمله
Epileptiker; مَصروع، صَرع زَده، غِشى
epileptisch;
- epileptischer Anfall; حَملهٔ صَرع
- er hat einen schweren epileptischen Anfall; حَملهٔ سَخت به او دَست مى دَهَد
- epileptisches Kind; بَچهٔ غِشى
Epilog; پَسگُفتار، خِتام گُفتار، خاتِمهٔ کَلام
episch; حَماسى
Episode; دورهٔ مَحدود، حادِثهٔ ضِمنى، واقِعهٔ مُعتَرضه، اِپیزود
episodisch; نوبَتى، مُوَقَتى، مُختَص به زَمان ِ کوتاه
Epistel; رِساله
Epitheta; اَسامی
- Epitheta Gottes; اَسَماء ِ حُسنى
Epithel; پوست ِ روپوش
Epizentrum; مَرکَز
- Epizentrum des Erdbebens; مَرکَز ِ فوق اُلاَرض ِ زِلزِله
Epoche; (pl.) روزگار، عَصر (اَعصار)، دَهر (دُهور)، دوره (دوران)، زَمان ِ وُقوع
epochemachend; دوران ساز، راه گُشا، باعِث ِ تأثُر
Epos; حَماسه
- Nationalepos; حَماسهٔ مِلى
erachten;
- etwas für .. erachten;  چیزى را دانِستَن، ـ شُمُردَن، ـ پَنداشتَن، ـ اَنگاشتَن
erachtens;
- meines erachtens; به نَظَر ِ مَن، از مَن مى پُرسى، بِگُمانَم، بِخیالَم، بِعَقیدهٔ مَن
erahnen; از پیش دانِستَن، از چیزى بو بُردَن، به قَلب ِ کِسى بَرات شُدَن
erarbeiten;
- das habe ich mir im Schweisse meines Angesichts erarbeitet; این را از کَد ِ یَمین و عَرَق ِ جَبین ِ خود دَر آوَردَم
Erbanteil; بَهرهٔ اِرثى، سَهم اُلاِرث
Erbarmen; تَرَحُم، رَحمَت، دِلسوزى
- mit jem. Erbarmen haben; بَر کِسى تَرَحُم کَردَن، ـ رَحمَت آوَردَن
- Hab Erbarmen!; تَفَضُل کن!، تَرَحُم کُن
Erbarmer (Gott); رَحمان و رَحیم
erbärmlich;
- er hat s. erbärmlich verhalten; رَفتارَش نامَردانه بود، ـ پَست بود
- erbärmliche Kleidung; لِباس ِ مَفلوک
- er befindet s. in einem erbärmlichen Zustand; حالَتَش قابِل ِ تَرَحُم است، ـ شَفَقَت آوَر است، او حال خوار و زارى دارَد
Erbarmung; تَرَحُم، اِشفاق، رأفَت
erbarmungslos; بى رَحمانه، بى دَریغ
- ein erbarmungsloser Kampf; جَنگ ِ بى اَمان
erbaulich;
- erbauliche Literatur; اَدَبیات ِ سازَنده
Erbe;
- das Erbe (mourusi);  مُرده ریگ، میراث، اِرث، مال ِ موروثى
- der Erbe (Erbin); (pl.)  وارِث (وارِثه) (وُراث)، اِرث و میراث خور
- Alleinerbe; وارِث مُنحَصِر بِفَرد
- elterliches Erbe; اِرث ِ پِدَر ِ مادَرى
- Einsetzung als Erben; توریث
- Erbe hinterlassen; به اِرث گُذاشتَن
- das väterliche Erbe beanspruchen;  (اِرث ِ پِدَر ِ خودرا طَلَبکار بودَن (خواستَن
Erbeigentum; مِلک ِ موروثى
erben; به اِرث بُردَن
Erbengemeinschaft; شِرکَت دَر مَتروکات
erbetteln;
- s. den Lebensunterhalt erbetteln; نان زِندِگى را با دَریوزِگى بِدَست آوَردَن
erbeuten; غَنیمَت آوَردَن، به غارَت بُردَن
Erbfaktor; ژِن، عامِل ِ وِراثَت
Erbfolge; از نَسلى به نَسل به اِرث میرِسَد، تَرتیب ِ تَقدم دَر وِراثَت، ـ جانِشینى
Erbfolgekrieg; جَنگ ِ جانِشینى
Erbfolger; جانِشین دَر اِرث
erbitten;
- Erfolg für jem. erbitten; .مُوَفَقیَت بَراى ِ کِسى مَسئلَت کَردَن، ـ تَمَنا ک
erbittert;
- erbitterter Kampf; جَنگ ِ تَلخ
- erbitterte Feindschaft; دُشمَنى ِ جانى توز
erblassen; رَنگ باختَن
- er erblasste; رَنگَش پَرید، رَنگَش را باخت
Erblasser; مورِث، وَصیَت کُنَنده
erbleichen; رَنگ باختن
erblich; موروثى، اِرثى، مادَرزاد، پِدَرفَرزَند
Erblichkeit; تَوارُث
erblicken;
- das Licht der Welt erblicken; چِشم به جَهان گُشودَن، چِشم به این دُنیا روشَن شُدَن
erblühen; .سَر سَبز شُدَن، شِکُفتَن، بَهار کَردَن، بَرگ و گُل ک
- ein frisch erblühter Baum; دِرَخت ِ تازه بَهار
- ein voll erblühter Garten; باغ ِ پُر شُکوفه
Erbmaterial (DNS); مادهٔ وِراثَتى
erbosen;
- s. über jem. erbosen; به کِسى بَدبین شُدَن، ـ تَغَیُر کَردَن
- auf jem. erbost sein; به کِسى بَدبین بودَن
- er war erbost; قَهرَش گِرِفت
Erbpacht; حَق ِ موروثى ِ مُستأجِر ِ مِلک
erbrechen; اِستِفراغ کَردَن، قِى ک.، اُغ زَدَن
Erbrechen (n);
- Erbrechen & Durchfall; قِى و اِسهال
- das ist zum Erbrechen; این قِى آوَر است
Erbrecht; حَق ِ تَوارُث، ـ اِرث
Erbschaft; اِرث
Erbschaftssteuer; مالیات بَر میراث، ـ بَر اِرث
Erbschein; گُواهینامهٔ حَق ِ اِرث، وِراثَت نامه
Erbschleicher; مال ِ مُرده خور، میراث خواه
Erbse; نُخود
- Erbsen, ausgehülst; لَپه
Erbsenzähler; مو را از ماست کِشیدَن
Erbvertrag; قَرار داد ِ مَحضَر بین ِ وِراث و مورِث
Erbverzicht; چَشم پوشى از میراث
Erdachse; مِحوَر ِ زَمین
Erdanziehungskraft; قُوهٔ کِشِش ِ زَمین، نیروى ِ رُبایش ِ ـ
Erdball; کُرهٔ زَمین
- 1/4 des Erdballs; رُبع ِ مَسکون
Erdbeben; زَمین لَرزه، زِلزِلهٔ زَمین
Erdbebengebiet; مَنطَقهٔ زِلزِله خیز
Erdbeere; توت فَرَنگى
Erdbeschleunigung; شِتاب ِ ثَقل
Erdboden; خاک، زَمین
- dem Erdboden gleich machen; با خاک یِکسان کَردَن، آتَش از جایی بَراَنگیختَن (بَرآوَردَن)، ویران کَردَن ِ آن جای
- vom Erdboden verschwinden; دَمار بَر آمَدَن، از بِین رَفتَن
Erde; زَمین، خاک
- Geruch der Erde; بوى ِ خاک ِ رُس
- jem. unter die Erde bringen; .کِسى را دَفن کَردَن، ـ زیر ِ خاک ک.، ـ چال ک
- er war noch nicht unter der Erde; آب ِ کَفنَش خُشک نَشُده بود
- bewohnte Erde; رُبع ِ مَسکون
- "geweihte" Erde; خاک ِ تُربَت
- geweihte Erde aus Kerbela; تُربَت از کِربِلا
- von der Erde bis zum Himmel; از ثَرا تا ثُرَیا
- im Himmel & auf Erden; دَر آسمان و زَمین
- vom Himmel bis zur Erde; از ماه تا ماهى، از آسِمان تا زَمین
erden;
- das Radio erden; رادیورا به زَمین وَصل کَردَن
Erdenbürger; جَهانى
erdenken;
- alles, was man s. erdenken kann; هَر چیزى قابِل ِ تَصَوُر
erdenklich;
- alle erdenklichen Möglichkeiten; هَر اِمکانات ِ مُمکِن
- ich habe mir alle erdenkliche Mühe gegeben; مَن هَر جورى بود کَردَم، هَر کارى از دَستَم ساخته بود کَردَم
Erdgas; گاز ِ نَفت
Erdgeschoss; طَبَقهٔ هَم کَف
Erdhöhle; بومکَند
Erdhügel; کُپهٔ خاک
erdichten;
- s. eine Sache erdichten;  .داستانى را بافتَن، ـ از خود دَر آوَردَن، ـ جَعل کَردَن، ـ تَلفیق ک
Erdklumpen (trocken & rissig); کَلوخ
Erdkruste; پوستهٔ زَمین، قِشر ِ ـ
Erdkunde; مَعرَفَت اُلاَرض، جُغرافیا
Erdmasse; مادهٔ زَمین
Erdnuss; بادام ِ زَمینى، اَراشید
Erdölbohrung; حَفر ِ چاه ِ نَفت، حَفارى بَراى ِ کَشف ِ نَفت
Erdölgebiet; زَمین ِ نَفت خیز
Erdölraffinerie; پالِشگاه ِ نَفت
erdreisten (s. -); .تَجَرى کَردَن، گُستاخى ک
- ich erdreiste mir, ihm zu sagen; مَن جُرأت کرَده به او مى گویَم
erdrosseln; .خَفه کَردَن، مُختَنِق ک.، حَلق آویز ک
erdrosselt; مُختَنِق
Erdrosselter; مُختَنِق
Erdrosselung;
