Saal (m); سالُن
- er sehnt s. nach ..;  دِلِش بَراى ِ چيزى  َلک مى زَنَد، دِلِش هَوَس ِ.... را مى کُنَد
- ich wünsche mir sehnlichst ein Kind; حَسرَت ِ داشتَن ِ فَرزَندى را دارَم
Sehnenscheide; غِلاف ِ پوشِشى ِ دور ِ زَردپِى
Sehnsucht; حَسرَت، چِشم داشت، اِشتياق، آرِزو
- die Sehnsucht nach .. bricht auf; چِشم اِنتِظارى  ِ.. سَر مى آيَد
- unerfüllte Sehnsucht; حَسرَت ِ چيزی به دِل ِ کِسی ماندَن
- Welche Sehnsucht!; چه ياد و دَريغى
- nach jem. Sehnsucht haben; آرِزوی ِ کِسی را کَردَن
- nach .. habe ich entsetzliche Sehnsucht;  ...ِبَراى ِ چيزى به گونه اى هَراسناک دِلتَنگَم، آه می کِشَم براي ِ، حَسرَت چيزی را می خورَم
sehnsüchtig; مُشتاقانه
sehr;
- sehr schön; بِسيار قَشَنگ، خِيلى ـ
- er wurde sehr traurig; او به غايَت غَمگين شُد
- sehr einflussreicher Mensch; يِک آدَم ِ دَمان، ـ کَلان
sei;
- sei so gut und gib mir Tee; بى زَحمَت چاى بِده
- sei, wie es sei; هَرچه بادا باد، باشه
seicht;
- seichter Typ; آدَم ِ هَردَمبيل
- seichtes Wasser; آب ِ کَم عُمق، ـ پاياب
Seide; اَبريشُم، حَرير
Seidenkokon; پيله
Seidenraupeneier; تُخمۀ نوغان
Seidenspinnerei; حَرير بافى
seidig; اَبريشُمى، حَريرى
Seife; صابون
Seifenblase; حُباب ِ صابون
seihen; صاف کَردَن، پالودَن
Seiher; آب کِش
Seil; طِناب، ريسمان، بَند
- Seil (zum Anbinden von Tieren); رِفاق
- Seil schwingen; طِناب را تاب دادَن
- Seil werfen; طِناب را اَنداختَن
Seilbahn; تِلِسکى، تِلِکابين
Seiltänzer; بَندباز
sein (*: bin, ist, war); بودَن
- ein fauler Mensch kann kein ... sein; آدَم ِ تَنبَل بِدَرد ِ... نِمى خورَد
- keiner will es gewesen sein; کِسى زير ِ بار نمى رَوَد، کِسى گناه را به گَردَن نِمى گيرَد
- .. würde ein Akt der Gerechtigkeit sein; به حِساب ِ اِقدام ِ عِدالَت دَر آيَد
- mehr sein als scheinen; آدَمى بِسيرَت است نه بِصورَت و اِنسانيَت بِکَمال است نه بِجَمال
- das Sein; هَستى، وُجود، کون، موجوديَت
- Tiefe des Seins; کُنه ِ ذات
- Sein & Schein klaffen auseinander; قَد و قَواره يِک جور ِ ديگَرى است
- Sein oder Nichtsein; بود و نَبود، هَستي يا نيستي
seine;
- das ist sein Auto; اين ماشين مال ِ اوست
- ... zu holen, war seine Aufgabe; آوَردَن ... با او بود
seinerseits;
- er seinerseits reagierte auf die Schläge; او مُتَقابِلاً ضَربه هارا جَواب داد
seinesgleichen;
- ohne seinesgleichen; بى هَمتا
- er ist unter seinesgleichen; او از اَمثال و اَقران ِ خود است
- er behandelt mich wie seinesgleichen; با مَن چون فَردى ِ بَرابَر با خود رَفتار مى کُنَد
seinetwillen;
- um seinetwillen; بِخاطِر ِ او
Seismograph; زَمين لَرزه سَنج
seit;
- seit langem; از دير باز
- seit wann leben Sie in Deutschland?; چَند وَقت است که شُما دَر آلمان تَشريف داريد؟، از کِى تا به حال دَر آلمان زِندِگى مى کُنيد؟
seitdem; از آن پَس، از اين به بَعد، از وَقتيکه
Seite; صَفحه
- Seite (mathemat.); (pl.)  (ضِلع (اَضلاع
- ihn jem. zur Seite stellen; او را دَر کِنار ِکِسي قَرار دادَن
- jem. zur Seite ziehen; کِسى را به کِنارى کِشيدَن
- geh zur Seite!; بُرو کِنار!، راه بِده
- die linke Seite der Straße; سَمت ِ چَپ ِ خيابان
- Seite an Seite gehen sie; دوش به دوش راه مى رَوَند
- von Seiten ..; از جانِب  ِ..، از طَرَف ِ
- mir tut die rechte Seite weh; پَک و پَهلوي ِراست دَردَم مي کُنَد
- alles hat 2 Seiten; هَر سِکه عُقاب دارَد و عَدَد
Seitenansicht; تَصوير ِ جانِبى
Seitengasse; کوچة فَرعى
Seitengestaltung; صَفحه آرائى
Seitenschneider; سيم چين
seitenverkehrt; وارونه، مَعکوس
seitenweise;
- ich kann seitenweise darüber schreiben; مَن مي تَوانَم يِک عالِمه را از اين چيزها بِنّويسَم
seitlich; جانِبى
Sekret; مادة تَرَشُحى ِ غِير ِ دَفعى
Sekretär; مُنشى، دَبير
- Generalsekretär; دَبير ِ کُل
Sekretariat; دَبيرخانه، دَفتَر
Sekretgewebe; بافت ِ تَرَشُحى
Sekretion; تَرَشُح
Sekt; شامپاين
Sekte; فِرقه، نَحله
Sektierertum; فِرقه گِرائى
Sektor; بَخش
- Verwaltungssektor; بَخش ِ اِدارى
Sekundärspannung; وُلتاژ ِ ثانويه
Sekunde; ثانيه
- die Sekunden zählen; لَحظه شُمارى کَردَن
selbst; خود
- selbst (z.B. - abholen); بنَفَسِهِ
- selbst dann, wenn; وَلو، گيريم، حَتي اَگَر
- selbst dann, wenn ich nicht ... kann, kann ich...;اما هَرچه نَباشَد مي تَوانَم
- er selbst; خود ِ او
- selbst wenn alles zusammengefallen wäre; اَگَر دُنيارا هَم مى ريخت
- jem. s. selbst überlassen; کِسى را به حال ِ خود گُذاشتَن
- der Glaube an s. selbst; خود باوَرى
- s. um sich selbst drehen; خود مِحوَر بودَن
- s. selbst aufzehrende Ordnung; نَظم ِ خويش سوز
- selbst hergestellt; دَست پَروَرد
selbständig; مُستَقِل
Selbständigkeit; اِستِقلال
Selbstauslöser (beim Fotoapparat); تُکمة خودکار
Selbstbedienung; سِلف سِرويس
Selbstbedienungsautomat; ماشين ِ فُروش ِ خودکارى
Selbstbefriedigung; جَلق، اِستِمناء، خود اِرضائي
Selbstbeherrschung;
- in voller Selbstbeherrschung; دَر کَمال ِ مَتانَت
- er versuchte, seine Selbstbeherrschung zu bewahren; او سَعى کرد مَتانَتَش را حِفظ کند
- die Selbstbeherrschung verlieren; اِعتِدال ِ خودرا از دَست دادَن
- selbstbestimmte Regierung; حُکومَت ِ خود گَردان
Selbstbestimmung; خودمُختارى، خودگُزينى، خودرأى، خود گَردانى
Selbstbewusstsein; اِعتِماد به نَفس
selbstbezogen; خودمَرکَز، خودمِحوَر
selbstbrennend; خودسوز
- selbstbrennende Flamme; شُعلة خودسوز
Selbstdarstellung; خودنَمائى، خودسِتايی
- Selbstdarstellung, Protz; اِهِن و تَلُپ
Selbstentäusserung; خَلاء ِ ذِهنى
Selbsterhaltung; صيانَت ِ نَفس، بَقاى ِ شَخص، اِحتِفاظ
Selbsterhaltungstrieb; اَنگيزة اِحتِفاظ
Selbsterhöhung; خود اَفراز
selbsternannt;
- selbsternannter Minister; وَزير ِ خود گُماشته
- Selbstexistenz Gottes; (bezzāt) خُدا از چيزى به وُجود نَيامده و خود مَنشاء ِ وُجود است، زِندِگى ِ ذاتى ِ خُدا، خُدا قائِم ِ بِالذات است
Selbstgefälligkeit; مَنى، خود پَسَندى
Selbstgespräch;
- mit s. Selbstgespräche führen; او مُصاحِب ِ خويش است، با خود حَرف زَدَن
selbstherrlich;
- selbstherrliches Ich; نَفس ِ اَماره
Selbsthilfe; خوديارى
Selbstkosten; اَرزِش ِ واقِعى، مَخارِج ِ توليد
Selbstkostenpreis; رأس اُلمال
Selbstkritik; اِنتِقاد از خود، ـ به خود
Selbstlaut; حَرف ِ صِدادار
Selbstlernverfahren; رَوِش ِ خود آموزى
selbstlos; جان نِثار، جان سِپار
- selbstlose Hilfe; کُمَک ِ بيدَريغ
Selbstlosigkeit; جان نِثارى
Selbstmitleid; دِلسوزى به خود
Selbstmord; اِنتِحار، خودکُشى
- Selbstmord begehen;  .خود کُشى کَردَن، خودِش را سَر به نيست ک
- das ist politischer Selbstmord; اين اِنتِحار ِ سياسى است
Selbstoffenbarung; اَفشاء از خود
selbstredend; گونة خود گُفته
Selbststarter; آب بايَد از خود ِ چِشمه بِجوشَد
Selbstsucht; خود غَرَضى، خود خواهى
selbsttätig; خودکار، اتوماتيک
Selbsttest; خود آزمائى
Selbstüberheblichkeit; خود بُزُرگتَر بينى
Selbstunterwerfung; مُسَخِر ِ خويش
Selbstverleugnung; خود اِنکارى، از خود گُذَشتِگى
selbstversorgend; خود کَفا
selbstverständlich; طَبيعي، بَديهي
- das ist für sie selbstverständlich; بَراى ِ آنها مُقَرَر شده، ـ بَديهى است
Selbstverteidigung; خود دِفاعى، دِفاع از خويشتَن
Selbstvertrauen; قُوَت ِ قَلب بِخود، اِعتِماد به خود
Selbstverwaltung; حودمُختارى ِ اِدارى
Selbstverwirklichung; به خواست ِ خود رِسيدَن، دُنبال ِ کام ِ خود بودَن
Selbstzensur; خود سانسورى
selbstzufrieden; خود کام
Selbstzufriedenheit; خودراضى، خوداِرضاء
Seldschuken; سَلجوق
Selektion; اِنتِخاب
Selfmademan; آدَم ِ خود جوش
selig; حَظيظ
- glückselig sein; حَظ شُدَن، حَظيظ بودَن
Sellerie; کَرَفس
selten;
- selten sein; اَندَک بودَن، نادِر ب.، کَمياب ب
- ein Nebel wie selten zuvor; مِه کَم سابِقه
- es kommt sehr selten vor; کَمتَر اِتِفاق مى اُفتَد
- nur noch selten; به نُدرَت، دير به دير
seltsam; عَجيب، عَجَب
- er bringt die seltsamsten Ausreden; بَهانه هاى ِ بَعيدى مى آوَرَد
Semantik; مَعَنا شِناسي
- semantisches Argument; تَعبير ِ مَعنائى
Semester; تِرم
Semikolon; نُقطۀ ويرگول
Seminar; سِمينار
Seminarveranstaltung; هَمايِش
Senat; سِنا
senden; فِرِستادَن
- senden (per Post, u.ä.);  .اِرسال کَردَن، گُسيل ک
- jem. senden (mit Auftrag); کِسى را مَبعوث کَردَن، ـ فِرِستادَن
Sender; فِرِستَنده
Sendersuchlauf; موجگَردان
Sendung;
- Wahlsendung; سُخَن پَراکَنى ِ اِنتِخاباتى
- Postsendung; مَرسوله
- (Radio-) Sendung; بَرنامه
Senf; خَردِل
senil; کاهِل، خِنگ و خِرِفت
Senilität; فَرتوتى
senken;
- s. senken (z.B. Boden); (präs.)  (فُرو رَفتَن، فُرو هِشتَن (فُرو مى هِلَد
- die Mauer senkt s.; ديوار نِشَست مى کُنَد
- die Nacht senkt s. herab (i.S. breitet s. aus); شَب خودرا فُرو مى گُستَرَد
senkrecht; عَمودي
- s. senkrecht aufstellen; سيخ واايستادَن
- senkrechte Ebene; سَطح ِ عَمودى
Senkrechte; عَمود
Senkschraube; پيچ ِ خَزينه دار
Senkung;
- Senkung (finanz.); تَنَزُل
- Senkung (geolog.); فُرورَفتِگى
Sensation; جار و جَنجال، شور
sensationell; مُهَيِج ِ اِحساس، شور اَنگيز
Sense; داس
- die Sense dengeln; داس ِ دَست دِرازرا تيز کَردَن
sensibel; حَساس
sensibilisieren; حَساس کَردَن
Sensibilität; حَساسيَت
sentimental; اِحساساتي، اِحساس گِرا
Sentimentalität; اِحساسگِرائى، حالَت ِ اِحساساتى
separat; مُجَزا، جُداگانه
Separatismus; تَجزيه طَلَبى
Sepsis; پِلِشتى
September; سِپتامبر
Sequenz; تَوالى، رَديف
Serie; رَديف، سِرى
Serienherstellung; صَنعَت ِ سِريال
serienmässig;
- serienmässig hergestellt; توليد ِ ماشينى
Seriennummer; شُمارة سِريال
Serienschaltung; اِتِصال ِ سِرى
seriös; جِدى، مُعتَبَر
Serum; سِرُم
Service; سِرويس
servieren;  .پيشخِدمَتى کَردَن، پَذيرائى ک
Serviette; دَستمال ِ سُفره
Servobremse; تُرمُز ِ سِروو
Sesam; کُنجُد، آرده
Sessel; صَندَلى ِ راحَت
Sesselpupser; چُس اِفاده
sesshaft; ماندِگار، مُقيم
- sesshaft machen; تَوَطُن کَردَن، مُقيم ک
Sesshaftigkeit; اِسکات، سُکونَت
setzen;
- s. setzen; نِشَستَن
- s. setzen auf; بَر چيزى قَرار گِرِفتَن
- s. setzen lassen; نِشاندَن
- jem. über X setzen; (infin.) کِسى را بَر فِلان مى گُمارَند (گُماشتَن)، ـ مُسَلَط گَردانيدَن
- jem. in Kenntnis setzen über die Lage; کِسى را دَر جَريان وَقايِع گُذاشتَن
- seinen Willen über den Willen Gottes setzen; خواستة خودرا بَر خواست ِ خُدا مُقَدَم شُمُردَن
- s. an die Stelle von .. setzen; با قَرار گِرِفتَن دَر جاى ِ فِلان
Seuche; وَبا، مَرَض ِ هَمه گير
seufzen; هو کِشيدَن، آه ـ
Seufzer; مُتَحَسِر، تَحَسُر
- letzter Seufzer; آخَرين رَمَق
- Stossseufzer; تِلِنگ دَر رَفتَن
Sexualorgane; (sing.)  (اَجهِزة تَناسُلى (جَهاز ِ
Sexualität; جِنسيَت، تَمايُلات ِ جِنسى
sexuell; جِنسي
- sexueller Impuls; سائِق ِ جِنسى
- mit jem. eine sexuelle Beziehung haben; تن به معاقشه با کِسي دادَن
- sexuell stimuliert werden; بود بود مي شَوَد
Sezessionskrieg; جَنگ ِ تَجزيه طَلَبى
sezieren; نيشو زَدَن، کالبُد شِکافى کَردَن
sibyllinisch; مَرموز
sich;
- das muss aus sich selbst heraus kommen; آب بايَد از خود ِ چِشمه بِجوشَد
- zu sich kommen; به هوش آمَدَن، حال گِرِفتَن
- er lebt für sich; روى ِ پاى ِ خود بَند است
- jedes Evangelium für sich genommen; هَر اِنجيل ِ اِنفِراداًّ
Sichel; داس
sicher; مُطمَئِن، حَتمى
- sicher, ungefährlich; ايمَن، اَمن
- das ist sicher (i.S.: gewiß); حَتمی بودَن
- sicher sein; دَر اَمان بودَن
- ich war mir absolut sicher, dass ...; تَه ِ دِلَم از اين قُرص تَر بود که
- seid sicher; يَقين بِدانيد، مُطمَئِن باشيد
- das ist bombensicher; کاملاً يَقين دارَد
- ganz sicher (i.S. zweifellos); بِطور ِ حَتم
- das ist sicher, oder?; اين حَتمى است بَله؟
- sicher & geborgen; اَمن و اَمان، ايمَن و مَحفوظ
- sicherer Tod; مَرگ ِ حَتمى
- an einen sicheren Ort bringen; به مَکان ِ اَمن بُردَن
- ... zu sein war für ihn eine sichere Sache; شُدَن ِ او ديگَر حَتمى شُده بود
- ganz sicher haben sie s. auf den Weg gemacht; آنها با طُمأنينه به راه اُفتادَند، حَتماً ـ
- das sicherste Zeichen von .. ist, dass ...; بارِزتَرين مُشَخَصة .. اين است که
Sicherheit;
- Sicherheit, Gewissheit; اِطمينان
- Sicherheit über; - اَمان بَر، ايمَنى -، اِتِکال
- s. in Sicherheit bringen; رو به هَزيمَت نِهادَن
- in Sicherheit sein; آب توی ِ دِل ِ کِسی تَکان نَخوردَن
- Recht auf Sicherheit der Person; حَق ِ اَمنيَت ِ فَردى
- Recht auf soziale Sicherheit; حَق ِ تأمين ِ اِجتِماعى
- kollektive Sicherheit; اَمنيَت ِ جَمعى
Sicherheitserwägungen; مُلاحِظات ِ اَمنيَتى
Sicherheitsglas; شيشة ايمَنى
Sicherheitskonferenz; کُنفِرانس ِ اَمنيَت
Sicherheitskräfte; قُواى ِ تأمينى
- er wurde den Sicherheitskräften übergeben; او تَسليم ِ مَقامات ِ اَمنيَتى شُده
Sicherheitsnadel; سَنجاق ِ قُفلى
Sicherheitsventil; دَريچة خود گُشا، ـ اِطمينان
sicherlich; لابُد، مُسَلَماً
sichern;
- absichern; تأمين کَردَن، مَحفوظ داشتَن
Sicherung; فيوز
- die Sicherung brannte durch; فيوز ِ بَرق پَريد
Sicherungsverwahrung; توقيف ِ اِحتياطى، حَبس ِ ـ
Sicht; چَشم رِس، مَنظَره
- auf kurze Sicht; بَراى ِ مُدَت ِ کوتاه
- auf lange Sicht; دِراز مُدَت
- ich habe keine Sicht dafür; دِلِش را نَدارَم
sichtbar; مَرئى، ظاهِر، ديدَنى
Sichtbehinderung; مانِع ِ ديد
Sichtverhältnisse; وَضع ِ هَوا، نِسبَت ِ ديد
Sichtvermerk; رَواديد، ويزا
Sichtweite; دورنَما، فاصِلة ديد، چِشم رِس
Sickergrube; چوهَک ِ تَصفية فاضِل آب
sickern; تَراويدَن
- Durchsickern; تَراوِش، چِکيدِگى
Sickerwasser; زِهاب
sie;
- sie (sing.); او
- sie (pl.); آنها، ايشان
- Sie (in Anrede); جِناب ِ عالى، شُما
Sieb;
- Sieb, Durchschlag; آب کِش
- Sieb (für Kohle & Sand); سَرَند
- Feinsieb; تَنگ بيز
- Wurfsieb; پَرويزَن، غَربال، اَلَک
sieben; هَفت
- sieben, durchsieben;  .اَلَک کَردَن، غَربال ک
- bei der Prüfung sieben; دَست چين شُده دَر اِمتِحان، تِعداد کَم مى شَوَند دَر اِمتِحان قَبول کَرد
Siebenkampf; مُسابقة هَفتگانه
Siebensachen;
- seine Siebensachen packen; بار و بُنة خودرا بَستَن
Siebplatte;
- Siebplatte (im pflanzlichen Zellsystem); صَفحة غَربالى دَر آوَند ِ آبکِش
Siebröhre; آوَند ِ آبکِش
Siebtrommel; غَربال ِ گَردان
siech; عَليل
sieden; جوش زَدَن، ـ آمَدَن
- zum Sieden bringen; بِجوش آوَردَن
- zu Sieden Aufhören; از جوش اُفتادَن
Siedepunkt; نُقطة جوش
Siedler; مُهاجِر، مُقيم، ساکِن
Siedlung; قَصَبه، آبادانى
- sie ist aus der Siedlung; او مال ِ آبادى است
Siedlungspolitik; سياسَت ِ اَساکِن، سياسَت ِ شَهرَک سازى
Sieg; (pl.) فَتح (فَتوحات)، پيروزى، ظَفَر، غَلَبه، چيرِگى
- Sieg über ..; غَلَبه بَر، ظَفَر بَر
- unser ist der Sieg; بُرد با ماست
- über Sieg und Niederlage nicht nachdenken; دَر مورِد ِ بُرد و باخت فِکر نَکردَن
- Erdrutschsieg (polit.); پيروزى ِ فَُراگير، ـ گُستَرده
Siegel; مُهر
Siegellack; لاک ِ مُهر
Siegelring; نِگين
siegen;  .پيروز شُدَن، فَطح کَردَن، غَلَبه ک
- siegesbewusst lachte er; فاتِحانه خَنديد
Sieger; مُظَفَر، غالِب، پيروز، فاتِح
Siegerpokal; جام ِ فينال
Siegesmeldung; فَتح نامه
siegreich; مُظَفَر، چيره
- siegreich sein; بَر چيزى فائِق آمَدَن
- siegreiche Partei; حِزب ِ پيروز
Siesta; خواب ِ قيلوله
Signal; عَلامَت
signalisieren;  .به کِسى خَبَر دادَن، ـ عَلامَت د
signieren; اِمضاء کَردَن
Silage; عُلوفة تَخمير يافته
Silbe; هِجا، سيلاب
- er ist einsilbig; او کَمحَرف است
- mehrsilbig; چند هِجائى
Silber; نُقره
Silberschmiedearbeit; نُقره کارى
Silo; اَنبار ِغَلات، ـ عَلَف
simplifizieren;  .خَرفَهم کَردَن، ساده ک.
Sims; رَف جِلوى ِ پَنجَره
Simulant; مُتَمارِض
Simulation; وانِمود، تَمارُض
- Simulation (mathem.); شَبيه سازى
simulieren; تَمارُض کَردَن، وانِمود کَردَن
Simultanübersetzung; تَرجُمة هَمزَمان
Sinai; سينا
Singalese; سينهالى
singen; تَرَنُم نِمودَن، سُرود خواندَن
- singen (auch vor Gericht); جيک زَدَن
- schräg singen; خارِج خواندَن
- sang - und klanglos; بى ساز و آواز
Singular; فَرد
sinken;
- das Barometer sinkt; هَواسَنج دارَد نُزول مى کُنَد
- sein Mut sinkt; جُرأتَش رو به کاستى مى افتَد
- das Schiff sinkt; کِشتى سوراخ دار شُد، ، ـ زير آب مى آيَد
- die Sonne sinkt; آفتاب غُروب مى کُنَد
Sinn; مَضمون، مَفهوم، مُفاد، مَقصود، مَعنى
- jem. in den Sinn kommen; به مَغز ِ کِسى خُطور کَردَن، به خاطِر ِ ـ
- ... das keinem in den Sinn kommt; به فِکر ِ کُسي خُطور نِمي کُنَد
- was ist dir nur in den Sinn gekommen, dass ...; چه مَرگِت است که
- eigentlicher Sinn (des Textes); نَص ِ صَحيح
- etwas mit tieferem Sinn; حَرف ِ او خِيلى آب وَر مى دارَد
- dem Sinn des Themas; فَحواى ِ مَطلَب
- dem Sinn nach; طِبق ِ مَضمون، به فَحوا
- in diesem Sinne; دَر اين مورِد
- 5 Sinne (fühlen, schmecken, riechen, hören, sehen); پَنج حَواس، حَواس ِ خَمسه، حَواس ِ پَنجگانه (حِس ِ لامِسه، ـ ذايِقه، ـ شامه، ـ شِنَوائى، ـ بَصَرى
- in dem Punkt macht das Sinn; دَر مورِد ِ .. مِصداق دارَد، ـ مَعنى مى دَهَد
- lange Rede, kurzer Sinn; خُلاصة کَلام
- ohne Sinn & Verstand; بِدون ِ عَقل و شُعور
- wenn keiner reagiert, welchen Sinn hat dann das Ganze? (Hafez); کِشِش جو نَبُوَد از آن سو چه سود کوشيدَن
- wenn er nicht auf etwas grosses Appettit hat, dann steht ihm der Sinn auf etwas kleines; اَگَر چيزى بُزُرگى نَبود که حَسرَتِش را بِخورَد، حَسرَت ِ چيزهاى ِ کوچِک را مى خورَد
- von Sinnen sein; بيخود بودَن، عَقل ِ خودرا از دَست دادَن
Sinnesorgan; دَستگاه ِ حِسى، اَندام ِ ـ
sinngemäss; طِبق ِ مَضمون، به فَحوا ِ
sinnlich; هَوَس باز، ـ ران، ـ نَفسانى
sinnlos; اَلَکى
- es war sinnlos, weiterzumachen; اِدامة اين وَضع ديگََر فايده نَداشت
- sinnloses Leben; زِندِگى ِعَبَث، ـ بيخود
- etwas sinnloses machen; آب به ريسمان بَستَن، کار ِ عَِبَث و بيهوده کَردَن، آب به (با) غَربال پِيمودَن، آب به هاوِن کوفتَن
- und ähnlich sinnloses; و اينجور جَفَنگ بازي
Sinnlosigkeit; پوچى، بي خودي
Sinnspruch; (pl.)  (کَلَمة قَصار، بِيت ِ حِکمَت (اَبيات ِـ
sinnverwandt; قَريب اُلمَعنى، مُتَرادِف
Sintereisen; فِلِز حاصِل از عَمَليات ِ حَرارَتى گرد فِلِزکارى
Sintflut; طوفان ِ نوح
- nach uns die Sintflut; پَس از ما گو جَهان را آب گيرد
Sinus; سينوس
Siphon; شُتُر گَلو
Sippe; دودمان، سِبط، فَک و فاميل
Sippenhaft; گُناه ِ ديگَرى سوختَن
Sippschaft; دار و دَسته
Sirene; آژير
- Sirene einschalten; آژير کِشيدَن
Sirup; سيرآب، شَربَت
- Sirup (mit Essig & Honig); شَربَت ِ سِکَنجَبين
Sit-in; اِعتِصاب ِ نِشَسته
Sitte; رَسم، عادَت، عُرف، مَشرَب
- angenehme Sitten; عادات و رُسوم ِ ظَريف
- Sitten & Gebräuche; آداب و رُسوم، سُنتها
Sittenkodex; مَجمَع اُلقَوانين ِ اَخلاقى
sittenlos; بى اَخلاق، فاجِر، فاسِد، فاسِق
Sittenlosigkeit; فِساد ِ اَخلاقى، فِسق، فَجور، بى اَخلاقى
Sittenreinheit; عِفاف، عِفَت، پاکدامَنى
Sittenverfall; اِنحِطاط ِ اَخلاقى
sittlich; اَخلاقي
- sein Leben wurde Ursache für sittliche Erziehung; زِندِگى ِ او ماية تَهذيب ِ اَخلاق شُده است
Sittlichkeit; عِفَت، اَخلاق
sittsam; با شَرم و حيا
Situation; وَضعيت، وَضع، هَستار، موقِعيَت
- Sie müssen meine (finanzielle) Situation bedenken; شُما بايَد حِسابَم را بِکُنيد
Sitz; نِشيمَنگاه
- Regierungssitz; مَقَر ِ دولَت
sitzen; نِشَستَن
- locker sitzen; لَم دادَن، لَميدَن
- im Boot sitzen; دَر قايِق سَوار بودَن
- die Hose sitzt mir gut; شَلوار دُرُست اَندازة مَن است
- auf etwas sitzen bleiben; چيزي باد کَرده
- jemandem zu Füßen sitzen (um zuzuhören); پاي ِ حَبف ِ کِسي نِشَستَن
- im Sitzen singen; نِشَسته سُرود خواندَن
sitzenlassen (- jem.); سَر کاري گُذاشتَن، کِسى را بيچاره کَردَن
Sitzneuverteilung; تَقسيم بَندى ِ کُرسيها
Sitzordnung; تَرتيب ِ نِشَستَن
Sitzstreik; اِعتِصاب ِ نِشَسته
- einen Sitzstreik durchführen; بَس نِشَستَن
Sitzung; نِشَست، جَلَسه
- ordentliche Sitzung; کُنفِرانس ِ عادى
- Plenarsitzung; جَلَسة عُمومى
- Pressesitzung; نِشَست ِ مَطبوعاتى
Sitzungsperiode; دورة اِجلاس ِ پارلِمان
Sitzversteller (beim Stuhl); تَنظيم کُنَندة نِشيمَنگاه
Skala; باسکولا، مُدَرِج، دَرَجه بَندى
- Farbskala; جَدوَل ِ رَنگها
Skalascheibe; صَفحة دَرَجه بَندى
skalieren; دَرَجه بَندى کَردَن
Skalpell; نيشو، کارد ِ جَراحى، تيغ ِ جَراحى
Skandal; اِفتِضاح، جَنجال
- das ist ein Skandal; اِفتِضاح است
Skelett; اِسکِلِت
Skepsis; شَک، تَرديد
Skeptiker; وَهام، شَکاک
skeptisch; شَکاک، ديرباوَر، مُتَرَدِد
Skeptizismus; شَکاکى
Skinhead; کَله تَراشيده
Skizze; طَرح، نَقشه، نِمودار، اَنگاره
skizzieren; تَرسيم کَردَن
- Plan skizzieren;  .نَقشه را کِشيدَن، ـ طَرح ريزى کَردَن، طَرح را رَسم ک
- die eigene Ansicht skizzieren; ديدگاه ِ خودرا تَرسيم کَردَن
Sklave; (pl.)  (زَرخَريد، بَرده (بُردِگان)، غُلام (غُلامان، غِلمان
- Sklaven erwerben; بَردِگان خَريدارى کَردَن
Sklavenhalter; بَرده دار
Sklavenhändler; بَرده فُروش
Sklaverei; بَرده دارى، بَردِگى
Sklera; صُلبيه
Skonto; تَخفيف دَر پَرداخت ِ نَقدى
Skorbut; اَسقَربوط
Skorpion; عَقرَب، کَج دُم
Skrupel; وَسواس
Skulptur; پِيکَر، مُجَسَمه
Slang; زَبان ِ لاطى، ـ عاميانه
Slogan; شُعار
Slum; حَلَبی آباد
Smaragd; ذِبَرجَد، زَمَرُد
Smoking; اِسموکينگ
Snob; خود گُنده بين
so;
- so, als Ergebnis; دَر نَتيجه
- so sehr; بِقَدرى
- so, wie; چِنانچه، چِنانکه، کَما اينکه، هَمانگونه
- so ist es auch; به هَمين قياس
- so ist es nun mal; هَمين است ديگه
- so dass keiner den Mut hätte, zu ...; آنچِنانکه از تَرس ِ چيزى جُرأت نَکُنَد از
- so, so; که اينطور
- ach so; پَس اينطور
- das beunruhigte ihn so sehr, ...; چِنان اورا مُضطَرِب کرد
- so wie er es tat, so mach es auch; چِنانکه او کَرد تو نيز چِنين کُن
- wie du mir, so ich dir; چيزى که عَوَض داره گِله نَداره
- bei ihm ist es so, ..; وَضع ِ او بِدين مِنوال است
- das waren so seine Erfahrungen; از جُملة تَجرُبيات ِ او بود
- so finden wir sie damit beschäftigt, ...; از سَر ِ اين کار است که آنها سَر گَرم ِ
- obgleich, .., so; هَرچَند .. وَلى
- sie reden mal so, mal so; حَرفِشان جوراجور است
- so verzweifelt sehen sie nun auch wieder nicht aus; چِهره هايِشان چَندان هَم از سَرپَريشانى نيست
sobald; به مُجَرَد ِ..، به مُجَرَد ِ اينکه
- sobald er sich auswies, ...; به مَحض ِ اِرائه
- sobald, als; به مَحض  ِاينکه
- sobald sie die Tür passiert haben; آنان به مَحض ِ گُذَشتَن از دَر
- sobald der Film entwickelt ist; به مَحض ِ ظاهِر شُدَن ِ فيلم
Socke; جوراب
- ich bin von den Socken; يَکه خوردَم
Sockel; اَريکه، جَدوَل
- Sockel (bei Denkmal); پايه
Soda; بى کَربُنات ِ سُديم، نَمَک ِ قُليا
Sodbrennen; سوزِش ِ قَلب، ـ مِعده
Sofa; مُبل ِ راحَتى، کاناپه
Sofakissen; مُتَکا، بالِش ِ کاناپه
sofort; فى الفور، هَمين دَم، ضَرب اُلعَجَل، يِکراست، عاجِل، بِدون ِ تأخير
- sofortiges Eingreifen; دِخالَت ِ فى الفور
Software; اَبزار ِ نَرم، نَرم اَبزار
Sog; مَکش، جَذب
sogar; حَتىٰ
Sohle;
- Schuhsohle; تَختة کَفش
