Vabanquespiel; ماجِرا
- jem. in etwas verliebt machen; کِسى را شیفتهٔ چیزى کَردَن
Verliebter; (pl.)  (عاشِق (عُشاق
Verliebtheit; شِدایی، دِلباختِگی، عِشق
verlieren;
- verlieren, zugrunde gehen; فاقِد شُدَن، از دَست رَفتَن، ضايِع شُدَن
- im Glücksspiel verlieren; قُمار باختن
- du verlierst nicht 1 Cent; يِک ریال زَیان نِمى کُنى
- den Kopf verlieren; دَستپاچه شُدَن
- s. verlieren; دَست و پای ِ خود را گُم کَردَن
- seinen Wert verlieren; از اِعتِبار اُفتادَن
- haushoch verlieren; کِسى تا حَد ِ شِش دَر چَهار کوچِک مى شَوَد
- er hat seinen Glauben verloren; ایمانَش سُستى گِرِفت، ایمانَش را از دَست داده، ایمانَش از کَفَش رَفته است
- er hat alles verloren; پَشمَش ریخته
- wir werden verloren sein; ما سَر نیست خواهیم شُد، ما گُمشُده ـ، ما گُمگَشته ـ
- das, was er verloren hat; آن چیزى از دَست رَفته اش را
- wenn ... dann hast du meine Sympathie verloren; اگَر ... از چِشمَم اُفتادی
Verlierer; بازَنده
- Verlierer (allegor.); مَنکوب
- er sieht s. als Verlierer von ... an; او خودرا مَقهور ِ ... مى بینَد
Verlies; سیاه چال، مَغاک، هُلُفدونى
verloben (s. -); نامزَد شُدَن
- sie war mit x verlobt; او در عَقد ِ فِلان بود
Verlobter; پِسَر ِ نامزَد
Verlobung; نامزَدى، عَقدکُنان
verlocken; کِسى را تَطمیع کَردَن
Verlockung; تَطمیع، اِغما، فِریفتِگى
verlogen; مُزَوِرانه
Verlogenheit; غَل و غَش، دَغَلى، ریاکارى
verlorengehen; گُمراه شُدَن
- er fand seinen verlorengegangenen Mut wieder; جُرأت ِ از دَست رَفتهٔ خودرا باز یافت
- geh nicht verloren unterwegs; داداش پَنچَر نَشو، گُم نَشو
verlosen; قُرِعه کِشى کَردَن
Verlosung; قُرِعه کِشى
Verlust; اِتلاف، خِسارَت، فُقدان، از دَست دادِگى، تَلَف، زیان، ضَرَر، ضايِعات
- Verlust erleiden; فاقِد شُدَن
- Verlust an Menschen & Material; خِسارَت ِ جانى و مادى، اِتلاف ِ ـ
- der bedauernswerte Verlust; ضايِعهٔ اَسَفناک
- ersetzbarer Verlust lässt s. verschmerzen; هَرچه عَوَض دارد گِله نَدارَد
- Verlust machen; کَسر ِ بودجه داشتَن
- Gefühlsverlust; ضايِعهٔ اِحساس و عاطِفه
- Machtverlust; زَوال ِ قُدرَت
- Rechtsverlust durch Verjährung; تَضییع ِ حَق دَر اَثَر ِ مورِد ِ زَمان
- Stimmenverlust; باختَن ِ آراء
- Zeitverlust; تَضییع ِ وَقت
Verlustbilanz; کَسر ِ بودجه
Verlustzeit; زَمان ِ تَلَف شُده
vermachen (Erbe); به اِرث گُذاشتَن
- vermachend (Erbe); توریث
Vermächtnis;
- Vermächtnis, Erbe; میراث، اِرث
- Vermächtnis, Stiftung; (pl.)  (وَقف (اوقاف
- schriftliches Vermächtnis; (pl.)  (وَثیقه (وَثائِق)، وَصيَت (وَصایا
vermählen (s. -); اِزدِواج کَردَن
vermählt; مُتأهِل
- Neuvermählte (- r); (تازه عَروس (داماد
vermahnen; گوشزَد کَردَن
vermehren;  .فُزونى دادَن، اَفزون کَردَن، اَفزايِش دادَن، اَفزودَن، زیاد کَردَن، مَزید ک
- s. vermehren; فُزونى یافتن، مُتَزايِد شُدَن
- vermehrend; اَفزون
- in vermehrter Weise; بِطور ِ فَزايَنده
Vermehrung; اَفزونى، تَکثیر، بیشى، اَفزايِش
vermeiden; اِجتِناب کَردَن
- Gottesfurcht lässt das Böse vermeiden; بِتَرس ِ خُداوَند از بَدى اِجتِناب مى شَوَد
- die übernahme des Wortes ... für ... wird vermieden; از اِطلاق ِ کَلَمهٔ ... به ... خوددارى مى شَوَد
Vermeidung; اِجتِناب
vermeintlich; اِشتِباهاً
vermengen;  .مَخلوط کَردَن، قاطی ک
- Mehl mit ... vermengen; آرد تَنگِش می زَنَد
- mit Fehlern vermengt; مَشوب به خَطا، مَخلوط ـ
Vermerk; ثَبت، یادداشت
vermerkt; مُرتَسِم، یادداشت شُده
vermessen; اَندازه گیرى کَردَن، اَندازه گِرِفتَن
- vermessen, anmassend; نِخوَت آلود، خودنَما
Vermessung; سَنجِش، اَندازه گیرى
vermieten;  .اِجاره دادَن، کِرایه د
Vermieter; موجِر، صاحِب ِ خانه
Vermietung; اِجاره، کِرایه
vermindern; (präs.)  کاستَن (مى کاهَد)، کوچِک کَردَن، کَم ک.، مَحدود ک.، کاهِش دادَن، تَقلیل دادَن
Verminderung; تَصغیر، تَقلیل، کاهِش
- Verminderung der Spannungen; کاهِش ِ تَنِشها
- Verminderung der Streitkräfte; تَقلیل ِ قُواى ِ نِظامى
vermischen;  .مَخلوط کَردَن، قاطى ک
- s. vermischen; مَخلوط شُدَن، دَر آمیختَن
- vermischt; مَغشوش شُده، مَمزوج، مَخلوطه، قاطى شُده
vermissen; فُقدان ِ چیزى را اِحساس کَردَن
- vermisst; مَفقود
- ich habe dich vermisst; جاى ِ شُما خالى بود
vermitteln;  .میانجیگَرى کَردَن، دَلالى ک، پامَردی کَردَن، پایمَردی ک
- vermitteln, mitteilen; باز نِمودَن، اِعلام کَردَن
- dass er in der Sache vermittelt; که بَراى ِ چیزى پا دَر میان کُنَد
- durch das Vermitteln von ...; ِ با وَساطَت
- ... zu vermitteln (eine Botschaft); پِیام آوَر بودَن
Vermittler; میانجى، واسِطه، داوَر، دَلال، پایمَرد، پامَرد
- Vermittler einer Angelegenheit; واسِطهٔ قَضیه
- Friedensvermittler; میانجى ِ صُلح، واسِطهٔ ـ
Vermittlung; میانجیگَری، وَساطِت، پایمَردی، پامَردی
- Arbeitsvermittlung; اِداره کار، آژانس ِ کار
Vermittlungsbemühungen; کوشِش بَراى ِ میانجیگَرى، ـ وَساطِت
Vermittlungsgebühr; حَق ِ دَلالى
Vermögen; دارائى، ثِروَت، بِضاعَت
- ein Vermögen (als Ausdruck); قِنطار
- Geld & Vermögen; پول و پِله
- das geht über mein Vermögen; این از حَد ِ تَوانائى ام بالاتَر است
- gemäss unserem Vermögen; دَر حَد ِ بِضاعَتمان
- unteilbares Vermögen (z.B. Grundstück); مُشاع
- Stiftungsvermögen; موقوفات
vermuten; حَدس زَدَن، تَوَهُم کَردَن، نَظَر پَردازى ک.، گُمان بُردَن
- es wird vermutet; فَرض مى شَوَد، بَر این باوَر است که
vermutlich; به اِحتِمال ِ قَوى
Vermutung; حَدس، تَوَهُم، نَظَر پَردازى، گُمانه زَنى، پِنداشت
- er äusserte die Vermutung; او اِحتِمال مى داد
vernachlässigbar;
- vernachlässigbarer Fehler; خَطاى ِ قابِل ِ اِغماض، ـ قابِل ِ صَرف ِ نَظَر
vernachlässigen; مُهمَل گُذاشتَن، کِنار گ.، اَهمال وَرزیدَن، از چیزى غافِل شُدَن، غِفلَت کَردَن، کوتاهى ک.، بى تَوَجُه قَرار دادَن
- vernachlässigen, warten lassen; مُعَطَل کَردَن
- jem. nicht vernachlässigen; دَربارهٔ کِسى ذَره اى فُروگُذار نَکَردَن
- s. selbst vernachlässigen; غافِل از خویش بودَن
- sie können diese Lektion nicht vernachlässigen; آنها نِمى تَوانَند این دَرس را زیر ِ سَبیل رَد کُنَند
- sie vernachlässigen das Lernen; آنها از دَرس خواندن مى اُفتَند، ـ صَرف ِ نَظَر مى کُنَند
Vernachlässigung; مُسامِحه، تَساهُل، بى تَوَجُهى، اَهمال، غِفلَت، کوتاهى، تَغافُل
- bei Vernachlässigung; غافِل از اینکه، با عَدَم رَعايَت، بِدون ِ رِسیدِگى به
vernageln; میخ زَدَن
vernarben; جوش خوردَن
vernarbt; مُلتَحِم، اِلتِحام یافته
Vernarbung;  .اِلتیام دادَن، اِلتِحام د
vernehmen;  .باز جویی کَردَن، باز پُرسی ک
- vernommen, gehört; مَسموع، شِنیده
- ich habe vernommen, dass ...; مَن شِنیدَم که، با خَبَر شُدَم که
Vernehmung; دادخواهى، باز پُرسى، بازخواست، اِستِنطاق
verneinen;  .جَحد کَردَن، نَفى ک
Verneinung; نَفى، مَنفيَت
vernichten; کِسى را از پا دَر آوَردَن، ـ تار و مار کَردَن
- das Leben vernichten; حَیات را مُنهَدِم ساختن، ـ قَلع و قَمع کَردَن
vernichtend; مُهلِک
Vernichtung; اِنهِدام، تَهلیک، اَهلاک، هَدم
- bis zur völligen Vernichtung; تا قَلع و قَمع
Vernichtungsmittel;
- Insektenvernichtungsmittel; حَشَره کُش
Vernunft; عَقل
vernünftig; مَعقول، عاقِل
- das ist vernünftig; این شُد حِسابى
veröden; بايِر کَردَن
- verödeter Bahnhof; ایستگاه ِ مَتروک
Verödung; اِلتیام ِ عاريَتى
veröffentlichen; دَرج کَردَن، به شُیوع رِساندَن
- in (zeitlichen) Abständen veröffentlichen; به تَفاریق اِنتِشار دادَن
Veröffentlichung; عِلامیه
- Veröffentlichung (Presse); نَشریه، اِنتِشار، نَشریاتى، دَرج
verordnen; دَستور دادَن
- verordnen (Arznei); تَجویز کَردَن
Verordnung; مُقَرَره، دَستور ِ اِجرائى، اَمر، فَرمان، حُکم
- Verordnung (med.); تَجویز
verpachten; اِجاره دادَن
verpacken; بَسته بَندى کَردَن
Verpackung; بَسته
- Verpackung von Ware; عَدل بَندى
- Originalverpackung; آكبَند، بَسته بَندی ِ دَست نَخورده
verpassen; از دَست دادَن
- nichts verpassen (z.B. als Journalist); از قَلَم نِمى اَندازَد
- den Zug verpassen; به قَطار نَرِسیدَن
- jem. eine Abreibung verpassen; حال ِ کِسى را جا آوَردَن
verpennen;
- ich hab´s verpennt; مَن خواب ماندَم
verpesten;  .مَطعون کَردَن، کَسیف ک
- verpestete Luft; هَواى ِ مَطعون
verpfändet; گِرُوى، با گِرو گُذاشته
- verpfändet sein; چیزی دَر گِرو بودَن
Verpflanzung; پِیوَند ِ اَعضاء
Verpflegung; تَغذیه، مَواد ِ غَذائى
- kostenlose Verpflegung; خوان ِ يَغما
- Beschaffung von Verpflegung; تَهیهٔ سورسات
verpflichten;
- jem. verpflichten; کِسى را مُلزَم کَردَن، اِلتِزام گِرِفتَن از کِسی
- s. zu etwas verpflichten; خودرا اِلزام ِ ... کَردَن، خودرا وَقف ِ ... کَردَن
- das letzte aufrechte Häuflein, die s. der ... verpflichten; تَنها بازماندِگان ِ مُلتَزِمین به
- ... ist verpflichtend; اِلزام است
- verpflichtet; مُوَظِف، مُلزَم
- s. verpflichtet fühlen zu etwas; دَر بَند ِ چیزى بودَن
- s. jem. gegenüber verpflichtet fühlen; (Gegenteil)  از کِسی خورده بُرده داشتَن (نَداشتَن
- verpflichtet sein zu; مَرهون بودَن، مَدیون ِ چیزى ب.، مُکَلَف ب.، مُلتَزِم ب.، مُوَظِف بودَن به، مِنَت کِشیدَن
- die Teilnahme an ... verpflichtet zur Zahlung dieses Betrages; شِرکَت دَر ... واجِد ِ شَرايِط ِ پَرداخت ِ این مَبلَغ است
- diese Aufgabe verpflichtet ihn, zu ...; این وَظیفه اورا مُلزَم می کُنَد که، - اورا مُوَظِف می کُنَد که
Verpflichtung; تَعَهُد، اِلتِزام
- Verpflichtung (im relig. Sinn); میثاق
- als Verpflichtung übernehmen; بَر ذِمه گِرِفتَن، زیر ِ دِین رَفتَن
- einer Verpflichtung nachkommen; اِستیفاء
- er hatte keine Verpflichtung; تَکلیفى به گَردَن نَداشت
- unter der Verpflichtung; به قِید ِ اِلتِزام، هَمراه با تَقَيُد
verplempern;
- Geld verplempern; پول ِ خود را توی ِ چاه ریختَن
verprügeln; کِسى را لَت و پار کَردَن، ـ مَضروب ک.، ـ شُل و پَل ک.، ـ کُتَک زَدَن، به جان ِ کِسى اُفتادَن
Verputz; روساز، اَندود
verputzen; اَندودَن، روسازى کَردَن
- verputzen (i.S. essen) (popul.); زَهر مار خوردَن
verqualmt; دود آلود
verramschen; به باد دادَن
- die Sachen verramschen; قِیمَت ِ قالى را مى کَرد یک سِکهٔ سیاه
Verrat; خیانَت
- Landesverrat begehen; مَملِکَت فُروشى کَردَن
verraten; خیانَت کَردَن
- er hat s. selbst verraten; خودرا لو داد
- er wurde verraten; او لو رَفت
Verräter; غَدار، خائن
verraucht; دود آلود
verrechnen;
- er hat s. böse verrechnet (alleg.); او بَدجوری اِشتِباه کَرد
- s. verrechnen (finanz.); اِشتِباه حِساب کَردَن
Verrechnungsscheck; چِک ِ واریزى
verreisen; به مُسافِرَت رَفتَن
Verrenkung; خَعل ِ مَفصَل، دَر رَفتِگى ِ اُستُخوان
verriegeln;  .کُلون کَردَن، قُفل ک.، چِفت ک
- verriegelt (Tür); مُقَفَل، قُفل شُده
- die Tür ist verriegelt; پُشتدَرى کِشیده شُده
verringern; کاهِش دادَن، تَقلیل د.، کَم کَردَن
- die Widrigkeiten verringern; از مَرارَت کاستَن، ـ کاهیدَن
- das Einkommen durch ... hat s. verringert; دَر آمَد از ... کاهِش داشته است
- den Stress verringern; اِسترِس ِ خودرا کاهِش دادَن
verrinnen (der Zeit); سِپَرى شُدَن
verrotten; پوسیدَن، گَندیدَن، مُتَعَفِن کَردَن، فاسِد شُدَن
- verrottet; پوسیده، گَندیده، عَفِن، مُتَعَفِن، فاسِد
verrückt; دیوانه
- verrückt sein (wörtlich: den juckts am Hintern); اُبنه داشتَن
- er muss verrückt sein; بايَد عَقل از کَله اَش پَریده شُد
- verrückt vor Liebe; مَجنون
- wie verrückt; دیوانه وار
- verrückt werden (vor ...); به هَوَس اُفتادَن
- jem. verrückt machen; پِدَر ِ کِسى را دَر آوَردَن
- da wird man verrückt; هَوائى شُدَن، سَرِ کِسی را به دَرد مى آوَرَد
Verrückter; مَجنون، شَخصى ِ دیوانه
Verrücktheit; جَنون، دیوانِگى
Verruf; بَدنامى
verrufen; بَدنام
Vers; (pl.)  (بِیت (اَبیات)، آیه (آیات
- in Versen; به نَظم
- Verweise auf andere Verse (*: Referenz); اِرجاعاتى به آیات ِ دیگَر
versagen; غِفلَت کَردَن، عاجِز بودَن
- s. versagen, weigern; مُستَنکِف شُدَن
Versagen (n); لَغزِش
Versager; ناتَوان، عاجِز
versammeln; مَردُم را جَمع کَردَن
- s. versammeln; گِرد آمَدَن، جَمع شُدَن، اِجتِماع کَردَن
- sie versammeln s. auf der Tagung; آنها بَراى ِ کُنفِرانس گِرد ِ هَم مى آيَند
- versammelt sein; جَمع بودَن
Versammlung; (pl.)  (تَجَمُع، مَجمَع (مَجامِع
- Saal für öffentliche Versammlungen; تالار ِ اِجتِماعات
- Generalversammlung; اِجتِماع ِ عُمومى
- Plenarversammlung; اِجلاس ِ عُمومى
Versand; اِرسال
Versandhaus; مَرکَز ِ توزیع، شِرکَت ِ سِفارِشى
versauen;
- sie versaut uns das Essen; غذا زَهر مارِمان شُد
versauern (z.B.: zu Hause); دَر خانه) تُرشیدَن )
versäumen; غِفلَت کَردَن
- er versäumte es, das Buch abzugeben; او از پَس دادَن ِ کِتاب غِفلَت کَرد
- den Zug versäumen; به قَطار نَرِسیدَن
- er versäumt keine Gelegenheit; او از فُرصَتَش نِمى اَندازَد
Versäumnis; فُروگُذار، مُسامَحه، اِهمال، غَیاب، غِفلَت
- das Versäumte nachholen; کار ِ عَقَب اُفتاده را سَر و سامان دادَن
- das Versäumte lässt s. nicht wiederbringen; گُذَشته را نِمى تَوان بَر گَردانَد
verschaffen; فَراهَم آوَردَن، مُهَیا کَردَن
- du verschaffst mir nur Arbeit, du machst mir -; تو هَم واسهٔ مَن هَمَش کار دُرُست مى کُنى
verschalen; روکِش کَردَن
verschämt; شَرمزَده، از روى ِ خِجالَت، مُنفَعِل بودَن
Verschämtheit; شَرمزَدِگى، چِشم و رو
Verschandelung; لوث
verschanzen (s. -); کَمین کَردَن
verschärfen;
- s. verschärfen (z.B. einer Situation); مُشَدَد شُدَن، تَشدید ش.، شِدَت یافتن
Verschärfung; تَشدید
- Strafverschärfung; تَشدید ِ مُجازات
verscharren; گور ِ کِسى کَردَن
verschenken; بَذل و بَخشِش کَردَن، هِدیه دادَن
verscheuchen; گُریزاندَن
- Vögel verscheuchen; کیش کَردَن
verschieben;
- verschieben (örtlich);  .لَغزاندَن، جابِجا کَردَن، پَس و پیش ک
- verschieben;  .تَعویق کَردَن، موکول ک
- auf später verschieben; اِمروز و فَردا کَردَن
- von einem Tag auf den nächsten verschieben; به اِمروز و فَردا اَنداختَن
- Was du heute kannst besorgen, das verschiebe nicht auf morgen; کار ِ اِمروزرا به فَردا مَيَفکَن
- Ihr Brief wurde 1 Monat verschoben; نامهٔ شُما تا يِکماه بِتَعویق اُفتاده
Verschiebung; لَغزِش، تَغییر ِ مَکان
- Verschiebung von Erdschichten; جابِجائى لایه هاى ِ زَمین
- Polverschiebung; سَرگَردانى ِ قُطبى
verschieden; مُتَفاوِت
- verschieden, verstorben (literat.); رَحل ِ اِقامَت به سَراى ِ باقى اَفکَندَن، راحِل
- das ist ganz verschieden; این اَصلاً مُتَفاوِت است، ـ فَرق دارد
- verschiedene Gedanken; فِکرهاى ِ جورا جور، ـ جور بِجور
verschiedenartig; گوناگون
Verschiedenes; مُتَفَرِقه
verschimmeln; کَپک زَدَن
verschlacken; سُرباره شُدَن
verschlafen; دیر بیدار شُدَن
- verschlafen, unausgeschlafen; خواب آلود
- ich hab´s verschlafen; مَن خواب ماندَم
verschlagen; موذى، زیرَک و پُخته، حیله گَر، مُحیل، مَکار، ناقُلا
- verschlagenes Lächeln; خَندهٔ زیر ِ کانه کَردَن
- ein verschlagener Typ; آدَم ِ مُحیل
- mit verschlagener, verschwörerischer Miene sagte er; با لَحن ِ مُحیلانه گُفت
Verschlagenheit; کَج مِزاج
verschlampen; غِفلَت کَردَن، به ظُهور ِ خود رَعايَت نَکَردَن
verschlechtern;
- die .. hat s. verschlechtert; چیزی رو به وَخامَت رَفت
- Verschlechterung der Beziehungen; وَخامَت ِ رَوابِط
verschleiern;  .مَستور کَردَن، قاِئم ک.، پِنهان ک.، غِیب ک.، مَخفى ک
- die Wahrheit verschleiern; حَقیقت را پَرده پوشى کَردَن
Verschleierungstaktik; تاکتیک ِ پَرده پوشى
Verschleiss; فَرسايِش، فَرسودِگى، خوردِگى، سائیدِگى، اِستِهلاک
verschleissen;  .فَرسايِش کَردَن، استِهلاک ک
- verschlissen;  .پوسیده شُده، فَرسوده ش
verschleppen;
- verschleppen (z.B. Verfahren); دادرِسى را بِتأخیر اَنداختَن، - مُعَطَل کَردَن
- jem. verschleppen; (präs.)  (کِسى را رُبودَن (مى رُبايَد
Verschleppung; تأخیر، وَقت گُذَرانى
Verschleppungstaktik; تاکتیک ِ وَقت گُذَرانى، اِشکالتَراشى
verschleudern; به باد دادَن
- Vermögen verschleudern; توپ بَستَن توى ِ مال
- Ware verschleudern; کُالا آب کَردَن
- die Sachen billig verschleudern; قِیمَت ِ قالى را مى کَرد يِک سِکهٔ سیاه
verschliessbar; کِلید دار
verschliessen; سَگَک اَنداختَن، بَستَن، قُفل کَردَن
verschlimmbessern; قوز بالاى ِ قوز کَردَن
verschlimmern; بَدتَر کَردَن
- Beharren auf .. hat alles noch verschlimmert; اِصرار کَردَن روى ِ .. مَزید بَر عِلَت شُده است
verschlingen; بَلع کَردَن، بَلعیدَن، لُقمه چَپ کَردَن، لُمباندَن
- wieder verschlingen; وا رُبودَن
- mit vollen Backen verschlingen; دو لُپی مَشغول ِ بَلعیدَن بودَن
- der Qualm verschlingt alles; دود هَمه چیزهارا دَر کام ِ خود فُرو مى گیرَد
- Darmverschlingung; اِلتِواء ِ اَمعا
verschlissen;  .پوسیده شُده، فَرسوده ش
verschlossen; مُقَفَل
- sein Mund war fest verschlossen; دَندانهايَش کِلید شُده بود
- ein verschlossener Mensch; آدَم ِ تو دار، ـ دَر خودِش جَمع است
- es gibt keine verschlossenen Türen; دَر و دَربَندان نَداشتَن
verschlucken; دَر کام فُرو گِرِفتَن، بَلع کَردَن، بَلعیدَن
- s. verschlucken; چیزى دَر گَلو گیر مى کُنَد
- der Qualm verschluckt alles; دود هَمه چیزهارا دَر کام ِ خود فُرو مى گیرَد
verschlungen; پیچیده، مارپیچی
- ein verschlungener Körper; يِک بَدَن ِ چَنبَره زَده
Verschluss;
- um sie unter Verschluss zu halten; بَراى ِ دَربَند ماندَن ِ آنهاست
- Flaschenverschluss; سَر ِ بُطرى، سَر پوش، دَر ِ بُطری
- Verschluss an der Tasche; سَگَک، قَزن ِ قُفلی
verschlüsseln; به رَمز دَر آوَردَن
- verschlüsselt; رَمزى
- verschlüsselt reden; سَر بَسته گُفتَن
verschmachten; زَبونى کِشیدَن
- verschmachtet; پَریشان حال
verschmähen; از چیزى اِبا داشتَن
verschmelzen; اِدغام کَردَن، به هَم جوش خوردن
- verschmelzen mit der Rolle des ..; بِعُنوان ِ يِک .. از تَمام ِ وُجود مایه مى گُذارَد
- miteinander verschmolzen; به چیزى جوش خورده
- Verschmelzung von ..; جوش خوردن ِ..، ذوب ِ..
verschmieren; مالیدَن
- mit Lehm verschmieren; گِل گِرِفتَن
- verschmiert sein mit Öl; آغُشته به روغَن
verschmutzen; کَثیف کَردَن
Verschmutzung; لوث، آلودِگى، کَثیفى
- Luftverschmutzung; آلودِگى ِ هُوا
verschnaufen; آرام گِرِفتَن، نَفَس ِ تازه کَردَن
Verschnörkelung; پیرایه
verschnüren; گِره زَدَن، ـ بَستَن
- etwas fest verschnüren; جیزی را مُحکَم طِناب پیچ کَردَن
- das Paket verschnüren; پاکَت را با بَند بَستَن
verschollen; مَفقود، گُمگَشته
Verschollener; غَايِب ِ مَفقود اُلاثَر
verschonen; کِسی را دَریغ کَردَن، بَر کِسی شَفَقَت داشتَن
- jem. vor den Kosten verschonen;  .کِسى را از خَرج دَریغ کَردَن، ـ خوددارى ک
- verschont (i.S. ausgenommen); مُبَرا
- von der Plage des .. verschont; از شَر ِ.. راحَت بودَن
- der General verschont die Städte nicht; ژِنِرال از اِنحِدام ِ شَهرها صَرف ِ نَظَر نِمى کُنَد
- du hast ihn nicht verschont um meinetwillen; تو اورا از مَن دَریغ نَداشتى
- er ist vor Folter nicht verschont geblieben; او از آزار غافِل نَمانده است
verschönen;  .زینَت کَردَن، ارايِش ک
- Verschönern mit Grünzeug (bei Nouruz); سَبزه گِره زَدَن سیزدَه بِدَر
Verschonung; خوددارى، دَریع
- Bitte um Verschonung; اِستِرحام
verschossen;
- die Farbe ist verschossen; رَنگِش رَفته است
- verschossener Stoff; پارچهٔ رَنگِش پَرید
Verschraubung; اِتِصال ِ پیچى، پیچیدِگى
verschrecken (z.B. Pferd); رَم دادَن
verschreiben;
- ein Rezept verschreiben; نُسخه تَجویز کَردَن
- s. einer Philosophie verschreiben; بَر سَر يِک رَوِش ِ فَلسَفى پیشاپیش هَمقَسَم شُدَن، خودرا وَقف ِ فَلسَفه کَردَن
verschroben; عَجیب و غَریب
- sie als verschrobene Typen betrachten; آنهارا بِصورَتى که دَر تار و پود ِ جامِعه جا باز کَرده اند نِگاه مى کُنَند
verschrotten; قُراضه شُدَن
verschüchtert; زَرد رو
verschuldet; مَقروض، بِدِهکار، به قَرض اُفتاده
Verschuldung; بِدِهکاری
- öffentliche Verschuldung; بِدِهکارى ِ عُمومى
verschütten; اَفشاندَن
verschwägern;
- s. mit jem. verschwägern; با کِسى مُصاهِرَت کَردَن
Verschwägerung; مُصاهِرَت
verschweigen; سُکوت کَردَن، پِنهان داشتَن، جِلوى ِ دَهان ِ خودرا گِرِفتَن
- verschwiegener Mensch; آدَم ِ تودار
verschweissen; جوش دادَن
verschwenden; به هَدَر دادَن، تَلَف کَردَن، به باد دادَن
Verschwender; وِلخَرج
verschwenderisch; گُشاد باز، مُسرِف
Verschwendung; اِتلاف، اِسراف
- jem. zur Verschwendung auffordern; کِسى را به اِسراف و تَبذیر بَر اَنگیختَن
verschwiegen; تودار
Verschwiegenheit; کِتمان، رازداری
verschwimmen;
- es verschwimmt vor meinen Augen; سَرَم گیچ می رَوَد
verschwinden; يَواشَکى رَفتَن، فِلِنگ را بَستَن، گُم و گور شُدَن
- Verschwinde!; راه بيُفت!، پا شو!، بُرُو
- spurlos verschwunden; مَفقود اُلاثَر
- er ist verschwunden; غِیبَش زَد
Verschwinden (n); اِنعِدام
- das Verschwinden einer Dynastie; اِنعِدام ِ سِلسِلهٔ پادِشاهان
- die Kultur wurde zum Verschwinden verurteilt; فَرهَنگ رو به اِضمِحَلال نَهاد
verschwommen;
- verschwommen & geheimnisvoll; مَحو و مَرموز
- verschwommene Ansicht; عَقیدهٔ تَق و لَق، ـ زیر لَبَکى، ـ زیر لَفظى
verschwören; زَمینه سازى کَردَن، توطئه چیدَن
- alle verschwören s. gegen mich; هَمه عَلِیهَم توطئه مى کُنَند، ـ دَست بِيِکى ـ
verschwörerisch; زَمینه ساز، توطئه گَر، دَسیسه جو
- verschwörerische Sache; کار ِ دَسیسه آمیز
Verschwörung; زَمینه سازى، توطئه، ساخت و پاخت، دَسیسه
- Verschwörung gegen ... anzetteln; با ... بَند و بَست کَردَن
versehen;
- jem. mit etwas versehen (z.B. Proviant); چیزی را به کِسی دادَن
- mit Fehlern versehen (i.S. voller Fehler); مَشوب به خَطا
Versehen (n); عَوَضى، سَهو، اِشتِباه
versehentlich; سَهواً، اِشتِباهاً
- er hat versehentlich ...; او عَوَضى
versehrt; مَعلول، مَصدوم
- Kriegsversehrter; مَصدوم ِ جَنگى، مَعلول ِ ـ
versenden; اِرسال داشتَن، فِرِستادَن
versengen; کِز دادَن
versenken; غَرق کَردَن
- s. versenken (z.B. in Arbeit); غَرق شُدَن (دَر کار
Versenkung;
- aus der Versenkung auftauchen; آدم  به  آدم  میرسد کوه  بکوه  نمیرسد : هرچند سالها یا مرحله ها از یکدیگر دور بودیم  و امید دیدار نداشتیم  اکنون  باز یکدیگر را دیدیم
versessen;
- er ist auf etwas versessen; به طَمع ِ چیزى مى اُفتَد، دَنگِش گِرِفته این کاررا بِکُنَد، شیفتۀ چیزى بودَن، سَرگَرم ِ ـ
versetzen;
- versetzen, sitzenlassen; سَر کاری گُذاشتَن
- etwas versetzen (z.B. Ware); چیزى را مُنتَقِل کَردَن
- (im Pfandhaus) versetzen; گِرو گُذاشتَن
- s. in die Lage von .. versetzen; با قَرار گِرِفتَن دَر جاى ِ فِلان، جاى ِ فِلان را گِرِفتَن
- .. versetzte ihn in Ekstase; اورا به وَجد و شور آوَرد...
- er wurde in die nächste Klasse versetzt; او قَبول شُد و به کلاس ِ بَعدی رَفت
- versetzt (z.B. in Zickzack-Muster); چَپ اندَر قِیچی، به صورَت زیگزاگ
Versetzung;
- Strafversetzung; اِنتِقال ِ تأدیبى
- die Versetzung ist gesichert (Schule); انتِقال تأمین است
verseuchen;  .آلوده کَردَن، نَجِس ک
- das Land ist verseucht von ...; کِشوَر آغُشته به ... است
versichern; اِطمینان دادَن، تأکید کَردَن
- versichern (bei Versicherung); بیمه کَردَن
- s. versichern (gegen alle Eventualitäten); جائى مى خوابَند که زیرِشان آب نَرَوَد
- ich versichere dir; به تو تَضمین مى دَهَم
Versicherung; بیمه
- Lebensversicherung; بیمهٔ عُمر
Versicherungspolice; وَرَقهٔ بیمه، قَرارداد ِ ـ
Versicherungsprämie; حَق ِ بیمه
versickern; ریختَن
versiegeln; مُهر و موم کَردَن
- versiegelt werden, Endgültigkeit erlangen; مَختوم شُدَن
- sämtliche Türen versiegeln; دَر و پِیکَر را مُهر و موم کَردَن
- versiegelte Tür; دَر ِ هَبوط، دَر ِ مُهر و موم شُده
versinken; غَرق شُدَن، فُرو رَفتَن
- damit jem. nicht in Arbeit versinkt; مَبادا کار اورا از پاى دَر آوَرَد
- in Gedanken versunken; به فِکر فُرو رَفته، ـ هِشته
