Waage; تَرازو
- ich freue mich aufs Wiedersehen mit ...; از ديدار ِ کِسى خوشحالَم
wiederum; باز هَم
- er wiederum reagierte auf die Schläge; او مُتَقابِلاً ضَربه هارا جَواب داد
Wiedervereinigung; اِتِحاد ِ مُجَدَد، تَجديد ِ اِتِحاد
Wiege; گَهواره، نَنو، گازه، مَهد
- Wiege schaukeln; گَهواره را جُنباندَن
- die Wiege der Menschheit; مَهد ِ بَشَريَت
- mit einem Wiegenlied einschlafen; با لالائى به خواب رَفتَن
wiegen;  .قَپان کَردَن، وَزن ک
- den Kopf wiegen; سَررا تَکان دادَن
- wieviel wiegst du?; وَزنِت چِقَدر است؟
wiehern; شِيهه زَدَن، شَهنه کَردَن
Wiese; چِراگاه، عَلَفزار
- grüne Wiese; سَبزه زار
- Wald- & Wiesenwirtschaft; اِقتِصادى ِ زَراعَتى و جَنگَلى
Wiesel; راسو
wieso; چِرا
- wieso das denn?; آخَر چِرا؟
wieviel; چِقَدر
- um wieviel mehr; تا چه رِسَد که
- wieviel brauchst du?; چِقَدر لازِم دارى؟
- wieviele wir auch sein mögen; تِعِداد ِ ما هَر قَدر باشد
- Heute ist der Wievielte?; اِمروز چَندُم است؟
wild; وَحشى
- er ist wild darauf, das zu tun; دِنگِش گِرِفته اين کاررا بِکُنَد
- wilder Streik; اِعتِصابى ِ بى نِظام
- das ist ein wildes Kind; بَچه بازى گوش است
- meine wilden Jahre (i.S. jähzornig); دوران ِ آتَش پارِگي ِ مَن
Wildbret; گوشت ِ شِکارى، نَخچير
Wilderei; صِيد و شِکار ِ غِير مُجاز
Wildesel; گورخَر
Wildheit; تَوَحُش
Wildschaden; خَسارَت ناشى از شِکار
Wildschwein; گُراز
Wildwuchs (bei Pflanzen); (-ru) نَباتات ِ خود رو
Wille; خواسته، خواست، اِراده، اِختيار، مَشيَت
- jemandes Willen erfüllen, damit ..; به کِسى اِختيار دادَن تا
- mit eisernem Willen; با عَزمى ِ آهَنين، با اِرادۀ ـ
- Gottes Wille; مَشيَت ِ اِلَهى، اِرادة خُدا، خواست ِ ـ
willen;
- um der Ehre willen; به پاس ِ اِفتِخار، مَحض ِ خاطِر ..
- um Gottes willen; فى سَبيل خُدا، دَر راه ِ خُدا
- um euretwillen; دَر حَق ِ شُما، بِخاطِر ِ ـ
- du hast ihn nicht verschont um meinetwillen; تو اورا از مَن دَريغ نَداشتى
willig (- sein); مايِل بودَن، مايِليَت داشتَن
willkommen;
- Herzlich willkommen; خوش آمَديد، صَفا آوَرديد
- ich heisse Sie herzlich willkommen; مَن به شُما خوش آمَد مى گويَم
- bei mir ist jeder willkommen; هَر که مى خواهَد باشَد رو چِشم ِ مَن جا دارَد
Willkür; مُطلَق اُلعِنانى، خود سَرى، تَحَکُم، اِستِبداد
- Willkür walten, erpressen; اِجحاف کَردَن
Willkürherrschaft; حُکومَت ِ خودسَرانه، ـ اِستِبدادى
willkürlich; حِساب نَکَردَنى، خودسَرانه، غِير ِ قانونى
Willkürlichkeit; دِلبِخواهى، اِختيار
wimmeln; (wul) وول زَدَن
- es wimmelt von Fehlern; خِيلى مَغلوط است، بِسيار ـ، از اِشتِباهات پُر است
wimmern;  .ناله کَردَن، فِغان ک
- vor Schmerzen wimmern; از دَرد زوزه کِشيدَن
Wimpel; دِرَفش، پَرچَم ِ سه گانه
Wimpern; (pl.)  (مُژه، مُژگه (مُژگان
- er zuckt nicht mit der Wimper; خَم به آبروى ِ او نِمى آيَد
- ohne mit der Wimper zu zucken; کِيکَم هَم نِمى گَزَد
Wimperntier; مُژَکدار
Wind; باد
- Wind bläst; باد مى وَزَد
- bei Wind & Wetter; دَر باد و بوران
- als Folge eines heftigen Windes; دَر از وَرِش ِ باد از هَر سو
- ich möchte nicht, dass er Wind davon bekommt; نِمى خواهَم او بوئى بِبَرَد
- Sein Mäntelchen nach dem Wind hängen; بيد دَر مُقابِل ِ باد هَر دَم به طَرَفى حَرِکَت مى کُنَد، خودرا دَمساز کَردَن، نُخود ِ هَر آشى است
- Fallwind; باد ِ ساقِط
Winde; بار بَردار، قِرقِره
Windel; قَنداق
winden; پيچيدَن
- s. auf dem Boden winden; رو زَمين کُشاله رَفتَن
- s. vor Schmerzen winden; از دَرد به خود پيچيدَن، بال بال زَدَن، از دَرد با بى قَرارى به پيچ و تاب اُفتادَن
- Ketten um s. winden; قِيد بَر دور ِ خود تَنيدَن
- er windet s., krümmt s.; او خِيلى دَست و پا مى زَنَد
- s. windend; کَژ و مَژ
Windeseile;  فى الفور
- in Windeseile koche ich; فى الفور مى پَزَم
Windfang; بادگير
windig; باد خيز، طوفانى
Windjacke; کاپچِن ِ باد گير
Windlicht; چِراق ِ بادى
Windmühle; آسياب ِ بادى
Windows; ويندوز
Windpocken; آبِله مُرغان
Windschutzscheibe; شيشة جِلوئى
Windstärke; شِدَت ِ باد
Windstoss; - موج ِ باد، ضَربة
Windung; خَميدِگى، پيچ
Wink;
- Wink, Andeutung; تَلويح، اِشاره
- Wink (mit den Augen); غَمزه
- mit der Hand einen Wink geben; با دَست ايماء کَردَن
Winkel; (pl.) زاويه (زَوايا
- rechter Winkel; زاوية قائِمه
- er kennt jeden Winkel seines Autos; تَمام ِ چَم و خَمهاى ِ ماشينَش را مى شِناسَد
- in einem Winkel des Zimmers; دَر کُنج ِ اُطاق
winkelig; زاويه دار، گوشه دار
- spitzwinkelig; حاد اُلزاويه
Winkelmass; گونيا، زاويه ياب، زاويه سَنج
winken; کِسى را با دَست اِشاره کَردَن
Winker; نِشاندَهَندة جَهَت
Winter; زِمِستان
Wintergarten; پاسيو
Winterquartier; قِشلاق
Winterreifen; لاستيک ِ يَخ شِکَن، ـ زِمِستانى
Winterschlaf; سَهر ِ سُباتى، خواب ِ زِمِستانى
Wintersonnenwende; شَب ِ يَلدا
Winzer; شَراب ساز
winzig;
- winzige Person; شَخص ِ ريزه اَندام
- du warst ein Winzling, als ...; نيم وَجَبى بودى که
Wipfel (Baum -); کاکُل ِ دِرَخت، سَربُلَندتَرين شاخة دِرَخت
Wippe; اَلاکُلَنگ
wippen; جُنباندَن
Wirbel; مُهره، فَقار
- Wirbel machen; تازانيدَن، اِزدِهام کَردَن
- Feiertagswirbel; دَنگ و فَنگ ِ عِيد
- Trommelwirbel; ضَرباهَنگ ِ طَبل
wirbelförmig; پيچان
Wirbellose; حِيوانات ِ غِير ِ فَقار، ـ ذو فَقار، بى مُهرِگان
wirbeln; چَرخاندَن
- durcheinanderwirbeln; مُعَلَق زَدَن
Wirbelsäule; سُتون ِ فَقَرات، ـ مُهره ها، تيرة پُشت
Wirbelsäulenverletzung; آسيب ِ نَخاعی
Wirbelstrom; جَريان ِ سَرگَردان
Wirbelsturm; طوفان ِ گِرد باد
Wirbeltiere; حِيوانات ِ فَقار دار
Wirbelwind; تُند باد، گِرد باد
wirken;
- das Kind wirkt wie ein Erwachsener; بَچه عِين ِ آدَم ِ بُزُرگ مى مانَد، ـ به نَظَر مى رِسَد
- das wirkt sehr auf ihn, zeigt Wirkung; بَر او کارگَر مى اُفتَد، مُؤَثِر است، ـ تأثير مى گُذارَد
- er wirkt gequält; آزُرده مى نَمايَد
Wirkleistung; قُدرَت ِ حَقيقى، ـ مؤَثِر
wirklich;
- ohne wirklich ..; بى هيچ
- er ist wirklich ...; او به راستى، او واقِعاً
- wirklich!; اِنگار نَه اِنگار
Wirklichkeit; حَقيقَت، واقِعيَت
- in Wirklichkeit; فى نَفسه، دَر واقِع
- dieser Wunsch ist Wirklichkeit geworden; اين آرِزو تَحَقُق يافته است
wirklichkeitsfremd; آدَم ِ نِگره پَرداز، ـ باف، ـ غِير ِ واقِعى
wirklichkeitsgetreu; عِين ِ واقِعيَت، واقِع گِرا
wirksam; مُؤَثِر، دَر حالَت ِ اِجرا، کارى، کارگَر
Wirksamkeit; کار آئى ِ مُؤَثِر، کارکِرد
- Vertragswirksamkeit; اِجراى ِ قَرار داد
Wirkung; عَمَلکَرد، تأثير، مَعلول
- Wirkung erzielen; اَثَر گُذاشتَن
- etwas, was seine Wirkung erzielt; چيزى کار ِ خودَش را مى کُنَند
- die Arznei zeigt keine Wirkung; دارو اَثَر نِمى کُنَد
- so viel er auch redete, es zeigte keine Wirkung bei mir; هَر چه صُحبَت مي کَرد به خَرجَم نِمي رَفت
- die Waffe zeigt keine Wirkung; اَسلَحه بَر او کارگَر نيست
- aufeinander Wirkung haben; بَر هَم کُنِش دارَند
- seine Wirkung testen; شَم ِ عَمَلَش را مى آزمايَد
- unter der Wirkung von ...; بَر اَثَر ِ
Wirkungsbereich; حوزة اِعتِبار، مِيدان ِ فَعاليَت
Wirkungsgrad; راندِمان، بازدِه، کارائى
wirkungslos; کَم اَثَر، بى اَثَر
- wirkungslos machen; چيزى را از اَثَر اَنداختَن
wirkungsvoll; بَليغ، قابِل ِ عَمَلکِرد، عَمَلى، مُؤَثِر
wirr;
- er ist wirr im Kopf; آدَم ِ جَفَنگ است، ـ سَر دَر هَوا، ـ دَر هَم بَر هَم
Wirren (polit.); بَلوا، آشُفتِگى
Wirrwarr; آش دَر هَم جوش، دَر هَم بَر هَمى، بِلبِشو
Wirsing; کَلَم ِ بروکسِل، ـ فُندُقى، ـ پيچ
Wirt; صاحِب ِ مِيخانه
Wirtschaft; اِقتِصاد
- Betriebswirtschaft; اِقتِصاد ِ صَنَعتی
- Volkswirtschaft; (Mikro-, Makroökonomie)  (اِقتِصاد ِ مِلی (اِقتِصاد ِ خُرد، - کََلان
wirtschaftlich; اِقتِصادي
- gesamtwirtschaftlich; اِقتِصادى ِ کَلان
- wirtschaftlicher Rückschlag; وَخامَت ِ وَضع ِ اِقتِصادى
Wirtschaftsflucht; فَرار ِ سَرمايه
Wirtschaftshilfe; کُمَک ِ اِقتِصادى
- Rat für gegenseitige Wirtschaftshilfe; شوراى ِ کُمَکهاى ِ اِقتِصادى ِ مُتَقابِل
Wirtschaftsministerium; وِزارَت ِ اِقتِصاد
Wirtspflanze; گياه ِ ميزبان
wischen; لَته کِشيدَن، ـ زَدَن، پاک کَردَن
- mit dem Tuch über .. wischen; با کُهنه روى ِ چيزى کِشيدَن
Wischi Waschi; دَرى وَرى
Wischlappen; لَته، کُهنه، دَستمال ِ نِظافَت
wispern; پِچ پِچ کَردَن
wissen; دانِستَن
- Sie wissen es selbst; خودِتان مَسبوقيد
- etwas wissen über; بَر چيزى واقِف بودَن
- wie soll ich das wissen?; سَر از کُجا دَر مى آوَرَم؟
- woher soll man das wissen?; چه بِدانی؟
- ohne zu wissen, warum; بى آنکه چِرايَش را بِدانَد
- nicht mehr ein noch aus wissen; دَر کار ِ خود گير کَردَن
- wenn du wissen möchtest, wie es mir geht; اَگَر از حالَم چويا باشى
- ich weiss; حَتم دارَم
- wie Sie wissen; از شُما چه پِنهان
- was weiss man schon?; آدَم چِه مى دانَد؟
- was weiß ich!; چه می دانَم؟
- wer viel weiss, von dem wird viel gefordert; هَر که بامَش بيش بَرفَش بيشتَر
- was du nicht weisst, macht dich nicht heiss; وَقتى ديگ بَراى ِ تو نِمى جوشَد بِگُذار کلة سَگ تويَش بِجوشد
- sie sind von einer Stadt, aber ich weiss nicht welcher; آنها اَهل ِ شَهر نِمى دانَم چى هَستَند
Wissen (n); فَضائِل، وُقوف، عِلم، دانِش، مَعرِفَت
- mit Wissen von ...; با وُقوف ِ
- das Wissen erweitert s.; دانِش با حُدود و حَواشى پيش مى رَوَد
- Wissen ist Macht; تَوانا بُوَد هَر که دانا بُوَد
- Wissen verpflichtet; هَر که بامَش بيش بَرفَش بيشتَر، دِرَخت بارَش هَرچه بيشتَر ميشَوَد سَرَش پائينتَر ميشَوَد
wissend; عارِف
Wissenschaft; (pl.)  (عِلم (عُلوم
- exakte Wissenschaft; عُلوم ِ رياضيه
Wissenschaftler; (pl.)  (دانِشمَند، عالِم (عُلَماء
wissenschaftlich; عِلمى
wittern;
- die Gefahr wittern; بوى ِ خَطَر را کِشيدَن، ـ شِنيدَن
Witterung; وَضع ِ هَوا
Witwe; بيوه زَن، زَن ِ شوهَر مُرده
- grüne Witwe; بيوة شوهَردار
Witwenstand; بيوِگى
Witwer; بيوه مَرد، مَرد ِ زَن مُرده
Witz; مُطايِبه، فُکاهيَت، شوخى، جُک
- sein Witz ging daneben; شوخيش نَگِرِفت
- Witze reissen; پوز خَند زَدَن
Witzbold; هَزال
witzig; فَکاهى، خَنده دار
- witzige Bemerkung; تيکه وَرانى، ـ وَرونى
wo; کُجا
- wo doch ...; چِرا که
- wo ist sie? (popul.); کوشِش؟
- überall, wo ...; هَرجا که
- wo auch immer wir sind; دَر هَر کُجا که هَستيم
wobei; دَر حاليکه
Woche; هَفته
Wochenende; آخَر ِ هَفته
- das letzte Wochenende im Mai; آخَرين آخَر ِ هَفته دَر مِه
Wochenkarte; بِليت ِ هَفتِگى
wöchentlich; هَفتِگى
Wöchnerin; زن ِ زائو، زائو
- ängstliche Wöchnerin, "böser" Blick; زائو ِ تَرسان
wodurch;
- wodurch kommt das?; به چه وَسيله اين چيزها دَر مى آيَد؟، چِرا اينطورى مى شَوَد؟
- wodurch ich ...; که به موجِب ِ آن مَن
Woge; موج
- eine Woge der Freude durchströmte mich; موجى از شادى توى ِ دِلَم دَويد
wogen (Wellen); دَر طَلاطمُ بودَن
- wogend (Meer, u.ä.); مَواج
woher;
- woher kommst du?; از کُجا مى آئى؟
- woher kommt denn die Vorstellung?; چه فِکرهاى ِ عَجيبى که نَکَرده بود
wohin;
- wohin gehst du?; به کُجا مى رَوى؟
wohl;
- wohl oder übel; خواسته يا نَخواسته، طوعاً و کَرهاً
- Leben Sie wohl!; بِسَلامَت
- du bist wohl nicht ganz gescheit; تو ديگه سَرِت کَج است، لابُد سَرِت ـ
Wohl (n);
- zum Wohl sowie zum Unwohl; دَر خِير و شَر
- zum Wohle; بَراى ِ خِيريَت، بَراى ِ خِير و صَلاح
- ihr habt euch sehr für mein Wohl eingesetzt; خِيلي دَر حَقَم لُطف کَرديد
- Wohl bekomms!; عافيَت باشَد!، به سَلامَتى ِ شُما
- Wohl Euch; خوش بِحال ِ شُما
- für das vorgetäuschte Wohl der Allgemeinheit; به لَطايِف اُلحيَل
Wohlbefinden; بِهبودى
wohlbehalten;
- jem. etwas wohlbehalten übergeben; چيزى را صَحيح و سالِم تَحويل ِ کِسى دادَن
- er bringt sie wohlbehalten ans Ziel; او آنهارا بِسَلامَت به مَقصَد مى رِسانَد
- sie kamen wohlbehalten in ... an; آنها بِسَلامَت به ... رِسيدَند
wohlbekömmlich;
- wohlbekömmliche Nahrung; غَذاى ِ گُوارا
Wohlergehen; خَجَستِگى، خِير
Wohlfahrt; اَنجُمَن ِ خِيريه، رِفاه
Wohlfahrtsstaat; دولَت ِ رِفاه
wohlfühlen (- s.); کِيف کَردَن
Wohlgefallen; خُشنودى
wohlgenährt;
- er sieht wohlgenährt aus; او خوب خورده به نَظَر مى آيَد
Wohlgeruch; عَطريات، بوى ِ خوش
wohlgesonnen;
- sie sind euch wohlgesonnen; نَظَر ِ آنها نِسبَت به شُما مُساعِد است
- jem. gegenüber nicht wohlgesonnen sein; با کِسي خوب بِشو نيست
wohlhabend;
- wohlhabende Person; شَخص ِ مُرَفَه، ـ مُتَنَعِم
wohlklingend; خوش نَغمه
Wohlleben;
- Wohlleben & Glück; ناز و نَعيم
wohlriechend; خوشبو، مُعَطَر
wohlschmecken;
- wohlschmeckendes Essen; غَذاى ِ لَذيذ، ـ خوشمَزه
Wohlstand; تَمَوُل، اِفلاح، سَعادَت، رِفاه، بِهزيستى، سامان
- Wohlstand eines Landes; عُمران
- im Wohlstand lebend; مُرَفَه
Wohlstandsgleichgewicht; تَعادُل ِ رِفاه
Wohltat;
- Wohltat erweisen; اِحسان کَردَن
Wohltäter; (pl.)  (مَرد ِ خَيِر، وِلى ِ نِعمَت، نيکوکار، شَخص ِ مَنان، مُنعِم (مُنعِمين
- s. als Wohltäter hinstellen; قيافۀ ارباب و وِلى ِ نِعمَت بِخود گِرِفتَن
wohltätig; نيکوکار
Wohltätigkeit; خِيريَت، خِيريه
wohltun; سَر ِ حال آوَردَن، خوبى کَردَن
Wohlwollen; تَبَرُک، لِطافَت، نيک اَنديشى، حُسن ِ نيَت
wohlwollend; نيک اَنديش، عاطِف
Wohnberechtigungsschein; مَدرَک ِ اِجازه بَراى ِ خانه هاى ِ اَرزان
Wohnbezirk; مَنطَقة مَسکونى
wohnen; سُکَنىٰ داشتَن، سُکونَت د.، زِندِگى کَردَن
Wohnfläche; مَساحَت ِ خانه
Wohngebiet; مَنطَقة مَسکونى
Wohngeld; اِعانۀ کِرايۀ مَنزِل، کُمَک ِ هَزينة مَسکَن
Wohngemeinschaft; سُکونَت ِ اِشتِراکى
wohnhaft;
- wohnhaft in ...;  ِ ساکِن
Wohnheim;
- Studentenwohnheim; خوابگاه ِ دانِشجوئى
Wohnsitz; مَحَل ِ سُکونَت، قَرارگاه، اِستِحکامات، اِقامَت گاه، بود و باش
Wohnung; (pl.)  (سُکَنىٰ، سَکَن، خانه، مَنزل، آپارتِمان، مَسکَن (مَساکِن
- Vormerkliste für Wohnungen; ليست مُتَقاضيان حائِز ِ شَرايِط ِ سُکونَت
Wohnungsamt; اِدارة مَسکَن
Wohnungsbau; خانه سازى
Wohnwagen; کاروان، واگُن ِ مَسکونى
Wohnzimmer; اُطاق ِ نِشيمَن
wölben (- s.); خَميدَن، خَم شُدَن، بَر آمَدَن، به چيزى شِکَم دادَن
Wölbung; خَميدِگى، بَرآمدِگى، گُنبَد
Wolf; گُرگ
- Wolf im Schafspelz; مار ِ خوش خَطا و خال، گُرگى دَر لِباس ِ ميش
Wolke; (pl.)  (اَبر، سَحابه (سَحاب
Wolkenbruch; رَگبار
Wolkenkratzer; ساختِمان ِ آسِمان خَراش
Wolle; پَشم
- Wolle spinnen; پَشم ريسى کَردَن
- s. in die Wolle kriegen mit ...; کَلَنجار وَر رَفتَن، با کِسى کَلَنجار رَفتَن
- aus Wolle; پَشمين، پَشمى
wollen;  .اِختيار کَردَن، طالِب شُدَن، خواستن، اِراده ک
- wen wollen Sie besuchen?; دِل ِ شُما هَواى ِ چه کِسى را کرده؟
- ... die mir Böses wollen; آنانيکه در صَدَد ِ آزارَم هَستَند
- er wollte nur nach draussen; هَواى ِ بيرون به کَله اش زَده بود
- sie wollten nach Teheran; قَرارِشان تِهران بود
- selbst wenn er jem. besuchen wollte, ..; حَتىٰ اَگَر دِلِش هَواى ِ ديدَن کِسى را مى کََرد
- sie wollten nicht; دِلِشان نَيامَد
- koste es, was es wolle; به هَر قِيمَتى که شُد
- ich will gehen; مَن مى خواهَم بِرَوَم
- jeder macht, was er will; هَر کَس آنچه دَر نَظَرَش پَسَند مى آيَد مى کُنَد
- er tut nur, was er will; او خَر ِ خودَش را سَوار است
- gibt er, wem er will; به هَر که اِراده کُنَد مى بَخشَد
- solange du willst, geben sie dir ..; تا بِخواهى چيزى بِهِِت مى دَهَند
- ohne zu wollen; بي اِختيار
- soviel Sie wollen; تا دِلِتان بِخواهَد
- solange du willst; تا بِخواهی
Wollgewebe; پَشمينه، باف ِ پَشمى
Wollhärchen; پُرز
Wollknäuel; کَلافه
Wollspinnerei; پَشم ريسى
Wollust; شَهوَت
womit;
- womit kaufen Sie das?; با چى اينرا مى خَريد؟
wonach;
- wonach riecht das?; بوى ِ چى مى دَهَد؟
Wonne; حَلاوَت، حَظ، لِذَت
woran;
- woran denkst du?; به چى فِکر مى کُنى؟
worauf;
- worauf wartest du?; مُنتَظِر ِ چى هَستى؟
woraus;
- woraus wird das gemacht?; اين از چى ساخته مى شَوَد؟
worfeln (Korn); خَرمَن را بوجارى کَردَن، - باد دادَن
worin;
- worin liegt der Unterschied?; تَفاوُتِش دَر چيست؟
Workaholic; خَر ِ مَصالِح فُروشها
Wort; کَلام
- schöne Worte machen; لَب به گُلابه گُشودَن
- ich halte mein Wort; سَر ِ قولَم هَستَم، به قول ِ خود عَمَل مى کُنَم
- ein Wort ergibt das andere; حَرف حَرف مى آوَرَد
- er sagte kein Wort mehr; او لام تا کام سُخَن نِمى گُفت
- das Wort ergreifen; رِشتة کَلام را به دَست گِرِفتَن
- das Wort haben; نوبَت ِ سُخَن داشتَن
- das letzte Wort haben; بالاى ِ حَرف ِ کِسى حَرف زَدَن
- sein Wort brechen; زير ِ قول ِ خود زَدَن
- zu seinem Wort stehen; پاي ِ حَرف ِ خود ايستادَن
- s. zu Wort melden; اِجازة سُخَن خواستَن
- er sagte kein einziges Wort; او لاکَلام حَرف نِمى زَد
- mit einem Wort; حاصِل ِ کَلام، اَلقِصه
- mit anderen Worten; به عِبارَت ِ ديگَر
- Geflügeltes Wort; اِرسال اُلمَثَل، به قول ِ شُما
- ein klares Wort schafft klare Verhältnisse; جَنگ ِ اَوَل به از صُلح ِ آخَر
- ein Wort kann mehr verletzen, als ein Schwert; زَخم ِ زَبان از زَخم ِ شَمشير بَدتَر است
- ein mildes Wort überwindet Mauern;  زَبان ِ خوش مار را از سوراخ بيرون ميآوَرَد، به نَرمی بَر آيَد ز ِ سوراخ مار كه تيزی و تُندی نَيايَد بِكار، به شيرين زَبانی و لُطف و خوشی تَوانی كه پيلی به موئی كِشی، به گُفتار ِ شيرين ِ جَهان ديده مَرد كُنَد آن چه نَتَوان به شَمشير كَرد، از دُرُشتی نَايَد اين جا هيچ كار هَم به نَرمی سَركُنَد از غار ِ مار
- gewichtiges Wort (mit Würde); کَلام ِ کِبر آميز
- in Wort & Tat; دَر قول و فِعل
wortbrüchig; بَد قول
Wörterbuch; قاموس، فَرهَنگ
Wortführer; مُبَيِن، مُتَکَلِم
Wortgefecht;
- er fing mit ihnen ein Wortgefecht an; شُروع کَرد به پَرخاش کَردَن با آنها، مُشاجِرة لَفظى با آنها بَر پا شُد
wortgewaltig; دَهَن ِ لَق
wortgewandt; زَباندار
- wortgewandter sein als ...; سَر ِ زَباندارتَر از ... بودَن
Worthülsen; حَشو ِ زائد
wortkarg; کَم حَرف
Wortlaut (des Vertrages); نَص ِ قَرار داد، مَتن ِ ـ
- folgender Wortlaut; با مَتن ِ زير
wörtlich;
- wörtliche Bedeutung des Textes; بَر طِبق ِ نَص ِ صَريح ِ مَتن، مَعنى ِ لُغَوى
- wörtliche übersetzung; تَرجُمةتَحت اُللَفظى، تَرجُمة کَلَمه به کَلَمه
wortlos; گُنگ
Wortschatz; مَجموعة واژه ها
Wortspiel;
- Wortspiel bilden (durch Gleichnamigkeit der Worte); جِناس گِرِفتَن
Wortstellung; تَرکيب ِ کَلَمات
Wortverdreherei; سَفسَطه بازى
worum;
- worum geht es?; کار از چه قَرار است؟، موضوع بَر سَر ِ چيست؟
wovor;
- wovor hast du Angst?; از چى مى تَرسى؟
wozu;
- wozu brauchen wir noch ..; ديگَر مارا حاجَت به چيزى است؟، بَراى ِ چى نياز به ... داريم؟
Wrack (Schiff); - شِکَستة کِشتى، لاشة
Wrasen; بُخارآب
wringen; چَلاندَن
Wucher; رِبا خورى، نُزول خورى، گِرانفُروشى
Wucherer; رِبا خور، نُزول خور
wuchern; رِبا خوردَن
- die Pflanzen wuchern; گياها هَمه جا رُشد مى کُنَند
Wucherung; گوشت زائِده
Wuchs; (naschw) نُمُو، رُشد، نَشو
Wucht;
- mit Wucht; با فِشار، با شِدَت
- die ganze Wucht seines Zorns; حِدَت ِ خَشم ِ او
wühlen; اَنگولَک زَدَن، لوليدَن، زير و رو کَردَن
- Wühlen (im Sand); خاک بازى
wulstig;
- wulstige Lippen; لَبهاى ِ کُلُفت، ـ بَر آمَده
wund; ريشناک، ريش ريش
- das ist wund; مَجروح شُده
- wund gerieben; خَراشيده شُده
Wundbehandlung; مُعالِجة زَخم
Wunde; جَراحَت، زَخم
- alte Wunden aufreissen; داغ ِ کِسى را تازه کَردَن
- alte Wunden reißen bei ... auf; داغ ِ کِسی تازه می شَوَد
- an eine Wunde rühren; زَخمى را ريش ريش کَردَن
Wunder; مُعجِزه، عِجاز
- die 7 Weltwunder; عَجائِب ِ سَبعِه، ـ هَفتِگانة جَهان
- Wunder schaffend; مُعجِزه نَما، اِعجاز گونه، - بَراَنگيز
wunderbar; عَجيب، مُعجِزه نِشان، ـ آسا، اِعجاز گونه، - بَر اَنگيز، بِسيار عالى
- wunderbare Werke Gottes; اَعمال ِ عَجيب ِ خُدا
Wunderkerze; شَمِع ِ جَرَقه زَن
Wunderkind; بَچة نابِغه
wundern (- s.); تَعَجُب کَردَن، حِيرَت ک.، چَهار چَشم شُدَن
Wundstarrkrampf; کُزاز
Wunsch; مايِليَت، رِغبَت، آرِزو، خواست
- einen Wunsch erfüllen; به کام رِسانيدَن، آرِزوئى از کِسى بَر آوُرده کَردَن
- Haben Sie noch einen Wunsch?; فَرمايِش ِ ديگَرى داريد؟
- auf Wunsch von ...; به دَرخواست ِ
- unerfüllbare Wünsche hegen; دَهَن ِ کِسى چائيدَن، داغ ِ چيزى به دِل ِ کِسى ماندَن، آرِزو به دِل
- seinen Wunsch zu Grabe tragen; حَسرَت ِ چيزی را به گور بُردَن
- jem. den Wunsch einer hohen Persönlichkeit vorlegen; کِسى را دَر جَريان ِ آمال ِ شَخصيَتى ِ والا نِهادَن
- ... nach deinen Wünschen verläuft; بَر وَفق ِ مُراد ِ توست
- Wunsch(traum) hegen; آرِزو پَروَراندَن
wünschen;
- jem. etwas wünschen; بَراى ِ کِسى آرِزوى ِ .. کَردَن، ـ خواهان بودَن
- Erfolg für jem. wünschen; مُوَفَقيَت بَراى ِ کِسى مَسئَلَت کَردَن
- wir wünschen uns von ...; ما از ... خواستاريم که
- wie Sie wünschen; اِختيار داريد
- dass, falls sie es wünschen, mit ..; تا دَر صورَت ِ تَمايُل با
- überall, wo Sie wünschen; دَر هَر جا که تَمايُل داريد
- ich wünsche mir ein Kind; حَسرَت داشتَن ِ فَرزَندى را دارَم
- gewünschte Richtung; مَسير ِ دلخواه
- die Arbeit geht wie gewünscht vorwärts; کار بَر وَفق ِ مُراد پيش مى رَوَد
- das Gewünschte erreichen; به کام رسيدَن
wünschend; مُرتَجى، راغِب
wünschenswert; مورِد ِ آرِزو، دِل پَسَند
- soll das wünschenswert sein?; مَگَر حَسرَت است ؟
- eine wünschenswerte Welt; دُنيای ِ دِلبِخواه
wunschgemäss; طِبق ِ دَرخواست
Würde; شايِستِگى، لياقَت، شأن، آبِرو
- mit Würde; با وَقار، با کَرامَت
- ohne Würde; بي اِحتِرامي
- menschliche Würde; سَراَفرازى ِ اِنسانى
- vergangene Würde; شأن ِ گُذَشته
- das ist unter seiner Würde; کَسر ِ شأنِش است
- seine Würde bewahren (i.S. Armut verbergen); آبِروداری کَردَن
. Die Würde von ... wieder herstellen; آبِروی ِ کِسی را خَريدَن
Würdenträger; سَرِش به تَنِش مي اَرزَد
- Würdenträger (Islam); حُجَت اُلاِسلام
würdevoll;
- würdevoll, gemessen; با آرام، مُوَقِر
- er sprach würdevoll; مُوَقِرانه سُخَنى گُفت
- die Feier war so würdevoll, dass ..; مَراسِم ِ چِنان اُبُهَت مى نِمود که
- er kam würdevoll; او مُوَقَر آمَد
- würdevoll, furchterregend; مُهيب
würdig; مُشَرَف
- für würdig erachten; مُفتَخِر کَردَن
- er ist der Ehrerbietung würdig; او سِزاوار ِ حُرمَت است
- etwas, was seiner Arbeit würdig ist; چيزى که بَرازَندۀ کار ِ او باشَد، ـ که شايِستتة کار ِ ـ، ـ که لايِق کار ِ ـ
- wenn du dich deiner Sache würdig erweist; تو اَگَر مَردى ِ عُرضه داشته باشى، اَگَر صالِحانه به حِساب بيائى
- dessen bin ich nicht würdig; اين چيز از سَر ِ مَن زياد(ي) است
würdigen; اَرزِش ِ چيزى را دانستن، قَدر ِ -، قَدردانى کَردَن
