Saal (m); سالُن
senkrecht; عَمودی
- s. senkrecht aufstellen; سیخ واایستادَن
- senkrechte Ebene; سَطح ِ عَمودى
Senkrechte; عَمود
Senkschraube; پیچ ِ خَزینه دار
Senkung;
- Senkung (finanz.); تَنَزُل
- Senkung (geolog.); فُرورَفتِگى
Sensation; جار و جَنجال، شور
sensationell; مُهَيِج ِ اِحساس، شور اَنگیز
Sense; داس
- die Sense dengeln; داس ِ دَست ِ دِرازرا تیز کَردَن
sensibel; حَساس
sensibilisieren; حَساس کَردَن
Sensibilität; حَساسيَت
Sensor; حِسگَر
sentimental; اِحساساتی، اِحساس گِرا
Sentimentalität; اِحساسگِرائى، حالَت ِ اِحساساتى
separat; مُجَزا، جُداگانه
Separatismus; تَجزیه طَلَبى
Sepsis; پِلِشتى
September; سِپتامبر
Sequenz; تَوالى، رَدیف
Serie; رَدیف، سِرى
Serienherstellung; صَنعَت ِ سِریال
serienmäßig;
- serienmäßig hergestellt; تولید ِ ماشینى
Seriennummer; شُمارهٔ سِریال
Serienschaltung; اِتِصال ِ سِرى
seriös; جِدى، مُعتَبَر
Serum; سِرُم
Service; سِرویس
servieren;  .پیشخِدمَتى کَردَن، پَذیرائى ک
Serviette; دَستمال ِ سُفره
Servobremse; تُرمُز ِ سِروو
Sesam; کُنجُد 
- gemahlene Sesamkörner; آرده
Sessel; صَندَلى ِ راحَت
Sesselpupser; چُس اِفاده
sesshaft; ماندِگار، مُقیم
- sesshaft machen; .تَوَطُن کَردَن، مُقیم ک
Sesshaftigkeit; اِسکات، سُکونَت
setzen;
- s. setzen; نِشَستَن
- s. setzen auf; بَر چیزى قَرار گِرِفتَن
- s. setzen lassen; نِشاندَن
- jem. über X setzen; (infin.) کِسى را بَر فِلان مى گُمارَند (گُماشتَن)، ـ مُسَلَط گَردانیدَن
- s. an die Stelle von ... setzen; با قَرار گِرِفتَن دَر جاى ِ فِلان
- jem. in Kenntnis setzen über die Lage; کِسى را دَر جَریان وَقايِع گُذاشتَن
- seinen Willen über den Willen Gottes setzen; خواستهٔ خودرا بَر خواست ِ خُدا مُقَدَم شُمُردَن
- auf die Zahl 10 setzen; نُمرهٔ ۱۰ را اِنتِخاب کَردَن
Seuche; وَبا، مَرَض ِ هَمه گیر
seufzen; هو کِشیدَن، آه ـ
Seufzer; مُتَحَسِر، تَحَسُر
- letzter Seufzer; آخَرین رَمَق
- Stoßseufzer; تِلِنگ دَر رَفتَن
Sexualorgane; (sing.)  (اَجهِزهٔ تَناسُلى (جَهاز
Sexualität; جِنسيَت، تَمايُلات ِ جِنسى
sexuell; جِنسی
- sexueller Impuls; سائِق ِ جِنسى
- mit jem. eine sexuelle Beziehung haben; تن به معاقشه با کِسی دادَن
- sexuell stimuliert werden; بود بود می شَوَد
Sezessionskrieg; جَنگ ِ تَجزیه طَلَبى
sezieren; نیشو زَدَن، کالبُد شِکافى کَردَن
sibyllinisch; مَرموز
sich;
- das muss aus sich selbst heraus kommen; آب بايَد از خود ِ چِشمه بِجوشَد
- zu sich kommen; به هوش آمَدَن، حال گِرِفتَن
- er lebt für sich; روى ِ پاى ِ خود بَند است
- jedes Evangelium für sich genommen; هَر اِنجیل ِ اِنفِراداًّ
Sichel; داس
sicher; مُطمَئِن، حَتمى
- sicher, ungefährlich; ایمَن، اَمن
- das ist sicher (i.S.: gewiß); حَتمی بودَن
- sicher sein; دَر اَمان بودَن
- ich war mir absolut sicher, dass ...; تَه ِ دِلَم از این قُرص تَر بود که
- seid sicher; يَقین بِدانید، مُطمَئِن باشید
- das ist bombensicher; کاملاً يَقین دارَد
- ganz sicher (i.S. zweifellos); بِطور ِ حَتم
- das ist sicher, oder?; این حَتمى است بَله؟
- sicher & geborgen; اَمن و اَمان، ایمَن و مَحفوظ
- sicherer Tod; مَرگ ِ حَتمى
- an einen sicheren Ort bringen; به مَکان ِ اَمن بُردَن
- ... zu sein war für ihn eine sichere Sache; شُدَن ِ او دیگَر حَتمى شُده بود
- ganz sicher haben sie s. auf den Weg gemacht; آنها با طُمأنینه به راه اُفتادَند، حَتماً ـ
- das sicherste Zeichen von .. ist, dass ...; بارِزتَرین مُشَخَصهٔ .. این است که
Sicherheit;
- Sicherheit, Gewissheit; اِطمینان
- Sicherheit über; - اَمان بَر، ایمَنى -، اِتِکال
- s. in Sicherheit bringen; رو به هَزیمَت نِهادَن
- in Sicherheit sein; آب توی ِ دِل ِ کِسی تَکان نَخوردَن
- Recht auf Sicherheit der Person; حَق ِ اَمنيَت ِ فَردى
- Recht auf soziale Sicherheit; حَق ِ تأمین ِ اِجتِماعى
- kollektive Sicherheit; اَمنيَت ِ جَمعى
Sicherheitserwägungen; مُلاحِظات ِ اَمنيَتى
Sicherheitsglas; شیشهٔ ایمَنى
Sicherheitskonferenz; کُنفِرانس ِ اَمنيَت
Sicherheitskräfte; قُواى ِ تأمینى
- er wurde den Sicherheitskräften übergeben; او تَسلیم ِ مَقامات ِ اَمنيَتى شُده
Sicherheitsnadel; سَنجاق ِ قُفلى
Sicherheitsventil; دَریچهٔ خود گُشا، ـ اِطمینان
sicherlich; لابُد، مُسَلَماً
sichern;
- absichern; تأمین کَردَن، مَحفوظ داشتَن
Sicherung; فیوز
- die Sicherung brannte durch; فیوز ِ بَرق پَرید
Sicherungsverwahrung; توقیف ِ اِحتیاطى، حَبس ِ ـ
Sicht; چَشم رِس، مَنظَره
- auf kurze Sicht; بَراى ِ مُدَت ِ کوتاه
- auf lange Sicht; دِراز مُدَت
- ich habe keine Sicht dafür; دِلِش را نَدارَم
sichtbar; مَرئى، ظاهِر، دیدَنى
Sichtbehinderung; مانِع ِ دید
Sichtverhältnisse; وَضع ِ هَوا، نِسبَت ِ دید
Sichtvermerk; رَوادید، ویزا
Sichtweite; دورنَما، فاصِلهٔ دید، چِشم رِس
Sickergrube; چوهَک ِ تَصفیهٔ فاضِل آب
sickern; تَراویدَن
- Durchsickern; تَراوِش، چِکیدِگى
Sickerwasser; زِهاب
sie;
- sie (sing.); او
- sie (pl.); آنها، ایشان
- Sie (in Anrede); جِناب ِ عالى، شُما
Sieb;
- Sieb, Durchschlag; آب کِش
- Sieb (für Kohle & Sand); سَرَند
- Feinsieb; تَنگ بیز
- Wurfsieb; پَرویزَن، غَربال، اَلَک
sieben; هَفت
- sieben, durchsieben;  .اَلَک کَردَن، غَربال ک
- bei der Prüfung sieben; دَست چین شُده دَر اِمتِحان، تِعداد کَم مى شَوَند دَر اِمتِحان قَبول کَرد
Siebenkampf; مُسابقهٔ هَفتگانه
Siebensachen;
- seine Siebensachen packen; بار و بُنهٔ خودرا بَستَن
Siebplatte;
- Siebplatte (im pflanzlichen Zellsystem); صَفحهٔ غَربالى دَر آوَند ِ آبکِش
Siebröhre; آوَند ِ آبکِش
Siebtrommel; غَربال ِ گَردان
siech; عَلیل
sieden; جوش زَدَن، ـ آمَدَن
- zum Sieden bringen; بِجوش آوَردَن
- zu Sieden Aufhören; از جوش اُفتادَن
Siedepunkt; نُقطهٔ جوش
Siedler; مُهاجِر، مُقیم، ساکِن
Siedlung; قَصَبه، آبادانى
- sie ist aus der Siedlung; او مال ِ آبادى است
Siedlungspolitik; سیاسَت ِ اَساکِن، سیاسَت ِ شَهرَک سازى
Sieg; (pl.) فَتح (فَتوحات)، پیروزى، ظَفَر، غَلَبه، چیرِگى
- Sieg über ..; غَلَبه بَر، ظَفَر بَر
- unser ist der Sieg; بُرد با ماست
- über Sieg und Niederlage nicht nachdenken; دَر مورِد ِ بُرد و باخت فِکر نَکردَن
- Erdrutschsieg (polit.); پیروزى ِ فَُراگیر، ـ گُستَرده
Siegel; مُهر
Siegellack; لاک ِ مُهر
Siegelring; نِگین
siegen;  .پیروز شُدَن، فَطح کَردَن، غَلَبه ک
- siegesbewusst lachte er; فاتِحانه خَندید
Sieger; مُظَفَر، غالِب، پیروز، فاتِح
Siegerpokal; جام ِ فینال
Siegesmeldung; فَتح نامه
siegreich; مُظَفَر، چیره
- siegreich sein; بَر چیزى فائِق آمَدَن
- siegreiche Partei; حِزب ِ پیروز
Siesta; خواب ِ قیلوله
Signal; عَلامَت
signalisieren;  .به کِسى خَبَر دادَن، ـ عَلامَت د
signieren; اِمضاء کَردَن
Silage; عُلوفهٔ تَخمیر یافته
Silbe; هِجا، سیلاب
- er ist einsilbig; او کَمحَرف است
- mehrsilbig; چند هِجائى
Silber; نُقره
Silberschmiedearbeit; نُقره کارى
Silo; اَنبار ِغَلات، ـ عَلَف
simplifizieren;  .خَرفَهم کَردَن، ساده ک.
Sims; رَف جِلوى ِ پَنجَره
Simulant; مُتَمارِض
Simulation; وانِمود، تَمارُض
- Simulation (mathem.); شَبیه سازى
simulieren; تَمارُض کَردَن، وانِمود کَردَن
Simultanübersetzung; تَرجُمهٔ هَمزَمان
Sinai; سینا
Singalese; سینهالى
singen; تَرَنُم نِمودَن، سُرود خواندَن
- singen (auch vor Gericht); جیک زَدَن
- schräg singen; خارِج خواندَن
- sang - und klanglos; بى ساز و آواز
Singular; فَرد
sinken;
- das Barometer sinkt; هَواسَنج دارَد نُزول مى کُنَد
- sein Mut sinkt; جُرأتَش رو به کاستى مى افتَد
- das Schiff sinkt; کِشتى سوراخ دار شُد، ، ـ زیر آب مى آيَد
- die Sonne sinkt; آفتاب غُروب مى کُنَد
Sinn; مَضمون، مَفهوم، مُفاد، مَقصود، مَعنى
- jem. in den Sinn kommen; به مَغز ِ کِسى خُطور کَردَن، به خاطِر ِ ـ
- ... das keinem in den Sinn kommt; به فِکر ِ کُسی خُطور نِمی کُنَد
- was ist dir nur in den Sinn gekommen, dass ...; چه مَرگِت است که
- eigentlicher Sinn (des Textes); نَص ِ صَحیح
- etwas mit tieferem Sinn; حَرف ِ او خِیلى آب وَر مى دارَد
- dem Sinn des Themas; فَحواى ِ مَطلَب
- dem Sinn nach; طِبق ِ مَضمون، به فَحوا
- in diesem Sinne; دَر این مورِد
- 5 Sinne (fühlen, schmecken, riechen, hören, sehen); پَنج حَواس، حَواس ِ خَمسه، حَواس ِ پَنجگانه (حِس ِ لامِسه، ـ ذايِقه، ـ شامه، ـ شِنَوائى، ـ بَصَرى
- in dem Punkt macht das Sinn; دَر مورِد ِ .. مِصداق دارَد، ـ مَعنى مى دَهَد
- lange Rede, kurzer Sinn; خُلاصهٔ کَلام
- ohne Sinn & Verstand; بِدون ِ عَقل و شُعور
- wenn keiner reagiert, welchen Sinn hat dann das Ganze? (Hafez); کِشِش جو نَبُوَد از آن سو چه سود کوشیدَن
- wenn er nicht auf etwas grosses Appettit hat, dann steht ihm der Sinn auf etwas kleines; اَگَر چیزى بُزُرگى نَبود که حَسرَتِش را بِخورَد، حَسرَت ِ چیزهاى ِ کوچِک را مى خورَد
- von Sinnen sein; بیخود بودَن، عَقل ِ خودرا از دَست دادَن
Sinnesorgan; دَستگاه ِ حِسى، اَندام ِ ـ
sinngemäss; طِبق ِ مَضمون، به فَحوا ِ
sinnlich; هَوَس باز، ـ ران، ـ نَفسانى
sinnlos; اَلَکى
- es war sinnlos, weiterzumachen; اِدامهٔ این وَضع دیگََر فایده نَداشت
- sinnloses Leben; زِندِگى ِعَبَث، ـ بیخود
- etwas sinnloses machen; آب به ریسمان بَستَن، کار ِ عَِبَث و بیهوده کَردَن، آب به (با) غَربال پِیمودَن، آب به هاوِن کوفتَن
- und ähnlich sinnloses; و اینجور جَفَنگ بازی
Sinnlosigkeit; پوچى، بی خودی
Sinnspruch; (pl.)  (کَلَمهٔ قَصار، بِیت ِ حِکمَت (اَبیات ِـ
sinnverwandt; قَریب اُلمَعنى، مُتَرادِف
Sintereisen; فِلِز حاصِل از عَمَلیات ِ حَرارَتى گرد فِلِزکارى
Sintflut; طوفان ِ نوح
- nach uns die Sintflut; پَس از ما گو جَهان را آب گیرد
Sinus; سینوس
Siphon; شُتُر گَلو
Sippe; دودمان، سِبط، فَک و فامیل
Sippenhaft; گُناه ِ دیگَرى سوختَن
Sippschaft; دار و دَسته
Sirene; آژیر
- Sirene einschalten; آژیر کِشیدَن
Sirup; سیرآب، شَربَت
- Sirup (mit Essig & Honig); شَربَت ِ سِکَنجَبین
Sit-in; اِعتِصاب ِ نِشَسته
Sitte; رَسم، عادَت، عُرف، مَشرَب
- angenehme Sitten; عادات و رُسوم ِ ظَریف
- Sitten & Gebräuche; آداب و رُسوم، سُنتها
Sittenkodex; مَجمَع اُلقَوانین ِ اَخلاقى
sittenlos; بى اَخلاق، فاجِر، فاسِد، فاسِق
Sittenlosigkeit; فِساد ِ اَخلاقى، فِسق، فَجور، بى اَخلاقى
Sittenreinheit; عِفاف، عِفَت، پاکدامَنى
Sittenverfall; اِنحِطاط ِ اَخلاقى
sittlich; اَخلاقی
- sein Leben wurde Ursache für sittliche Erziehung; زِندِگى ِ او مایهٔ تَهذیب ِ اَخلاق شُده است
Sittlichkeit; عِفَت، اَخلاق
sittsam; با شَرم و حیا
Situation; وَضعیت، وَضع، هَستار، موقِعيَت
- Sie müssen meine (finanzielle) Situation bedenken; شُما بايَد حِسابَم را بِکُنید
Sitz; نِشیمَنگاه
- Regierungssitz; مَقَر ِ دولَت
sitzen; نِشَستَن
- locker sitzen; لَم دادَن، لَمیدَن
- im Boot sitzen; دَر قايِق سَوار بودَن
- die Hose sitzt mir gut; شَلوار دُرُست اَندازهٔ مَن است
- auf etwas sitzen bleiben; چیزی باد کَرده
- jemandem zu Füßen sitzen (um zuzuhören); پای ِ حَبف ِ کِسی نِشَستَن
- im Sitzen singen; نِشَسته سُرود خواندَن
sitzenlassen (jem. -); سَر کاری گُذاشتَن، کِسى را بیچاره کَردَن
Sitzneuverteilung; تَقسیم بَندى ِ کُرسیها
Sitzordnung; تَرتیب ِ نِشَستَن
Sitzstreik; اِعتِصاب ِ نِشَسته
- einen Sitzstreik durchführen; بَس نِشَستَن
Sitzung; نِشَست، جَلَسه
- ordentliche Sitzung; کُنفِرانس ِ عادى
- Plenarsitzung; جَلَسهٔ عُمومى
- Pressesitzung; نِشَست ِ مَطبوعاتى
Sitzungsperiode; دورهٔ اِجلاس ِ پارلِمان
Sitzversteller (beim Stuhl); تَنظیم کُنَندهٔ نِشیمَنگاه
Skala; باسکولا، مُدَرِج، دَرَجه بَندى
- Farbskala; جَدوَل ِ رَنگها
Skalascheibe; صَفحهٔ دَرَجه بَندى
skalieren; دَرَجه بَندى کَردَن
Skalpell; نیشو، کارد ِ جَراحى، تیغ ِ جَراحى
Skandal; اِفتِضاح، جَنجال
- das ist ein Skandal; اِفتِضاح است
Skelett; اِسکِلِت
Skepsis; شَک، تَردید
Skeptiker; وَهام، شَکاک
skeptisch; شَکاک، دیرباوَر، مُتَرَدِد
Skeptizismus; شَکاکى
Skinhead; کَله تَراشیده
Skizze; طَرح، نَقشه، نِمودار، اَنگاره
skizzieren; تَرسیم کَردَن
- Plan skizzieren;  .نَقشه را کِشیدَن، ـ طَرح ریزى کَردَن، طَرح را رَسم ک
- die eigene Ansicht skizzieren; دیدگاه ِ خودرا تَرسیم کَردَن
Sklave; (pl.)  (زَرخَرید، بَرده (بُردِگان)، غُلام (غُلامان، غِلمان
- Sklaven erwerben; بَردِگان خَریدارى کَردَن
Sklavenhalter; بَرده دار
Sklavenhändler; بَرده فُروش
Sklaverei; بَرده دارى، بَردِگى
Sklera; صُلبیه
Skonto; تَخفیف دَر پَرداخت ِ نَقدى
Skorbut; اَسقَربوط
Skorpion; عَقرَب، کَج دُم
Skrupel; وَسواس
Skulptur; پِیکَر، مُجَسَمه
Slang; زَبان ِ لاطى، ـ عامیانه
Slogan; شُعار
Slum; حَلَبی آباد
Smaragd; ذِبَرجَد، زَمَرُد
Smoking; اِسموکینگ
Snob; خود گُنده بین
so;
- so, als Ergebnis; دَر نَتیجه
- so sehr; بِقَدرى
- so, wie; چِنانچه، چِنانکه، کَما اینکه، هَمانگونه
- so ist es auch; به هَمین قیاس
- so ist es nun mal; هَمین است دیگه
- so dass keiner den Mut hätte, zu ...; آنچِنانکه از تَرس ِ چیزى جُرأت نَکُنَد از
- so, so; که اینطور
- ach so; پَس اینطور
- das beunruhigte ihn so sehr, ...; چِنان اورا مُضطَرِب کرد
- so wie er es tat, so mach es auch; چِنانکه او کَرد تو نیز چِنین کُن
- wie du mir, so ich dir; چیزى که عَوَض داره گِله نَداره
- bei ihm ist es so, ..; وَضع ِ او بِدین مِنوال است
- das waren so seine Erfahrungen; از جُملهٔ تَجرُبیات ِ او بود
- so finden wir sie damit beschäftigt, ...; از سَر ِ این کار است که آنها سَر گَرم ِ
- obgleich, .., so; هَرچَند .. وَلى
- sie reden mal so, mal so; حَرفِشان جوراجور است
- so verzweifelt sehen sie nun auch wieder nicht aus; چِهره هايِشان چَندان هَم از سَرپَریشانى نیست
sobald; به مُجَرَد ِ..، به مُجَرَد ِ اینکه
- sobald er sich auswies, ...; به مَحض ِ اِرائه
- sobald, als; به مَحض  ِاینکه
- sobald sie die Tür passiert haben; آنان به مَحض ِ گُذَشتَن از دَر
- sobald der Film entwickelt ist; به مَحض ِ ظاهِر شُدَن ِ فیلم
Socke; جوراب
- ich bin von den Socken; يَکه خوردَم
Sockel; اَریکه، جَدوَل
- Sockel (bei Denkmal); پایه
Soda; بى کَربُنات ِ سُدیم، نَمَک ِ قُلیا
Sodbrennen; سوزِش ِ قَلب، ـ مِعده
Sofa; مُبل ِ راحَتى، کاناپه
Sofakissen; مُتَکا، بالِش ِ کاناپه
sofort; فى الفور، هَمین دَم، ضَرب اُلعَجَل، يِکراست، عاجِل، بِدون ِ تأخیر
- sofortiges Eingreifen; دِخالَت ِ فى الفور
Software; اَبزار ِ نَرم، نَرم اَبزار
Sog; مَکش، جَذب
sogar; حَتىٰ
Sohle;
- Schuhsohle; تَختهٔ کَفش
- du musst auf leisen Sohlen gehen; آسه بیا آسه بُرو که گُربه شاخَت نَزَنه
Sohn; (pl.) اِبن (اَبناء)، پِسَر
Sojabohne; لوبیاى ِ چیتى، ـ سویا
solange;
- solange wie; مادامیکه، تا زَمانیکه
- solange ich leben werde, ..; تا عُمر دارَم از آن ِ
- solange Leben in mir ist, ...; ... مادامیکه جانَم دَر مَن است، تا ما باشیم
- solange die Welt besteht; تا دِنیا دِنیاست
solar; خورشیدى
Solartechnik; تِکنیک بَر اَساس ِ اِنِرژى ِ خورشیدى
solch;
- ein Mensch mit solch ...; آدَمى با چِنان ...، ـ با چِنین
- ein solches Leben ertragen; زِندِگى ِ اینچِنین را تاب آوَردَن
- sie begegnetem einem solchen Widerstand, dass ...; با چِنان مُقاوِمَت مُواجه شُدَند که
Soldat; سَرباز، اَسکَر
Söldner; اَجیر، سَرباز ِ مُزدور
- Söldner dingen; کِسى را اَجیر کَردَن
Söldnerheer; اَرتِش ِ مُزدوران
solidarisch; هَمبَسته
- s. solidarisch erklären mit; به کِسى اِعلام ِ هَمبَستِگى کَردَن
Solidarität; هَمبَستِگى
solide; مُحکَم، با دَوام
Solist; تَک خوان، ـ نَواز
Soll;
- das Soll erfüllen; بِحَد ِ نِصاب رِسانیدَن
sollen; بايِستَن
- sollte Gott nicht Segnungen für uns bereit halten?; خُدا چه بَرَکَتهاى ِ عالى مى بايِست بَراى ِ ما حاضِر کَرده باشَد؟
- was solls?;ؤ مُهِم نیست چه توفیر مى کُنَد؟، توفیر نَدارَد!، چیزی می خواهَد چه کُنَد؟
- was soll das (z.B. eine Reise)?; آبَش نَبود نانَش نَبود، ... اش چه بود؟؛ بِطور ِ مِثال: آبَت نَبود نانَت نَبودتوط ِ این بَرف سَفَر کَردَنَت چه بود؟
Soll-Leistung; قُدرَت ِ خُروجى
Sollvorschrift; دَستور ِ اِجبارى
Soll-Zeit; زَمان ِ اِختِصاص یافته
Solo; تَک نَوازى
Solquelle; چِشمه آب ِ مَعدَنى
Sommer; تابِستان
- Sommer -; ـ تابِستانى
Sommersitz; اِقامَتگاه ِ تابِستانى، يِیلاق
Sommersprossen; جوش ِ غُرور، کَکمَک
Sonde; میل
Sonderbeauftragter; نِمايَندهٔ مَخصوصى
Sonderfall; مورِد ِ خاص، ـ اِختِصاصى
sondern; بَل، بَلکه، لیکِن
sonderlich;
- ich war nicht sonderlich unzufrieden; چَندان ناراضى نَبودَم
Sondernutzung; اِجازهٔ اِنتِفاع ِ اِختِصاصى
Sonderparteitag; کُنگرهٔ فوق اُلعادهٔ حِزب
Sondersitzung; جَلَسهٔ ویژه
Sonderstatus; وَضِع خاص
Sonderstellung; موقِعيَت ِ مُمتاز
Sonderzug; قَطار ِ ویژه
sondieren; اِستِمزاج کَردَن
Sondierung; اِستِمزاج، اِکتِشاف
Sonnabend; شَنبه
Sonne; آفتاب، خُورشید
- die Sonne scheint; هَوا آفتابى است، آفتاب است، آفتاب مى تابَد
- beim ersten Strahl der Sonne; هَمینکه آفتاب تیغ زَد
- der Sonne zugewandt (z.B. ein Zimmer); اُتاق آفتاب رو است، - آفتاب گیر
sonnen (s. -); آفتاب خوردَن
Sonnenaufgang; اَذان ِ صُبح، طُلوع ِ خُرشید
- bei Sonnenaufgang; با سَر زَدَن ِ خُرشید
sonnenbestrahlt; آفتابرو
Sonnenblume; گُل ِ آفتاب گَردان
Sonnenbrand; آفتاب سوختِگی
Sonnenbrille; عِینَک ِ آفتابى، - دودی
Sonnenfinsternis; (total, teilweise)  کُسوف (کُلى، جُزئى)، خورشید گِرِفتِگى
sonnengebräunt; آفتاب خورده
sonnengebleicht; آفتاب خورده
- sonnengebleichte Knochen; اُستُخوانهای ِ آفتاب خورده
Sonnenscheibe; قُرص ِ خورشید
Sonnenschutz; سایه بان
Sonnenstich; آفتاب زَدِگى
Sonnenstrahl; پَرتو ِ آفتاب
Sonnensystem; مَنظومهٔ شَمسى
Sonnenuhr; ساعَت ِ آفتابى
Sonntag; يِکشَنبه
sonst;
- .. und sonst nichts; و نَه بَر چیزى سَواى ِ آن یا وَراى ِ آن، دیگه هیچى
- sonst ist er ...; او دَر موقع ِ عادى
- im Gegensatz zu sonst; بَر خَلاف ِ هَمیشه
- sonst käme ihnen der Gedanke nicht;  اَگَر نَه فِکر ِ ... به سَرِشان نِمى زَد
Sophisterei; سَفسَطه بازى
Sopran; زیر خوان، صِداى ِ زیر
Sorge;
- er war in Sorge um ...; او جِگَر سوز ِ ... بود
- ich war in Sorge um dich; دِلَم بَرايَت تَنگ شُده، نِگَرانيَت بودَم، دِلواپَس ِ تو بودَم
- es besteht kein Grund zur Sorge; این که دیگه غُصه نَداره
- lass das meine Sorge sein; آن پاى ِ مَن است
- borgen bringt Sorgen; قَرض مِقراض ِ مُحَبَت است
- nun mache ich mir keine Sorgen ums Sterben, weil ...; حال مَرا غَم ِ مُردن نیست زیرا
- Sorge tragen für jem.; به کِسى نیک مُتَوَجه شُدَن، به کِسى رِسیدِگى کَردَن
sorgen;
- dafür sorgen, dass .. (*: s. kümmern); حَواس به کِسی بودَن
- für ausreichend Platz sorgen; جاى ِ کافى تَعبیه کَردَن
- sorge für ihn!; بِهِش بِرِس!
sorgenlos; بى نِگَران
sorgenvoll; حالَت ِ گِرِفته
Sorgfalt; تَوَجُه، دِقَت، اِهتِمام، مُواظِبَت
- äusserste Sorgfalt; مُنتَهاى ِ دِقَت
- erforderliche Sorgfalt; دِقَت ِ لازِم
sorgfältig; دَقیق، با دِقَت
- mit sorgfältiger Schrift; با خَط ِ خوش و خوانا
sorglos; لااُبالى، بى مُبالاتى، فارِغ اُلبال
- er schläft sorglos; با خیال ِ راحَت مى خوابَد
Sorte;
- er war von der Sorte Mensch; او از آن قَماش ِ اِنسانها بود، ـ از سِنخ ِ ـ، از قَبیل ِ ـ
- er war einer von der schlimmsten Sorte; او از آن قُرُمساقها بود
- einige Sorten Wurst; چَندین رَقَم ِ کالباس
Sortierung (von Ware); رَقم بَندى
Sortiment; مَجموِعهٔ جور
Sosse; سُس، آب ِ خورِشت
Soterioligie; رَستِگارى شِناسى
Souffleur; اِلقاء کُنَنده، سوفلور
Souvenir; راهواره، رَه آوَرد، سوغات
souverän; مُطلَق،  خود مُختار، بَرتَر
- Souverän, Herrscher; مَتبوع
Souveränität; مَتبوعيَت، بَرتَرى
- Souveränität des Parlamentes; حُکميَت ِ مَجلِس
- Volkssouveränität; حاکِميَت ِ مِلى
soviel;
- soviel Ausgaben hat er nicht; هَزینهٔ چَندانى نَدارَد
- sammle, soviel du kannst; تا مى تَوانى جَمع کُن
- soviel du willst, geben sie dir; تا بِخواهى  بِهِت مى دَهَند
sowas;
- sowas gibt es nirgends; لِنگه نَدارد
soweit;
- es ist sogar soweit gekommen, dass; کار به هَمین چیز کِشیده بود که
- warum hast du es soweit kommen lassen?; چِرا گُذاشتى کار به اینجا بِکِشَد؟
- bis es soweit kam, dass sie verstand, dass ich sie anschaute ..; تا مى آمَد بِفَهمَد مَن دارَم نِگاهِش کُنَم
sowie; هَمچِنین
sowieso; دَر هَر حال، خواه ناخواه، دَر هَر صورَت
sowohl;
- sowohl als auch; اَعَم از
- sowohl Arbeiter als auch Kinder; کارگَران اَعَم از بَچه ها، هَم کارگَران و هَم بَچه ها
sozial; اِجتِماعی
- soziale Grundrechte; حُقوق ِ بُنیادى ِ اِجتِماعى
- Recht auf soziale Sicherheit; حَق ِ تأمین ِ اِجتِماعى، ـ خِیریه، ـ خِیريَت
Sozialarbeiter; مَدَدکار
Sozialfonds; صَندوق ِ اُمور ِ اِجتِماعى
Sozialfürsorge; مُراقِبَت ِ اِجتِماعى، اِدارهٔ رِفاه ِ اِجتِماعى
sozialisieren; اِجتِماعى کَردَن
Sozialisierung; اِجتِماعى سازى، جامِعه پَذیرائى
Sozialismus; سوسیالیسم
- real existierender Sozialismus; سوسیالیسم ِ واقِعاً موجود
Sozialprodukt; تولید ِ مِلى
- Nettosozialprodukt; تولید ِ خالِص ِ مِلى
Soziologie; جامِعه شِناسى
Soziussattel; جاى ِ اِضافى ِ موتورسیکلِت
sozusagen; به اِصطِلاح
Spachtel; کاردَک
Spachtelmasse; مَصطَکى، بِطانه
Spaghetti; اِسپاگِتى
Späher; طَلایه دار
Spähtrupp; طَلایه
Spalier; داربَست
Spalt; شِکاف، دَرز
spaltbar;
- spaltbares Material; مادهٔ تَجزیه پَذیر
spalten; مُتَفَرِق کَردَن، شِکاف دادَن
- s. spalten; مُنشَعِب شُدَن
- in der Mitte spalten; دو قاچ کَردَن
Spaltöffnung; روزَنه دَر گیاهان
Spaltprozess; پروسهٔ شِکافَت
Spaltung; تَفرِقه، تَجزیه، جُدائى، شِکافت، نِفاق، شَقاق
- Parteispaltung; اِنشِعاب ِ حِزبى، اِنشِقاق ِ ـ
Späne; خَش و خاش، کِرِشته
- Eisenfeilspäne; بُرادهٔ آهَن، تَراشهٔ ـ
Spange; سَگَگ
Spanien; اِسپانیا
spanisch; اِسپانى، اِسپانیائى
Spann (beim Fuss); قوزَک ِ پا
Spannbacke; فَک ِ مَهار کُنَنده
Spannbeton; بِتُن ِ فِشُرده شُده
Spanne;
- Spanne, Handbreite; وَجَب
spannen; کِشیدَن
- Bogen spannen; کَمَررا زه زَدَن
spannend; هَيَجان آمیز، پُر هَيَجان، مُهَيِج
Spannseil; شِکیل، شِنیل
Spannung; تَنِش، تَشَنُج، هَيَجان
- Spannung (phys.); پِنانسیل
- Spannung (Strom); وُلتاژ
- Dauerspannung; کِشِش ِ مُمتَد
- Hochspannung; جَریان ِ بَرق ِ قَوى
Spannungsabfall; اُفت ِ وُلتاژ
Spannungsgebiet; مَنطَقهٔ تَشَنُج
Spannungsherd; مَنشاء ِ تَشَنُج
Spannungsprüfer; فاز مِتِر
Spannungsregler; ناظِم ِ وُلتاژ
Spannungswandler; ترانسفورماتور ِ وُلتاژ
Spannvorrichtung; تَجهیزات ِ نِگَهدارى
Spannweite;
- Spannweite (einer Brücke); چِشمهٔ پُل
