Haar; مو
- sie überwanden das Hindernis; آنها از پُل ِ خَر بِگیری گُذَشتَند
Hindernislauf; دُو با مَوانِع
hindeuten; اِشاره کَردَن
- auf etwas hindeuten; دِلالَت بَر چیزى کَردَن، به چیزى نِشان دادَن
- Zeichen, die auf etwas hindeuten; عَلائم حاکى بَر این است
hindurch;
- den ganzen Tag hindurch; تَمام روز
- durch schwierige Erfahrungen hindurch, bereiten sie s. vor; با گُذَشتَن از تَجرُبیات ِ سَخت، خود را آماده کُنَند
hindurchdringen; از چیزى گُذَشتَن
hindurchführen;
- Menschen durch das Tal hindurchführen; مَردُم را از دَره عُبور دادَن
hinein; داخِل
- hinein ins Vergnügen; دِلَم را صابون زَدَم، شِکَمَم را ـ
hineinbegeben;
- s. ganz in .. hineinbegeben; بِعُنوان ِ یِک .. از تَمام ِ وُجود مایه مى گُذارَد
- sie geben s. in eine Situation hinein; تَن به قَضا مى دَهَند
hineinbohren (s. -); خَلیدَن
hineinleben;
- in den Tag hineinleben; لِک و لِک کَردَن
hineinpferchen; چَپیدَن، به زور جا گِرِفتَن
hineinstecken; توى ِ .. گُذاشتَن
hineinziehen;
- jem. in die Sache mit hineinziehen; پاى ِ کِسى دَر این پَروَنده بِمیان کِشیدَن
hinfallen; دِراز به دِراز اُفتادَن، زَمین خوردَن
hinfällig;
- hinfällig, ungültig; باطِل
- hinfällig, schwach; دَرمانده
- hinfällig werden; از حال و کار رَفتَن
- das Problem wurde hinfällig; مَسأله مُنتَفى شُد
Hinfälligkeit; دَرماندِگى
hinführen;
- hinführen zu (*: führen); مُنجَر به .. بودَن، کِسى را به .. سوق دادَن، ـ راه بُردَن
- mit dem Hinführen zu einem Ziel; با سوق به سوى ِ هَدَف
Hingabe;
- mit ganzer Hingabe; با کَمال ِ اِخلاص
hingeben;
- Leben an Jesus hingeben; زِندِگى ِ خودرا وَقف ِ عیسى نِمودَن، ـ به مسیح تَسلیم کَردَن
- ein hingegebener Mensch; آدَم ِ جان بَر کَف
hinhocken; تَمَرگیدَن
- hock dich endlich hin!; بِگیر سَر ِ جات بِتَمَرگ
hinken; (präs.)  شَلیدَن (مى شَلَد)، لَنگیدَن
- die Sache hinkt; یِک چیزَش لَنگ است
- hinkend und hüpfend kamen sie an; اُفتان و خیزان به .. رِسیدَند، ـ لَنگان ـ
Hinkender; شَخص ِ لَنگ
hinkommen;
- wir kommen damit hin; بَرای ِ ما کِفایَت می کُنَد
- wie kommen wir dahin?; چِطور به آنجا می رِسیم
hinkriegen;
- das kriegen wir hin; از این عُهده بَر میاییم، از این کار دَر میاییم
hinlegen; دِراز کِشیدَن
- ein Meisterwerk lege ich ganz schnell hin; مَن به سُرعَت بَرق کار میکُنَم
hinnehmen; تَحَمُل کَردَن
hinreissen;
- hingerissen werden; مَجذوب شُدَن، به هَوَس اُفتادَن
- hin- und hergerissen sein; دو دِل شُدَن
hinrichten; کِسى را به باد ِ اِعدام گِرِفتَن، ـ اعِدام کَردَن
Hinrichtung; اِعدام، قَتل
Hinsicht; مَنظَر
- in finanzieller Hinsicht (*: Aspekt); دَر اُمور ِ مالى
hinsichtlich;
- hinsichtlich der ...; دَر مورِد ِ، از لَحاظ ِ
hinspringen;
- so hin- und herspringen, dass ..; جورى به پَر و پاى ِ این و آن مى پیچَد که
- hin- und herspringen; وِرجه وِرجه کَردَن
hinstellen;
- jem. als Lügner hinstellen; کِسى را دُروغگو مُعَرِفى کَردَن
- jem. negativ hinstellen; پاپوش دوختَن بَرای ِ کِسی
hintangestellt (beim Satzbau); مؤَخَر
hinten;
- von hinten; از قَفا، از پُشت ِ سَر، از عَقَب
hinter;
- schwere Zeiten liegen hinter uns; روزهاى ِ سَخت بِسَرِمان آمَد
- hinter jem. stehen; از کِسى پُشتِبانى کَردَن
- einer hinter dem anderen; پُشت ِ سَر ِ هَم
- hinter jedem Gesicht; دَر فَراسوى ِ هَر چِهره
- etwas hinter s. lassen; چیزى را پُشت ِ سَر گُزاشتَن، از چیزى سِبقَت گِرِفتَن
- hinter s. lassend; مَتروک، تَرک کَرده
- was wir hinter uns haben; آنچه که پُشت ِ سَر داریم
- er ist hinter ihnen; او دَر پُشت ِ سَر ِ آنها است
- was musste er nicht alles hinter s. lassen; او که بایَد از چه چیزها گُذَشت
- hintere Gliedmassen; اَطراف ِ خَلَفى
- hinterer Teil der Wohnung; مؤَخَر ِ مَسکَن
Hinterachse; اَکسِل ِ عَقَب
Hinterbacken; کَپَل
Hinterbliebene; زاد و رَوَد، باز ماندِگان
Hintereinanderschaltung; اِتِصال ِ پُشت ِ سَر ِ هَم، اِتِصال ِ سِرى
hinterfragen; دَر مَعرَض ِ سؤال قَرار دادَن، مورِد ِ سؤال قَرار د.، زیر ِ سئوال بُردن
Hintergrund; زَمینه
- auf dem Hintergrund der Kultur;دَر زَمینهٔ فَرهَنگ
Hinterhalt; مَخفی گاه، کَمین گاه
Hinterhältigkeit; تَرفَند، نیرَنگ
hinterhältig; رَذیل، مَکر آمیز، دورو، آب زیر ِ کاه
hinterher;
- ich hinke hinterher (mit meiner Arbeit); مَن ماندَم
hinterherrennen; دُنبال ِ کِسى بِراه اُفتادن، پُشت ِ کِسى دُو دُو زَدَن به
- seit Tagen renne ich vergeblich hinter ... her; چَند روز است جِِز ... را می زَنَم
hinterhersein; دُنبال ِ سَر ِ کِسى کَردَن ،  پى ِ جوى ِ کِسى بودَن
- er war immer einer Sache hinterher; او هَمیشه پُشت ِ این کاررا گِرِفته است
- diese Sache erfordert ständiges Hinterhersein; این بَرنامه پِیگیرى ِ مُصِرانه را میخواهَد
Hinterlader; تُفَنگ ِ تَه ِ پُر
hinterlassen;
- Erbe hinterlassen; به اِرث گُذاشتَن
- Nachwuchs hinterlassen; نَسل را باقى گُذاشتَن
- ohne eine Spur zu hinterlassen; بى هیچ پِژواک ِ نِشانى از گُذَر
- er hinterliess eine Bremsspur; تُرمُز پُشت سَر ِ خودش جا گُذاشت
- keine andere Möglichkeit hinterlassen; مَجال ِ دیگَرى باقى نِمى گُذارَند
- der Krieg hinterliess ... Tote; حَمله ... کُشته به جا گُذاشت
Hinterlassenschaft; مُخَلَفات، مُرده ریگ
hinterlegen; چیزى را به اَمانَت گُذاشتَن، ـ وَدیعه گ
Hinterlist; تَرفَند، نیرَنگ
hinterlistig; مَکرآمیز، بَدجِنس
Hintern; ماتَحت، سُرین، کون، لُنبه، مَقعَد
- jem. in den Hintern treten; لَگَد به ماتَحت ِ کِسى زَدَن، اُردَنگ کَردَن به کِسی
- er rutschte auf dem Hintern vorwärts; خودِش کون خیزه کَنان راه اُفتاد
Hinterradantrieb; مُحَرِکهٔ اَکسِل ِ عَقَب
hinterrücks; از پُشت ِ سَر، از قَفا
Hinterteil;
- er trat dem Tier ins Hinterteil; او به آبگاه ِ حِیوان زَد
Hinterwäldler; از پِشت ِ کوه آمَده
Hinterziehung; اِختِلاس
Hinterzimmer; پَستو
Hinweis; اِطِلاع، اِشاره، مُراجِعه
hinweisen;
- auf etwas hinweisen; بَر چیزى دِلالَت کَردَن، به چیزى مُراجِعه ک.، ـ رُجوع ک.، ـ اِشاره ک
- darauf hinweisen, dass ..; خاطِرنِشان کَردَن که
- das weist darauf hin, dass ..; این دال بَر آن است که
hinwenden;
- s. hinwenden zu ..; رو بُردن به، مُتَمَسِک شُدَن به، رُجوع کَردَن به
Hinwendung;
- Hinwendung zu ...; تَمَسُک به
hinziehen;
- s. hinziehen (*: s. verzögern); بِطول اَنجامیدَن
- es tut mir leid, dass sich ... so hinzieht; مُتأسِفَم که ... به دِرازى مى کِشَد
- der Kampf zieht s. hin; جَنگ بِطول مى اَنجامَد
- die Straße zieht sich hin; جاده کِش می آیَد
- s. hinziehende Zeiten; مُدَتهاى ِ مَدید
- die Sekunden ziehen s. hin; ثانیه ها کِش می آیَند
- die seit langem gehegte Erwartung zog s. hin; اِنتظار ِ دِراز، داشت دِراز مى شُد
- zu etwas hingezogen werden; به چیزى مُنجَذِب شُدَن
- ich fühle mich zu ... hingezogen; دِلَم پیش ِ... گیره
hinzufügen; ضَمیمه کَردَن، اِنضِمام ک.، اِضافه ک.، مَزید ک.، مُضاف شُدَن، اَفزودَن
- das Gesetz ... wird dem ... hinzugefügt; قانون ِ ... مُنضَم به 
- wird das Problem durch Hinzufügen von Rätseln gelöst?; وَلى از اَنگ ِ » مُعَما« زَدَن به مَسائِل چه حاصِل؟
hinzugefügt; مُستَزاد
Hippodrom; اَسب رَس
Hippokrates; بُقراط
Hirn; مُخ، مَغز
Hirngespinst; خیال ِ باطِل، نَمود ِ بى بود، رویاى ِ کاذِب
Hirnhaut; اَغشی دَماغ، پاشام ِ مَغز
hirnverbrannt; خُنون آمیز
Hirsch (gawazn); گَوَزن
Hirse; اَرزَن
Hirte; شَبان، چوپان، گَله بان
Hirtenflöte; نِى ِ لَبَک
Hirtenhund; سَگ ِ گَله
hissen;
- die Fahne hissen; پَرچَم را بَر اَفراشتَن
Histologie; بافت شِناسى
Historie; تاریخ
Historiker; مُوَرِخ
historisch; تاریخی
- ein historisches Alter haben; قِدمَت ِ تاریخى داشتَن
Hitze; گَرما، حَرارَت
- in der Hitze des Kampfes; دَر بُحبوحهٔ مُبارِزه
- Affenhitze; خَر تَب می کُنَد
hitzebeständig; مُقاوَمَت دَر مُقابِل ِ حَرارَت
Hitzebeständigkeit; مُقاوَمَت ِ حَرارَتى
hitzköpfig; تُند طَبع، آتَشى مِزاج
Hitzköpfigkeit; تُند طَبعى
Hobby; سَرگَرمى
Hobel; رَنده
hobeln; رَنده کَردَن، ـ شُدَن
hoch; بُلَند
- 10 hoch 10; ۱۰ِ بنَماى ِ ۱۰، ـ به تَوان 
- das ist mir zu hoch; از این چیزها سَر دَر نِمى آوَرَم
- ist das nicht zu hoch für dich?; مَگَر از دَهَنَت زیاد نیست؟
- das Haus ist hoch; خانه بُلَند است
- das ist 10 Meter hoch; اِرتِفاع اَش ۱۰ مِتر است
- hohe Beteiligung; شِرکَت ِ گُستَرده دَر
- hoher Diplomat; دیپلمات ِ عالى رُتبه
- jem. den Wunsch einer hohen Persönlichkeit vorlegen; کِسى را دَر جَریان ِ آمال شَخصیَتى والا نِهادَن
- höher als ...; مُتَجاوِز از، بالاتَر از
- höher gestellte Person; مَردُم بالا دَست ِ اِجتِماع، ـ مافوق
- Umgang haben mit höher gestellten; آیَند و رَوَندهایی داشتَن
- höherer Dienst; خِدمَت ِ اِدارى ِ عالى
- von einem niederen Zustand zu höherem; از صورَتى ِ اَدنى به صورَتى ِ اَعلى
Hoch (meteor.); فِشار ِ جَوى ِ زیاد
Hochachtungsvoll; با تَقدیم ِ اِحتِرام
Hochbetrieb; شُلوغ
hochbocken; جَک زَدَن
hochbringen;
- jem. vom Platz hochbringen; کِسى را از جایَش جُنباندَن
Hochdruck;
- Bluthochdruck; فِشار ِ خون ِ زیاد، ـ بالا
Hochebene; دَشت ِ مُرتَفع، فِلات
hochfrequent; با تَناوُب ِ زیاد
Hochfrequenz; فرِکانس ِ بالا
Hochglanzpolitur; صِیقَل کُنَنده
hochhalten;
- den Kopf hochhalten; سَررا بالا گِرِفتَن
Hochhaus; خانهٔ آسمان خَراش
hochkant;
- hochkant stellen; راست نِشاندَن
hochleben;
- s. hochleben lassen; نوش ِ جان ِ خود کَردَن
Hochleistung; تَوان ِ بالا، قُدرَت ِ زیاد
Hochmut; اَنانیَت، تَکَبُر، غُرور
- Hochmut kommt vor dem Fall; فَواره چون بُلَند شَوَد، سَرنِگون شَوَد 
hochmütig; کَله بَر باد، بَرتَرمَنِش، مَغرور، مُتَکَبِر
hochnäsig; پُراِفاده، کَله خَر
hochnehmen;
- jem. hochnehmen; کِسی را دَست گیر کَردَن
- sie nehmen ihn ganz schön hoch; اورا دَست می اَندازَند، - کوک می کُنَند
- nehmen Sie den Kopf hoch!; سَرِتان را بالا بِگیرید
Hochofen; کورهٔ بُلَند
Hochsaison; وَقت ِ رونَق، اوج ِ فَصل
hochschätzen; کِسی را اِحتِرام کَردَن
Hochschule; دانِشکَده
- Hochschule der Künste; هُنَرکَده
hochspritzen;
- das Wasser spritzt hoch; آب به بالاى ِ فَواره مى زَنَد
Hochsprung; پَرِش ِ اِرتِفائى
Hochstapelei; شَیادى
Hochstapler; شَیاد، آدَم ِ پاچه وَر مالیده، گول زَن
höchstens; دَست بالا، حَد ِ اَکثَر، نَهایَتاً، دَر نَهایَت
- du kommst höchstens bis Berlin; دَر نَهایَت تا به بِرلین مى رِسى
- auf höchster Ebene (z.B. in der Politik); دَر سَطح ِ عالى
- mit höchster Geschwindigkeit; با حَد ِ اَعلاى ِ سُرعَت، با حَد ِ اَکثَر ِ سُرعَت
- mit höchster Verwunderung; با نَهایَت شِگفتِگى
Höchster (Titel für Gott); اَعلى عُلیین
hochtourig;
- hochtouriger Motor; موتور ِ سُرعَت ِ زیاد
hochtrabend;
- hochtrabende Worte; کَلَمات ِ کِبر آمیز، ـ مُبالِغه آمیز
Hochwasser; سِیل آب، طُغیان ِ آب
hochwertig; با اَرزِش، جَلال اُلقَدر
Hochzeit; اِزدِواج
- Hochzeit feiern; جَشن ِ اِزدِواج گِرِفتَن
Hochzeitsfeierlichkeiten (nach der Hochzeit); پا تَختى
Hochzeitsgeschenk (für die Braut); کادوى ِ عَروسى
Hochzeitsnacht; شَب ِ زِفاف، شَب ِ گِردَک
Hochzeitstag; روز ِ اِزدوِاج
Hochzeitszug; عَروس کِشى
hochziehen; خودرا بالا کِشیدَن
- er zieht die Oberlippe hoch; لَب ِ بالایَش را وَر مى چینَد
Hocke; چُمپاتِمه، چُمباتِمه
hocken; چُمباتِمه زَدَن، چُندَک ز
Höcker (anatom.); زایِده، قوز
- Kamelhöcker; کوههٔ شُتُر، کوهان ِ ـ
Hoden; خایه، بیضه
Hof; مُحَوَطه، صَحن، حَیاط
- einer Frau den Hof machen; با یِک زَن لاس زَدَن
- Hof des Königs; دَربار ِ پادِشاه
hoffen; اُمید داشتَن، اُمیدوار بودَن
- sie hoffen auf eine Gelegenheit; آنها مُتَرَصِد هَستَند، به چیزى چِشم دارَند
- er hoffte, dich zu sehen; به هَواى ِ دیدَنَت آمَد
- wie die anderen Arbeiter hoffe auch ich auf meine Chance; مِثل ِ سایِر ِ کارگَران مُتَرصِد ِ فُرصَتَم
hoffend; مُرتَجى
hoffentlich;
- hoffentlich schneit es nicht; نَکُنَد بَرف بیایَد، اُمیدوارَم که بَرف نَیایَد
Hoffnung; اُمید، نَوید، رِجاء
- seine Hoffnung erblühte; اُمید ِ او گُل میکَرد
- Hoffnung haben, dass ..; دَر تَرَصُد بودَن که، با چِشم داشتَن به
- ich habe keine Hoffnung bezüglich der ...; مَن از ...چِشمَم آب نِمی خورَد
- die Hoffnung zu Grabe tragen; آرِزوی ِ چیزی را به گور بُردَن
- jem. seiner Hoffnung berauben; آب ِ پاکی بَر (روی ِ) دَست ِ کِسی ریختن، یِکباره و از هَر جَهَت او را مایوس کَردَن
- falsche Hoffnungen hegen; اُمید ِ واهى کَردَن، طَمَع ِ خام ک
- ich hatte nur noch wenig Hoffnung; چَندان اُمیدى بِدِل نَداشتَم
- Hoffnung bringen; نَوید دادَن
- in der Hoffnung, sie zu sehen, dreht er s. um; او به هَواى ِ دیدَنِشان رو بَر مى گَردانَد
hoffnungslos; مأیوس، بى اُمید، نا اُمید
- hoffnungslos bemerken, dass ...; نومیدانه گُفت که
- hoffnungslos kehrte er zurück; او دَست شُسته باز گَشت
- bei Gott gibt es keine hoffnungslosen Fälle; از فِیض ِ خُدا مَرد ِ نادان زَمانى دانا مى شَوَد که خَر ِ وَحشى اِنسان بزایَد
Hoffnungslosigkeit; نااُمیدى، یَأس
hofieren; هِندِوانه زیر ِ بَغَل ِ کِسى گُذاشتَن
höflich; مؤَدَبانه، مُؤَدَب
Höflichkeit; اَدَب
Höflichkeitsbesuch; تَشریف فَرمائى
Höflichkeitsfloskel; تَعارُف
- zwischen uns wurden Höflichkeitsfloskeln ausgetauscht; بین ما تَعارُف رَد و بَدَل مى شُد
Höhe; بُلَندى، اِرتِفاع
- die Höhe des Erfolges; حَجم ِ تَوافُقها
- Höhen & Tiefen des Lebens; خوب و بَد ِ دُنیا
- das Flugzeug gewinnt an Höhe; هواپیما اوج مى گیرَد
- das hat den Stromverbrauch in die Höhe getrieben; این که مَصرَف ِ بَرقِش سَرسام آوَرده
Hoheit;
- Gebietshoheit; قَلَمرو ایالات، حاکِمیَت اَرضى ِ ایالات
- Lufthoheitsgebiet; مَنطَقهٔحاکِمیَت ِ هَوائى
- sie haben hier Hoheitsrechte; آنها اینجا کیابیا دارَند
Höhenflug (geistig); بُلَند پَروازى
- Höhenflug mit Bauchlandung; به آسِمان رَفتَن و به زَمین آمَدَن، کوشِش ِ بیهوده کَردَن
Höhenmesser; فَرازیاب، سَنجِش ِ اِرتِفاع
Höhenstrahlen; اَشِعهٔ کِیهانى
Höhenvorschub; تَغذیهٔ عُمودى
Höhepunkt; اوج
- die Spannung ist am Höhepunkt; هِیَجان دَر اوج است
höher *: hoch;
Höherentwicklung; تَکامُل ِ عالیتَر
hohl; پوک، توخالى، مُجَوَف
Höhle; بیغوله، کُنام، غار
- Erdhöhle; بومکَند
Hohlkegel; مَخروطى ِ مُجَوَف
Hohlraum; فَضاى ِ تو خالى، ـ میان تُهى
Hohlziegelstein; آجُر ِ مُجَوَف، ـ مُشَبَک
Hohn; اِستِهزاء، تَمَسخُر
höhnisch; تَمَسخُر آمیز
Hokuspokus; بوزینه بازى، شُعبَده بازى
- Hokus Pokus Fidibus; اَجی مَجی لاتَرَجی
holen; گِرِفتَن، آوَردَن
- ich lasse den Doktor holen; میفِرِستَم پِى ِ دُکتُر
Hölle; دَرَک، دوزَک، جَهَنَم
Holocaust; هولوکاست
Hologramm; هولوگرام
holprig;
- die Strasse ist holprig; جاده با دَست اَنداز
Holter;
- mit Holter & Gepolter gehen; تَلَق تَلَق راه رَفتَن
Holunder; آقطى، غُلیون
Holz; چوب
- sie sind beide aus dem gleichen Holz geschnitzt; هَر دو از یِک خَمیرَند
- Brennholz; هیزُم
hölzern; چوبى
Holzhacker; تَبَر زَن
Holzimprägnierung; نِگَهدارى ِ چوب
Holzkohle; زُغال ِ چوب
Holzmehl; خاک ِ اَره
Holzplatte; طَبَق، تَخته
Holzraspel; چوب ساى
Holzschale; طَبَق
Holzschuh; کَفش ِ چوبین
homogen; مُتَجانِس
homolog; مطابِق، مُتَجانِس، مُشابه، هَمسان
Homologie; هَمانَندى و تَجانُس ِ ساختِمان ِ اعضاى ِ مُختَلِف ِ جانِوَر یا گیاه دَر اَثَر ِ مُنشَعِب شُدَن از یِک ریشه یا مَبداء، مُتَجانِس، هَمسازى، بَرابَرى
Homonymie; تَجنیس
homöopathisch;
- homöopathische Kur; تَدویهٔ بِمِثال
Homosexualität; هَمجِنس بازى، لَواطه
Honig; عَسَل
- jem. Honig um den Bart schmieren; چاپلوسى ِ کِسى را کَردَن
- den Honig im Mund, aber das Messer in der Hand; نوش با نیش است
- das Leben hier ist kein Honigschlecken; بَراى ِ حَلواخورى اینجا نَیامَدى
Honigwabe; شان ِ عَسَل
Honorar; دَستمایه، پاداش، دَستمُزد، حَق اُلزَحمه، حَق اُلعَمَل
Hopfen; رازَک، لَبلاب
- bei dem ist Hopfen & Malz verloren; دو زَره اَش نِمى اُفتَد
hopsen; جَست و خیز کَردَن
- das ist gehopst wie gesprungen; چه عَلى خواجه، چه خواجهٔ عَلى
hörbar; قابِل ِ شِنیدَن، شِنیدَنى
- hörbar sein; رَسا بودَن، شِنَوَنده ب
Hörbereich; ناحیهٔ صوتى، ـ شِنَوائى
horchen; گوش گِرِفتَن
- horch mal!; گوش گیر
Horcher; (nijuschande) نیوشَنده
hören; گوش کَردَن
- lass hören!; بِگو بِبینَم
- er hörte überhaupt nicht zu; گوشِش به .. بِدِهکار نَبود
- nicht auf etwas hören, s. nicht darum kümmern; زیر ِ بار نَرفتَن
- zuhören; گوش فَرا دادَن، ـ کَردَن، اِستِماع ک
- was man so hört; از قَرار ِ مَعلوم، ـ مَسموع 
- die .., die er von .. hörte; او چیزى را که از فِلان سَر مى زَد
- hör mal zu; پَس گوش فَرا دَهى، بِشنو، گوش بِگیر، ـ گوش کُن
- Hör mal gut zu!; گوشِت با مَن باشَد
- das mußt du hören; که بیایی و تَماشا کُن...
- Jeder hört s. selbst am liebsten; صوت ِ خودَش بِگوش ِ خودَش خوشنَوا ست
Hören (n); اِستِماع، اِصغاء
- dass einem Hören und Sehen vergeht; که نَگو و نَشنو ... 
- Preise, wo einem Hören & Sehen vergeht; قِیمَتى دارَد که کَلهٔ آدَم سوت مى کِشَد
hörend; سامِع، شِنَوَنده
Hörensagen;
- vom Hörensagen; اَفواهاً
Hörer; گوشنِشین، شِنَوَنده، سامِع
- die Hörer fesseln; تَوَجُه ِ مُستَمعِین را جَلب کَردَن
- Telefonhörer; گوشی
- halten Sie den Hörer einen Moment; گوشى خِدمَتِتان
- Hörer halten (umg.); گوشی
- er legt den Telefonhörer auf; گوشى را سَر ِ جایَش مى گُذارَد
hörfähig; قابِل ِ شِنَوا
Hörgerät; سَمعَک، وَسیلهٔ سَمعى
hörig;
- jem. hörig sein; اَسیر ِ کِسى بودَن، مُعتاد ِ ـ
Horizont; اُفُق
- ein Silberstreif am Horizont; دَر نومیدى بَسى اُمیدَست، پایان ِ شَب سیَه سِفید است
horizontal; اُفُقى
Hormon; هورمون
Horn; شاخ
- Horn (Musikinstrument); کَرنا
hornartig; شاخى، پینه خورده
Hornhaut; طاوُل
- Hornhaut (Auge); قَرنیه، جِلدیهٔ چِشم
Hornhauttransplantation; پِیوَند ِ قَرنیه
Horoskop; فال گیرى، طالِع
Horror; وَشَت
Hörsaal; سالُن ِ دَرس ِ دانِشگاه
Hörschärfe; تیز ِگوشى
Hörspiel; نَمایِش ِ رادیوئى
Hörweite;
- in Hörweite von ...; دَر صِدا رَس ِ
Hose; شَلوار
- jem., der die Hosen voll hat; بَچهٔ شیشو، ـ ریغو
- er hat die Hose voll; از تَرس تو شَلوارَش ریده، ـ شاشیده
- in die Hose machen (Kind); دََر شَلوار جیش کَردَن
- die Sache ging in die Hose; کار نَقش بَر آب شُده است، کار سَر نَگِرِفته است
- die Hosen runterlassen (im finanz.);  سَر و کیسه را شُل کَردَن
- Frauenhose; تُنبان
- Haushose; پیژامه
- Pluderhose; شَلوار ِ گُشاده
Hosenboden; خِشتَک ِ شَلوار
Hosenträger; بَند ِ شَلوار، رِکاب ِ ـ
Hotel; هُتِل
Hubbrücke; پُل ِ بالابُر
Hubraum; مُحَفَظهٔ سیلندر، فَضاى ِ خالى
hübsch; خوشگِل، زیبا
- hübsche Figur; قَد ِ رَعنا
Hubschrauber; هِلیکوپتِر، چَرخ بال
huckepack;
- jem. huckepack nehmen; کِسى را سَوار ِ کولِش کَردَن، کِسى را کول کَردَن، ـ گِرِفتَن
Huf; سُم
Hufeisen; نَعل ِ اَسب
Hufschmied; نَعَلبَند
Hüfte; کَمَر، کَمَرگاه
Huftiere; حِیوانات ِ سُم دار
Hügel; تَپه، تَل
hügelig; کوهِستانى، کوه سار، تَپه دار
Huhn; مُرغ
- Legehuhn; مُرغ ِ تُخمى
- Ein blindes Huhn findet auch manchmal ein Korn; گاه باشَد که کودَکى ِ نادان بِغَلَط بَر هَدَف زَنَد تیر
Hühnerauge; میخچه
Hühnerbrust; قوز ِ سینه
Hühnerei; تُخم ِ مُرغ
Hühnerstall; مُرغ دان
Hühnerzucht; مُرغ دارى، جوجه کِشى
huldigen; تَعظیم کَردَن
Huldigung; بِیعَت، تَعظیم
Hülle; جِلد، پوسته، پوشِش
- in Hülle & Fülle; بِحَد ِ وُفور
- jem. etwas in Hülle & Fülle geben; چیزى را به کِسى اِضافه کَردَن
hüllen;
- s. in eine Decke hüllen; خودرا با پَتو پوشاندَن، ـ پیچاندَن
Hülse (biolog.); نیام، نیامَک، پوسته
- Patronenhülse; پوکهٔ فَشَنگ
Hülsenfrüchte; حُبوبات
Humanismus; فَلسَفهٔ اِنسانیَت گَرى
humanitär;
- humanitäre Hilfe; کُمَک ِ خِیریه
Hummer; خَرچَنگ ِ دَریائى
Humor; فُکاهَت
- er hat Sinn für Humor; مَزه اَش خوش است، شوخى سَرَش مى شَوَد
humorvoll; فُکاهى
humpeln; لَنگیدَن
Hund; سَگ
- Jagdhund; یوز
- jem., der vor die Hunde geht;  شَخصى که دَر خانهٔ خَرابى بِسَر مى بَرَد
- Bekannt, wie ein bunter Hund; گاو ِ پیشانى ِ  سِفید
- Bellende Hunde beissen nicht; از آن نَتَرس که هاى و هو دارَد، از آن بِتَرس که سَر بِتو دارَد
- Auf den Hund kommen; به صِفر رِسیدَن
- Das ist ein dicker Hund; هَضمَش نِمى شَوَد کَرد
- Viele Hunde sind des Hasen Tod; با دو نان دَر آویختَن خوب نیست
- ich kam mir vor, wie ein geprügelter Hund; به سَگى ِ کُتَک خورده مى مانِستَم
Hundegekläff; پارس ِ سَگ
- wie das Hundegekläff bei Mondschein; مانَند ِ پارس ِ سَگ دَر شَب ِ مَهتاب
hundert; صَد
Hunderter (mathemat.); مَآت، صَدِگان
hundertst;
- er kommt vom hundertsten ins tausendste; از سیر تا پیاز را تَعریف مى کُنَد
Hunger; گُرُسنِگى
- Hunger haben; گُرُسنه بودَن
- ich habe Hunger; گُرُسنه اَم
- den Hunger stillen; سَدّ ِ جوع کَردَن
- den ersten Hunger stillen; شِکَم ِ خود را وَصله پینه کَردَن
Hungerjahr; قَحط سال
Hungerlohn; مَبلَغ ِ بُخور و نَمیر
Hungersnot; قَحطى
Hungerstreik; اِمتِناع از خوردن ِ غَذا
hungrig; گُرُسنه بودَن
- wir waren hungrig; گُرُسنِمان بود، گُرُسنه بودیم
Hupe; بوق
hupen; بوق زَدَن
hüpfen; جَست و خیز کَردَن، جَهیدَن
- sie hüpfen herum wie kleine Kinder; مِثل ِ بَچه ها مَشغول ِ وِرجه و وِرجه اَند
- beidbeinig hüpfen; جُفت زَدَن
- hinkend und hüpfend kamen sie an; اُفتان و خیزان به .. رِسیدَند
- Das ist gehüpft, wie gesprungen; چه عَلى خواجه چه خواجهٔ عَلى
Hürde; (pl.)  (مانِع (مَوانِع
- die letzte parlamentarische Hürde nehmen; از آخَرین مَرحَلهٔ پارلِمانى گُذَشتَن                                   
Hürdenlauf; دُو با عَوارض
Hurra;
- Hurra schreien; هورا کِشیدَن
husten; سُرفه کَردَن
Husten (m); سُرفه
Hustensaft; شَربَت ِ سُرفه
Hut; کُلاه
- Auf der Hut sein; بر حَذَر بودَن، دَست و پاى ِ خودرا جَمع کَردَن
- Da geht einem der Hut hoch; دود از کَله بُلَند مى شَوَد
- Spitzhut (aus Papier, als Strafe für Fehlverhalten); کُلاه ِ بوقی
hüten;
- Schafe hüten; گوسفَندهارا چوپانى کَردَن
- s. hüten vor; خودرا از چیزى نِگَه داشتَن، از چیزى بر هَذَر بودَن
Hütte; کوهه، کَپَر، آلونَک، کُلبه
- Eisenhütte; کورهٔ آهَن گَرى
- Holzhütte; آلونَک
Hyäne; کَفتار
Hyazinthe; سُنبُل، زَنبَق
Hybrid; دو رَگه
Hybridation; دورَگه پَروَرى
hydro; - پیشوَندى بِمَعنى: آبدار، آبى، ئیدروژِن دار
Hydrogen; ئیدروژِن
Hygiene; بِهداشت
Hygienetuch; دَستمال ِ بِهداشتی
Hygrometer; نَم سَنج، اَندازه گیرى ِ رُطوبَت ِ هَوا
hygroskopisch; نَمگیر
Hymne; مَدح
- Nationalhymne; سُرود ِ مِلى
Hyperbel; مُنحَنى ِ هَذلولى، خَط ِ ـ
Hypnose; چِشم بَندى
